CAN Message; 0x150:03004115712d2177
Timestamp;Amplitude
1739209643.4487665;-38.13080360867914
1739209643.4487762;-45.120503652039325
1739209643.4487863;-45.120503652039325
1739209643.448796;-45.120503652039325
1739209643.4488058;-45.120503652039325
1739209643.4488156;-45.120503652039325
1739209643.4488254;-45.120503652039325
1739209643.4488351;-33.981070128970906
1739209643.4488451;-35.57807855764607
1739209643.448855;-38.13080360867914
1739209643.4488647;-45.120503652039325
1739209643.4488745;-25.62660358559016
1739209643.4488842;-32.816014438256545
1739209643.448894;-45.120503652039325
1739209643.448904;-45.120503652039325
1739209643.4489138;-35.57807855764607
1739209643.4489236;-32.816014438256545
1739209643.4489334;-38.13080360867914
1739209643.4489431;-35.57807855764607
1739209643.448953;-45.120503652039325
1739209643.448963;-45.120503652039325
1739209643.4489727;-38.13080360867914
1739209643.4489825;-45.120503652039325
1739209643.4489923;-45.120503652039325
1739209643.449002;-45.120503652039325
1739209643.449012;-45.120503652039325
1739209643.4490218;-45.120503652039325
1739209643.4490316;-45.120503652039325
1739209643.4490414;-45.120503652039325
1739209643.4490511;-45.120503652039325
1739209643.449061;-45.120503652039325
1739209643.449071;-45.120503652039325
1739209643.4490807;-45.120503652039325
1739209643.4490905;-33.981070128970906
1739209643.4491003;-38.13080360867914
1739209643.44911;-29.438486411369333
1739209643.4491198;-31.141103565318893
1739209643.4491298;-45.120503652039325
1739209643.4491396;-45.120503652039325
1739209643.4491494;-32.816014438256545
1739209643.4491591;-35.57807855764607
1739209643.449169;-45.120503652039325
1739209643.449179;-38.13080360867914
1739209643.4491887;-38.13080360867914
1739209643.4491985;-45.120503652039325
1739209643.4492083;-38.13080360867914
1739209643.449218;-38.13080360867914
1739209643.4492278;-45.120503652039325
1739209643.4492378;-38.13080360867914
1739209643.4492476;-38.13080360867914
1739209643.4492574;-45.120503652039325
1739209643.4492671;-32.816014438256545
1739209643.449277;-32.816014438256545
1739209643.4492867;-45.120503652039325
1739209643.4492967;-45.120503652039325
1739209643.4493065;-38.13080360867914
1739209643.4493163;-38.13080360867914
1739209643.449326;-45.120503652039325
1739209643.4493358;-45.120503652039325
1739209643.4493456;-45.120503652039325
1739209643.4493556;-45.120503652039325
1739209643.4493654;-38.13080360867914
1739209643.4493752;-38.13080360867914
1739209643.449385;-45.120503652039325
1739209643.4493947;-35.57807855764607
1739209643.4494047;-45.120503652039325
1739209643.4494145;-45.120503652039325
1739209643.4494243;-38.13080360867914
1739209643.449434;-35.57807855764607
1739209643.4494438;-45.120503652039325
