CAN Message; 0x150:00006739a98746ef
Timestamp;Amplitude
1739209699.2934537;-38.13080360867914
1739209699.2934556;-38.13080360867914
1739209699.2934573;-45.120503652039325
1739209699.2934592;-45.120503652039325
1739209699.293461;-38.13080360867914
1739209699.293463;-38.13080360867914
1739209699.2934647;-35.57807855764607
1739209699.2934666;-45.120503652039325
1739209699.2934685;-45.120503652039325
1739209699.2934704;-45.120503652039325
1739209699.293472;-38.13080360867914
1739209699.293474;-31.141103565318893
1739209699.2934759;-38.13080360867914
1739209699.2934778;-35.57807855764607
1739209699.2934794;-38.13080360867914
1739209699.2934813;-38.13080360867914
1739209699.2934833;-38.13080360867914
1739209699.2934852;-45.120503652039325
1739209699.2934868;-38.13080360867914
1739209699.2934887;-45.120503652039325
1739209699.2934906;-38.13080360867914
1739209699.2934926;-45.120503652039325
1739209699.2934945;-45.120503652039325
1739209699.2934961;-45.120503652039325
1739209699.293498;-45.120503652039325
1739209699.2935;-45.120503652039325
1739209699.2935019;-38.13080360867914
1739209699.2935035;-45.120503652039325
1739209699.2935054;-45.120503652039325
1739209699.2935073;-45.120503652039325
1739209699.2935092;-33.981070128970906
1739209699.293511;-32.816014438256545
1739209699.2935128;-45.120503652039325
1739209699.2935147;-45.120503652039325
1739209699.2935166;-45.120503652039325
1739209699.2935183;-32.816014438256545
1739209699.2935202;-35.57807855764607
1739209699.2935221;-45.120503652039325
1739209699.293524;-45.120503652039325
1739209699.2935257;-45.120503652039325
1739209699.2935276;-38.13080360867914
1739209699.2935295;-35.57807855764607
1739209699.2935314;-35.57807855764607
1739209699.2935333;-38.13080360867914
1739209699.293535;-45.120503652039325
1739209699.293537;-35.57807855764607
1739209699.2935388;-45.120503652039325
1739209699.2935407;-45.120503652039325
1739209699.2935424;-45.120503652039325
1739209699.2935443;-45.120503652039325
1739209699.2935462;-35.57807855764607
1739209699.293548;-27.8777449560314
1739209699.2935498;-32.816014438256545
1739209699.2935517;-45.120503652039325
1739209699.2935536;-38.13080360867914
1739209699.2935555;-38.13080360867914
1739209699.2935572;-38.13080360867914
1739209699.293559;-45.120503652039325
1739209699.293561;-38.13080360867914
1739209699.293563;-33.981070128970956
1739209699.2935646;-45.120503652039325
1739209699.2935665;-38.13080360867914
1739209699.2935684;-45.120503652039325
1739209699.2935703;-45.120503652039325
1739209699.2935722;-45.120503652039325
1739209699.2935739;-35.57807855764607
1739209699.2935758;-35.57807855764607
1739209699.2935777;-30.49652367304973
1739209699.2935796;-32.816014438256545
1739209699.2935812;-45.120503652039325
1739209699.2935832;-45.120503652039325
1739209699.293585;-38.13080360867914
1739209699.293587;-35.57807855764607
1739209699.2935886;-38.13080360867914
1739209699.2935905;-45.120503652039325
1739209699.2935925;-45.120503652039325
1739209699.2935944;-38.13080360867914
1739209699.293596;-31.141103565318893
1739209699.293598;-38.13080360867914
1739209699.2935998;-45.120503652039325
1739209699.2936018;-45.120503652039325
1739209699.2936034;-35.57807855764607
1739209699.2936053;-45.120503652039325
1739209699.2936072;-38.13080360867914
1739209699.2936091;-38.13080360867914
1739209699.293611;-38.13080360867914
1739209699.2936127;-38.13080360867914
1739209699.2936146;-45.120503652039325
1739209699.2936165;-33.981070128970906
1739209699.2936184;-38.13080360867914
1739209699.29362;-45.120503652039325
1739209699.293622;-33.981070128970906
1739209699.293624;-32.816014438256545
1739209699.2936258;-35.57807855764607
1739209699.2936275;-38.13080360867914
1739209699.2936294;-45.120503652039325
1739209699.2936313;-35.57807855764607
1739209699.2936332;-32.816014438256545
1739209699.293635;-33.981070128970906
1739209699.2936368;-38.13080360867914
1739209699.2936387;-31.14110356531892
1739209699.2936406;-35.57807855764607
1739209699.2936423;-45.120503652039325
1739209699.2936442;-45.120503652039325
1739209699.293646;-45.120503652039325
1739209699.293648;-38.13080360867914
1739209699.29365;-45.120503652039325
1739209699.2936516;-38.13080360867914
1739209699.2936535;-28.992665084841942
1739209699.2936554;-38.13080360867914
1739209699.2936573;-45.120503652039325
1739209699.293659;-45.120503652039325
1739209699.2936609;-38.13080360867914
1739209699.2936628;-45.120503652039325
1739209699.2936647;-38.13080360867914
1739209699.2936664;-45.120503652039325
1739209699.2936683;-38.13080360867914
1739209699.2936702;-38.13080360867914
1739209699.293672;-45.120503652039325
1739209699.2936738;-38.13080360867914
1739209699.2936757;-45.120503652039325
1739209699.2936776;-45.120503652039325
1739209699.2936795;-38.13080360867914
1739209699.2936811;-38.13080360867914
1739209699.293683;-38.13080360867914
1739209699.293685;-45.120503652039325
1739209699.2936869;-45.120503652039325
1739209699.2936888;-38.13080360867914
1739209699.2936904;-38.13080360867914
1739209699.2936924;-45.120503652039325
1739209699.2936943;-38.13080360867914
1739209699.2936962;-35.57807855764607
1739209699.2936978;-35.57807855764607
1739209699.2936997;-38.13080360867914
1739209699.2937016;-38.13080360867914
1739209699.2937036;-38.13080360867914
1739209699.2937052;-33.981070128970906
1739209699.2937071;-35.57807855764607
1739209699.293709;-45.120503652039325
1739209699.293711;-45.120503652039325
1739209699.2937126;-38.13080360867914
1739209699.2937145;-45.120503652039325
