CAN Message; 0x1a7:0000ff3f156810a9
Timestamp;Amplitude
1739209859.2728243;-33.981070128970906
1739209859.2728307;-38.13080360867914
1739209859.2728374;-38.13080360867914
1739209859.272844;-45.120503652039325
1739209859.2728505;-38.13080360867914
1739209859.2728572;-45.120503652039325
1739209859.2728636;-33.981070128970906
1739209859.2728703;-38.13080360867914
1739209859.272877;-45.120503652039325
1739209859.2728834;-45.120503652039325
1739209859.27289;-38.13080360867914
1739209859.2728968;-38.13080360867914
1739209859.2729032;-33.981070128970906
1739209859.2729099;-45.120503652039325
1739209859.2729163;-38.13080360867914
1739209859.272923;-32.816014438256545
1739209859.2729297;-45.120503652039325
1739209859.272936;-45.120503652039325
1739209859.2729428;-38.13080360867914
1739209859.2729495;-45.120503652039325
1739209859.272956;-45.120503652039325
1739209859.2729626;-45.120503652039325
1739209859.272969;-38.13080360867914
1739209859.2729757;-35.57807855764607
1739209859.2729824;-38.13080360867914
1739209859.2729888;-45.120503652039325
1739209859.2729955;-45.120503652039325
1739209859.2730021;-38.13080360867914
1739209859.2730086;-32.816014438256545
1739209859.2730153;-35.57807855764607
1739209859.2730217;-45.120503652039325
1739209859.2730284;-45.120503652039325
1739209859.273035;-38.13080360867914
1739209859.2730415;-38.13080360867914
1739209859.2730482;-38.13080360867914
1739209859.2730548;-45.120503652039325
1739209859.2730613;-38.13080360867914
1739209859.273068;-38.13080360867914
1739209859.2730744;-45.120503652039325
1739209859.273081;-45.120503652039325
1739209859.2730877;-35.57807855764607
1739209859.2730942;-38.13080360867914
1739209859.2731009;-45.120503652039325
1739209859.2731075;-45.120503652039325
1739209859.273114;-38.13080360867914
1739209859.2731206;-45.120503652039325
1739209859.2731273;-38.13080360867914
1739209859.2731338;-38.13080360867914
1739209859.2731404;-38.13080360867914
1739209859.2731469;-35.57807855764607
1739209859.2731535;-38.13080360867914
1739209859.2731602;-38.13080360867914
1739209859.2731667;-38.13080360867914
1739209859.2731733;-38.13080360867914
1739209859.27318;-45.120503652039325
1739209859.2731864;-45.120503652039325
1739209859.2731931;-45.120503652039325
1739209859.2731996;-45.120503652039325
1739209859.2732062;-38.13080360867914
1739209859.273213;-45.120503652039325
1739209859.2732193;-38.13080360867914
1739209859.273226;-45.120503652039325
1739209859.2732327;-45.120503652039325
1739209859.2732391;-45.120503652039325
1739209859.2732458;-33.981070128970906
1739209859.2732522;-35.57807855764607
1739209859.273259;-38.13080360867914
1739209859.2732656;-45.120503652039325
1739209859.273272;-35.57807855764607
1739209859.2732787;-35.57807855764607
1739209859.2732854;-45.120503652039325
1739209859.2732918;-38.13080360867914
1739209859.2732985;-45.120503652039325
1739209859.273305;-45.120503652039325
1739209859.2733116;-38.13080360867914
1739209859.2733183;-45.120503652039325
1739209859.2733247;-38.13080360867914
1739209859.2733314;-45.120503652039325
1739209859.273338;-45.120503652039325
1739209859.2733445;-38.13080360867914
1739209859.2733512;-35.57807855764607
1739209859.2733576;-38.13080360867914
1739209859.2733643;-38.13080360867914
1739209859.273371;-38.13080360867914
1739209859.2733774;-38.13080360867914
1739209859.273384;-35.57807855764607
1739209859.2733908;-45.120503652039325
1739209859.2733972;-45.120503652039325
1739209859.273404;-45.120503652039325
1739209859.2734106;-45.120503652039325
1739209859.273417;-45.120503652039325
1739209859.2734237;-45.120503652039325
1739209859.27343;-45.120503652039325
1739209859.2734368;-38.13080360867914
1739209859.2734435;-38.13080360867914
1739209859.27345;-45.120503652039325
1739209859.2734566;-45.120503652039325
1739209859.2734632;-38.13080360867914
1739209859.2734697;-38.13080360867914
1739209859.2734764;-45.120503652039325
1739209859.2734828;-33.981070128970906
1739209859.2734895;-38.13080360867914
1739209859.2734962;-38.13080360867914
1739209859.2735026;-38.13080360867914
1739209859.2735093;-38.13080360867914
1739209859.273516;-29.438486411369333
1739209859.2735224;-45.120503652039325
1739209859.273529;-45.120503652039325
1739209859.2735355;-45.120503652039325
1739209859.2735422;-45.120503652039325
1739209859.2735488;-38.13080360867914
1739209859.2735553;-38.13080360867914
1739209859.273562;-38.13080360867914
1739209859.2735686;-38.13080360867914
1739209859.273575;-38.13080360867914
1739209859.2735817;-38.13080360867914
1739209859.2735882;-45.120503652039325
1739209859.2735949;-38.13080360867914
1739209859.2736015;-38.13080360867914
1739209859.273608;-45.120503652039325
1739209859.2736146;-35.57807855764607
1739209859.2736213;-27.8777449560314
1739209859.2736278;-45.120503652039325
1739209859.2736344;-45.120503652039325
1739209859.2736409;-38.13080360867914
1739209859.2736475;-35.57807855764607
1739209859.2736542;-38.13080360867914
1739209859.2736607;-45.120503652039325
1739209859.2736673;-45.120503652039325
1739209859.273674;-45.120503652039325
1739209859.2736804;-38.13080360867914
1739209859.2736871;-38.13080360867914
1739209859.2736938;-38.13080360867914
1739209859.2737002;-38.13080360867914
1739209859.273707;-38.13080360867914
1739209859.2737134;-38.13080360867914
1739209859.27372;-38.13080360867914
1739209859.2737267;-45.120503652039325
1739209859.2737331;-45.120503652039325
1739209859.2737398;-45.120503652039325
1739209859.2737465;-45.120503652039325
1739209859.273753;-45.120503652039325
1739209859.2737596;-38.13080360867914
1739209859.273766;-35.57807855764607
1739209859.2737727;-38.13080360867914
1739209859.2737794;-30.49652367304973
1739209859.2737858;-35.57807855764607
1739209859.2737925;-38.13080360867914
1739209859.2737992;-38.13080360867914
1739209859.2738056;-35.57807855764607
1739209859.2738123;-38.13080360867914
1739209859.2738187;-45.120503652039325
1739209859.2738254;-38.13080360867914
1739209859.273832;-33.981070128970956
1739209859.2738385;-45.120503652039325
1739209859.2738452;-45.120503652039325
1739209859.2738519;-38.13080360867914
1739209859.2738583;-45.120503652039325
1739209859.273865;-38.13080360867914
1739209859.2738714;-45.120503652039325
1739209859.273878;-38.13080360867914
1739209859.2738848;-30.49652367304973
1739209859.2738912;-33.981070128970906
1739209859.273898;-45.120503652039325
1739209859.2739046;-38.13080360867914
1739209859.273911;-33.981070128970906
1739209859.2739177;-45.120503652039325
1739209859.273924;-45.120503652039325
1739209859.2739308;-38.13080360867914
1739209859.2739375;-45.120503652039325
1739209859.273944;-38.13080360867914
1739209859.2739506;-38.13080360867914
1739209859.2739573;-38.13080360867914
1739209859.2739637;-45.120503652039325
1739209859.2739704;-35.57807855764607
1739209859.273977;-45.120503652039325
1739209859.2739835;-45.120503652039325
1739209859.2739902;-38.13080360867914
1739209859.2739966;-45.120503652039325
1739209859.2740033;-38.13080360867914
1739209859.27401;-38.13080360867914
1739209859.2740164;-45.120503652039325
1739209859.274023;-45.120503652039325
1739209859.2740297;-45.120503652039325
1739209859.2740362;-33.981070128970906
1739209859.2740428;-33.981070128970906
1739209859.2740493;-45.120503652039325
1739209859.274056;-45.120503652039325
1739209859.2740626;-45.120503652039325
1739209859.274069;-32.816014438256545
1739209859.2740757;-38.13080360867914
1739209859.2740824;-45.120503652039325
1739209859.2740889;-38.13080360867914
1739209859.2740955;-33.981070128970906
1739209859.274102;-45.120503652039325
1739209859.2741086;-45.120503652039325
1739209859.2741153;-38.13080360867914
1739209859.2741218;-45.120503652039325
1739209859.2741284;-45.120503652039325
1739209859.274135;-45.120503652039325
1739209859.2741416;-45.120503652039325
1739209859.2741482;-45.120503652039325
1739209859.2741547;-45.120503652039325
1739209859.2741613;-38.13080360867914
1739209859.274168;-38.13080360867914
1739209859.2741745;-38.13080360867914
1739209859.2741811;-45.120503652039325
1739209859.2741878;-38.13080360867914
1739209859.2741942;-38.13080360867914
1739209859.274201;-33.981070128970906
1739209859.2742074;-32.816014438256545
1739209859.274214;-38.13080360867914
1739209859.2742207;-45.120503652039325
1739209859.2742271;-31.141103565318915
1739209859.2742338;-33.981070128970906
1739209859.2742405;-38.13080360867914
1739209859.274247;-38.13080360867914
1739209859.2742536;-38.13080360867914
1739209859.2742603;-38.13080360867914
1739209859.2742667;-45.120503652039325
1739209859.2742734;-38.13080360867914
1739209859.2742798;-45.120503652039325
1739209859.2742865;-45.120503652039325
1739209859.2742932;-38.13080360867914
1739209859.2742996;-45.120503652039325
1739209859.2743063;-45.120503652039325
1739209859.274313;-33.981070128970906
1739209859.2743194;-35.57807855764607
1739209859.274326;-45.120503652039325
1739209859.2743325;-38.13080360867914
1739209859.2743392;-38.13080360867914
1739209859.2743459;-45.120503652039325
1739209859.2743523;-45.120503652039325
1739209859.274359;-45.120503652039325
1739209859.2743657;-38.13080360867914
1739209859.274372;-38.13080360867914
1739209859.2743788;-38.13080360867914
1739209859.2743852;-45.120503652039325
1739209859.274392;-38.13080360867914
1739209859.2743986;-45.120503652039325
1739209859.274405;-33.981070128970906
1739209859.2744117;-35.57807855764607
1739209859.2744184;-45.120503652039325
1739209859.2744248;-45.120503652039325
