CAN Message; 0x62:011f5c064b37d6e4
Timestamp;Amplitude
1739209895.1776302;-45.120503652039325
1739209895.1776369;-45.120503652039325
1739209895.1776433;-45.120503652039325
1739209895.17765;-33.981070128970906
1739209895.1776564;-45.120503652039325
1739209895.1776628;-45.120503652039325
1739209895.1776695;-32.816014438256545
1739209895.177676;-33.981070128970906
1739209895.1776826;-35.57807855764607
1739209895.177689;-45.120503652039325
1739209895.1776955;-35.57807855764607
1739209895.1777022;-33.981070128970906
1739209895.1777086;-45.120503652039325
1739209895.1777153;-45.120503652039325
1739209895.1777217;-45.120503652039325
1739209895.1777282;-45.120503652039325
1739209895.1777349;-33.981070128970906
1739209895.1777413;-38.13080360867914
1739209895.177748;-38.13080360867914
1739209895.1777544;-38.13080360867914
1739209895.1777608;-38.13080360867914
1739209895.1777675;-45.120503652039325
1739209895.177774;-38.13080360867914
1739209895.1777806;-38.13080360867914
1739209895.177787;-45.120503652039325
1739209895.1777935;-33.981070128970906
1739209895.1778002;-45.120503652039325
1739209895.1778066;-38.13080360867914
1739209895.1778133;-38.13080360867914
1739209895.1778197;-45.120503652039325
1739209895.1778262;-38.13080360867914
1739209895.1778328;-28.992665084841942
1739209895.1778393;-29.438486411369333
1739209895.177846;-45.120503652039325
1739209895.1778524;-35.57807855764607
1739209895.1778588;-30.49652367304973
1739209895.1778655;-30.49652367304973
1739209895.177872;-28.588378514285886
1739209895.1778786;-38.13080360867914
1739209895.177885;-25.826314394896357
1739209895.1778915;-31.141103565318943
1739209895.1778982;-32.81601443825658
1739209895.1779046;-26.991370085610722
1739209895.1779113;-38.13080360867914
1739209895.1779177;-33.981070128970956
1739209895.1779242;-31.141103565318915
1739209895.1779308;-32.816014438256545
1739209895.1779373;-45.120503652039325
1739209895.177944;-31.141103565318915
1739209895.1779504;-28.58837851428586
1739209895.1779568;-28.21854285175415
1739209895.1779635;-30.49652367304973
1739209895.17797;-38.13080360867914
1739209895.1779766;-45.120503652039325
1739209895.177983;-33.981070128970906
1739209895.1779895;-27.877744956031417
1739209895.1779962;-28.992665084841942
1739209895.1780026;-38.13080360867914
1739209895.1780093;-38.13080360867914
1739209895.1780157;-20.954098578656478
1739209895.1780221;-26.035653463252796
1739209895.1780288;-31.141103565318893
1739209895.1780353;-38.13080360867914
1739209895.178042;-31.141103565318893
1739209895.1780484;-33.981070128970906
1739209895.1780548;-32.81601443825658
1739209895.1780615;-31.14110356531892
1739209895.178068;-27.877744956031414
1739209895.1780746;-45.120503652039325
1739209895.178081;-35.57807855764607
1739209895.1780875;-31.141103565318915
1739209895.1780941;-17.724780207538373
1739209895.1781006;-22.448786368009156
1739209895.1781073;-31.14110356531892
1739209895.1781137;-45.120503652039325
1739209895.1781201;-28.58837851428586
1739209895.1781268;-31.141103565318893
1739209895.1781332;-33.981070128970906
1739209895.17814;-26.991370085610722
1739209895.1781464;-30.49652367304976
1739209895.1781528;-38.13080360867914
1739209895.1781595;-28.992665084841942
1739209895.178166;-38.13080360867914
1739209895.1781726;-30.49652367304973
1739209895.178179;-31.141103565318943
1739209895.1781855;-33.981070128970906
1739209895.1781921;-45.120503652039325
1739209895.1781986;-31.141103565318915
1739209895.1782053;-45.120503652039325
1739209895.1782117;-33.981070128970906
1739209895.1782181;-27.267205301931607
1739209895.1782248;-33.981070128970906
1739209895.1782312;-28.992665084841942
1739209895.178238;-28.992665084841942
1739209895.1782444;-31.141103565318893
1739209895.1782508;-24.589719217205094
1739209895.1782575;-35.57807855764607
1739209895.178264;-31.141103565318915
1739209895.1782706;-28.992665084841942
1739209895.178277;-26.991370085610722
1739209895.1782835;-38.13080360867914
1739209895.1782901;-24.151403521958727
1739209895.1782966;-25.826314394896354
1739209895.1783032;-45.120503652039325
1739209895.1783097;-33.981070128970906
1739209895.178316;-38.13080360867914
1739209895.1783228;-33.981070128970906
1739209895.1783292;-32.816014438256545
1739209895.178336;-33.981070128970906
1739209895.1783423;-28.58837851428586
1739209895.1783488;-45.120503652039325
1739209895.1783555;-26.991370085610722
1739209895.178362;-31.141103565318915
1739209895.1783686;-23.38864096791655
1739209895.178375;-23.16150712794695
1739209895.1783814;-27.877744956031417
1739209895.178388;-24.589719217205094
1739209895.1783946;-35.57807855764607
1739209895.1784012;-24.746238672633048
1739209895.1784077;-27.267205301931607
1739209895.178414;-35.57807855764607
1739209895.1784208;-30.49652367304973
1739209895.1784272;-27.267205301931607
1739209895.178434;-27.267205301931607
1739209895.1784403;-23.75329798047522
1739209895.1784468;-33.981070128970956
1739209895.1784534;-38.13080360867914
1739209895.17846;-32.816014438256545
1739209895.1784666;-45.120503652039325
1739209895.178473;-27.267205301931607
1739209895.1784794;-23.16150712794695
1739209895.178486;-33.981070128970906
1739209895.1784925;-25.826314394896357
1739209895.1784992;-38.13080360867914
1739209895.1785057;-29.438486411369333
1739209895.178512;-38.13080360867914
1739209895.1785188;-38.13080360867914
1739209895.1785252;-38.13080360867914
1739209895.178532;-25.25278630937684
1739209895.1785383;-45.120503652039325
1739209895.1785448;-28.992665084841967
1739209895.1785514;-45.120503652039325
1739209895.1785579;-45.120503652039325
1739209895.1785645;-35.57807855764607
1739209895.178571;-32.816014438256545
1739209895.1785774;-45.120503652039325
1739209895.178584;-31.141103565318915
1739209895.1785905;-30.49652367304976
1739209895.1785972;-31.141103565318915
1739209895.1786036;-28.58837851428586
1739209895.17861;-32.816014438256545
1739209895.1786168;-45.120503652039325
1739209895.1786232;-38.13080360867914
1739209895.1786299;-31.141103565318943
1739209895.1786363;-28.992665084841942
1739209895.1786427;-33.981070128970906
1739209895.1786494;-38.13080360867914
1739209895.1786559;-22.740042620751332
1739209895.1786625;-20.888044912671212
1739209895.178669;-31.141103565318915
1739209895.1786754;-28.992665084841942
1739209895.178682;-32.816014438256545
1739209895.1786885;-24.292649948874775
1739209895.1786952;-33.981070128970956
1739209895.1787016;-32.816014438256545
1739209895.178708;-23.506823629689542
1739209895.1787148;-38.13080360867914
1739209895.1787212;-33.981070128970906
1739209895.1787279;-27.267205301931607
1739209895.1787343;-22.175841390423358
1739209895.1787407;-20.888044912671212
1739209895.1787474;-31.14110356531892
1739209895.1787539;-45.120503652039325
1739209895.1787605;-32.81601443825658
1739209895.178767;-38.13080360867914
1739209895.1787734;-38.13080360867914
1739209895.17878;-38.13080360867914
1739209895.1787865;-33.981070128970906
1739209895.1787932;-26.991370085610722
1739209895.1787996;-26.991370085610722
1739209895.178806;-31.14110356531892
1739209895.1788127;-28.992665084841942
1739209895.1788192;-31.141103565318915
1739209895.1788259;-33.981070128970956
1739209895.1788323;-27.877744956031414
1739209895.1788387;-30.49652367304973
1739209895.1788454;-27.8777449560314
1739209895.1788518;-45.120503652039325
1739209895.1788585;-33.981070128970956
1739209895.178865;-45.120503652039325
1739209895.1788714;-30.49652367304973
1739209895.178878;-30.49652367304973
1739209895.1788845;-29.438486411369333
1739209895.1788912;-45.120503652039325
1739209895.1788976;-45.120503652039325
1739209895.178904;-24.589719217205094
1739209895.1789107;-38.13080360867914
1739209895.1789172;-45.120503652039325
1739209895.1789238;-45.120503652039325
1739209895.1789303;-29.438486411369333
1739209895.1789367;-28.992665084841942
1739209895.1789434;-24.438645034577675
1739209895.1789498;-30.49652367304973
1739209895.1789565;-32.816014438256545
1739209895.178963;-28.21854285175415
1739209895.1789694;-33.981070128970956
1739209895.178976;-31.141103565318943
1739209895.1789825;-27.877744956031414
1739209895.1789892;-26.03565346325281
1739209895.1789956;-25.252786309376837
1739209895.179002;-28.21854285175415
1739209895.1790087;-33.981070128970906
1739209895.1790152;-24.15140352195872
1739209895.1790218;-25.252786309376837
1739209895.1790283;-38.13080360867914
1739209895.1790347;-30.49652367304973
1739209895.1790414;-30.49652367304973
1739209895.1790478;-45.120503652039325
1739209895.1790545;-38.13080360867914
1739209895.179061;-32.816014438256545
1739209895.1790674;-26.487275050834715
1739209895.179074;-29.438486411369354
1739209895.1790805;-31.141103565318943
1739209895.1790872;-38.13080360867914
1739209895.1790936;-45.120503652039325
1739209895.1791;-32.81601443825658
1739209895.1791067;-31.141103565318915
1739209895.1791131;-28.992665084841942
1739209895.1791198;-32.816014438256545
1739209895.1791263;-38.13080360867914
1739209895.1791327;-38.13080360867914
1739209895.1791394;-31.141103565318915
1739209895.1791458;-32.816014438256545
1739209895.1791525;-30.49652367304973
1739209895.179159;-27.8777449560314
1739209895.1791654;-33.981070128970956
1739209895.179172;-29.438486411369347
1739209895.1791785;-30.49652367304973
1739209895.1791852;-28.992665084841967
1739209895.1791916;-38.13080360867914
1739209895.179198;-45.120503652039325
1739209895.1792047;-27.267205301931607
1739209895.1792111;-32.816014438256545
1739209895.1792178;-38.13080360867914
1739209895.1792243;-33.981070128970956
1739209895.1792307;-31.141103565318915
1739209895.1792374;-28.992665084841942
1739209895.1792438;-25.62660358559016
1739209895.1792505;-32.81601443825658
1739209895.179257;-27.877744956031414
1739209895.1792634;-30.49652367304973
1739209895.17927;-28.992665084841942
1739209895.1792765;-28.992665084841942
1739209895.1792831;-27.877744956031414
1739209895.1792896;-23.38864096791655
1739209895.179296;-32.816014438256545
1739209895.1793027;-38.13080360867914
1739209895.1793091;-32.816014438256545
1739209895.1793158;-27.267205301931607
1739209895.1793222;-31.141103565318915
1739209895.179329;-35.57807855764607
1739209895.1793354;-38.13080360867914
1739209895.1793418;-27.8777449560314
1739209895.1793485;-45.120503652039325
1739209895.179355;-38.13080360867914
1739209895.1793616;-21.598678470925666
1739209895.179368;-30.49652367304973
1739209895.1793745;-38.13080360867914
1739209895.1793811;-28.992665084841967
1739209895.1793876;-24.438645034577675
1739209895.1793942;-28.992665084841942
1739209895.1794007;-33.981070128970906
1739209895.1794071;-33.981070128970906
1739209895.1794138;-38.13080360867914
1739209895.1794202;-33.981070128970906
1739209895.179427;-29.438486411369333
1739209895.1794333;-28.992665084841942
1739209895.1794398;-25.62660358559016
1739209895.1794465;-27.267205301931607
1739209895.179453;-31.141103565318915
1739209895.1794596;-27.8777449560314
1739209895.179466;-31.14110356531892
1739209895.1794724;-33.981070128970956
1739209895.1794791;-31.141103565318915
1739209895.1794856;-26.991370085610722
1739209895.1794922;-38.13080360867914
1739209895.1794987;-30.49652367304976
1739209895.179505;-32.816014438256545
1739209895.1795118;-38.13080360867914
1739209895.1795182;-31.141103565318915
1739209895.179525;-32.816014438256545
1739209895.1795313;-31.141103565318915
1739209895.1795378;-45.120503652039325
1739209895.1795444;-32.816014438256545
1739209895.179551;-38.13080360867914
1739209895.1795576;-38.13080360867914
1739209895.179564;-38.13080360867914
1739209895.1795704;-38.13080360867914
1739209895.179577;-32.816014438256545
1739209895.1795835;-45.120503652039325
1739209895.1795902;-38.13080360867914
