CAN Message; 0x98:00007a85f7d01277
Timestamp;Amplitude
1739209884.4344838;-45.120503652039325
1739209884.4344876;-38.13080360867914
1739209884.4344912;-35.57807855764607
1739209884.434495;-38.13080360867914
1739209884.4344985;-38.13080360867914
1739209884.4345024;-38.13080360867914
1739209884.434506;-38.13080360867914
1739209884.4345098;-45.120503652039325
1739209884.4345133;-38.13080360867914
1739209884.434517;-38.13080360867914
1739209884.4345207;-38.13080360867914
1739209884.4345243;-38.13080360867914
1739209884.434528;-45.120503652039325
1739209884.4345317;-38.13080360867914
1739209884.4345355;-35.57807855764607
1739209884.434539;-45.120503652039325
1739209884.434543;-45.120503652039325
1739209884.4345465;-32.816014438256545
1739209884.43455;-38.13080360867914
1739209884.4345539;-38.13080360867914
1739209884.4345574;-35.57807855764607
1739209884.4345613;-33.981070128970906
1739209884.4345648;-45.120503652039325
1739209884.4345686;-45.120503652039325
1739209884.4345722;-45.120503652039325
1739209884.434576;-45.120503652039325
1739209884.4345796;-45.120503652039325
1739209884.4345834;-45.120503652039325
1739209884.434587;-45.120503652039325
1739209884.4345906;-38.13080360867914
1739209884.4345944;-38.13080360867914
1739209884.434598;-45.120503652039325
1739209884.4346018;-38.13080360867914
1739209884.4346054;-38.13080360867914
1739209884.4346092;-45.120503652039325
1739209884.4346128;-45.120503652039325
1739209884.4346166;-45.120503652039325
1739209884.4346201;-32.816014438256545
1739209884.4346237;-33.981070128970906
1739209884.4346275;-38.13080360867914
1739209884.434631;-45.120503652039325
1739209884.434635;-38.13080360867914
1739209884.4346385;-35.57807855764607
1739209884.4346423;-45.120503652039325
1739209884.434646;-45.120503652039325
1739209884.4346497;-45.120503652039325
1739209884.4346533;-38.13080360867914
1739209884.4346569;-35.57807855764607
1739209884.4346607;-35.57807855764607
1739209884.4346642;-33.981070128970906
1739209884.434668;-45.120503652039325
1739209884.4346716;-45.120503652039325
1739209884.4346755;-45.120503652039325
1739209884.434679;-35.57807855764607
1739209884.4346828;-35.57807855764607
