CAN Message; 0x150:05000a96d4d2741d
Timestamp;Amplitude
1739209823.668546;-38.13080360867914
1739209823.6685503;-33.981070128970906
1739209823.6685543;-45.120503652039325
1739209823.6685586;-45.120503652039325
1739209823.6685627;-38.13080360867914
1739209823.668567;-45.120503652039325
1739209823.668571;-38.13080360867914
1739209823.6685753;-38.13080360867914
1739209823.6685793;-45.120503652039325
1739209823.6685836;-45.120503652039325
1739209823.6685877;-25.252786309376837
1739209823.668592;-28.21854285175415
1739209823.668596;-45.120503652039325
1739209823.6686003;-38.13080360867914
1739209823.6686044;-33.981070128970906
1739209823.6686084;-45.120503652039325
1739209823.6686127;-45.120503652039325
1739209823.6686168;-38.13080360867914
1739209823.668621;-45.120503652039325
1739209823.668625;-45.120503652039325
1739209823.6686294;-45.120503652039325
1739209823.6686335;-45.120503652039325
1739209823.6686378;-38.13080360867914
1739209823.6686418;-38.13080360867914
1739209823.668646;-38.13080360867914
1739209823.6686502;-35.57807855764607
1739209823.6686544;-38.13080360867914
1739209823.6686585;-38.13080360867914
1739209823.6686625;-38.13080360867914
1739209823.6686668;-38.13080360867914
1739209823.668671;-45.120503652039325
1739209823.6686752;-38.13080360867914
1739209823.6686792;-38.13080360867914
1739209823.6686835;-38.13080360867914
1739209823.6686876;-38.13080360867914
1739209823.6686919;-35.57807855764607
1739209823.668696;-38.13080360867914
1739209823.6687002;-38.13080360867914
1739209823.6687043;-35.57807855764607
1739209823.6687086;-38.13080360867914
1739209823.6687126;-33.981070128970906
1739209823.668717;-38.13080360867914
1739209823.668721;-45.120503652039325
1739209823.668725;-45.120503652039325
1739209823.6687293;-45.120503652039325
1739209823.6687334;-38.13080360867914
1739209823.6687376;-45.120503652039325
1739209823.6687417;-38.13080360867914
1739209823.668746;-35.57807855764607
1739209823.66875;-38.13080360867914
1739209823.6687543;-35.57807855764607
1739209823.6687584;-35.57807855764607
1739209823.6687627;-38.13080360867914
1739209823.6687667;-35.57807855764607
1739209823.668771;-38.13080360867914
1739209823.668775;-45.120503652039325
1739209823.6687791;-45.120503652039325
1739209823.6687834;-35.57807855764607
1739209823.6687875;-38.13080360867914
1739209823.6687918;-45.120503652039325
1739209823.6687958;-45.120503652039325
