CAN Message; 0x77:b911ebdb2ce26880
Timestamp;Amplitude
1739209629.9211454;-45.120503652039325
1739209629.9211512;-33.981070128970906
1739209629.9211566;-45.120503652039325
1739209629.9211624;-38.13080360867914
1739209629.9211679;-35.57807855764607
1739209629.9211733;-38.13080360867914
1739209629.921179;-38.13080360867914
1739209629.9211845;-38.13080360867914
1739209629.9211903;-38.13080360867914
1739209629.9211957;-35.57807855764607
1739209629.9212012;-38.13080360867914
1739209629.921207;-38.13080360867914
1739209629.9212124;-45.120503652039325
1739209629.9212182;-38.13080360867914
1739209629.9212236;-45.120503652039325
1739209629.9212291;-45.120503652039325
1739209629.9212348;-45.120503652039325
1739209629.9212403;-32.816014438256545
1739209629.921246;-38.13080360867914
1739209629.9212515;-45.120503652039325
1739209629.921257;-38.13080360867914
1739209629.9212627;-31.141103565318915
1739209629.9212682;-45.120503652039325
1739209629.921274;-45.120503652039325
1739209629.9212794;-38.13080360867914
1739209629.921285;-33.981070128970906
1739209629.9212906;-38.13080360867914
1739209629.9212961;-35.57807855764607
1739209629.9213018;-32.816014438256545
1739209629.9213073;-38.13080360867914
1739209629.9213128;-45.120503652039325
1739209629.9213185;-45.120503652039325
1739209629.921324;-38.13080360867914
1739209629.9213297;-38.13080360867914
1739209629.9213352;-38.13080360867914
1739209629.9213407;-38.13080360867914
1739209629.9213464;-45.120503652039325
1739209629.921352;-38.13080360867914
1739209629.9213576;-45.120503652039325
1739209629.921363;-45.120503652039325
1739209629.9213686;-45.120503652039325
1739209629.9213743;-33.981070128970906
1739209629.9213798;-45.120503652039325
1739209629.9213855;-45.120503652039325
1739209629.921391;-38.13080360867914
1739209629.9213965;-28.992665084841942
1739209629.9214022;-35.57807855764607
1739209629.9214077;-45.120503652039325
1739209629.9214134;-45.120503652039325
1739209629.921419;-38.13080360867914
1739209629.9214244;-45.120503652039325
1739209629.92143;-45.120503652039325
1739209629.9214356;-45.120503652039325
1739209629.9214413;-29.438486411369354
1739209629.9214468;-45.120503652039325
1739209629.9214523;-45.120503652039325
1739209629.921458;-38.13080360867914
1739209629.9214635;-33.981070128970906
1739209629.9214692;-45.120503652039325
1739209629.9214747;-45.120503652039325
1739209629.9214802;-45.120503652039325
1739209629.921486;-31.141103565318915
1739209629.9214914;-45.120503652039325
1739209629.921497;-38.13080360867914
1739209629.9215026;-38.13080360867914
1739209629.921508;-45.120503652039325
1739209629.9215138;-45.120503652039325
1739209629.9215193;-38.13080360867914
1739209629.921525;-45.120503652039325
1739209629.9215305;-45.120503652039325
1739209629.921536;-45.120503652039325
1739209629.9215417;-38.13080360867914
1739209629.9215472;-38.13080360867914
1739209629.921553;-35.57807855764607
1739209629.9215584;-38.13080360867914
1739209629.921564;-38.13080360867914
1739209629.9215696;-38.13080360867914
1739209629.921575;-45.120503652039325
1739209629.9215808;-38.13080360867914
1739209629.9215863;-35.57807855764607
1739209629.921592;-38.13080360867914
1739209629.9215975;-45.120503652039325
1739209629.921603;-35.57807855764607
1739209629.9216087;-45.120503652039325
1739209629.9216142;-45.120503652039325
1739209629.92162;-38.13080360867914
1739209629.9216254;-38.13080360867914
1739209629.9216309;-45.120503652039325
1739209629.9216366;-45.120503652039325
1739209629.921642;-38.13080360867914
1739209629.9216478;-45.120503652039325
1739209629.9216533;-38.13080360867914
1739209629.9216588;-45.120503652039325
1739209629.9216645;-45.120503652039325
1739209629.92167;-45.120503652039325
1739209629.9216757;-38.13080360867914
1739209629.9216812;-35.57807855764607
1739209629.9216866;-38.13080360867914
1739209629.9216924;-45.120503652039325
1739209629.9216979;-45.120503652039325
1739209629.9217036;-33.981070128970906
1739209629.921709;-45.120503652039325
1739209629.9217145;-45.120503652039325
1739209629.9217203;-38.13080360867914
1739209629.9217257;-35.57807855764607
1739209629.9217315;-45.120503652039325
1739209629.921737;-45.120503652039325
1739209629.9217424;-38.13080360867914
1739209629.9217482;-45.120503652039325
1739209629.9217536;-45.120503652039325
1739209629.9217594;-45.120503652039325
1739209629.9217649;-38.13080360867914
