CAN Message; 0x39:03332dc82b74bbe6
Timestamp;Amplitude
1739209651.3822231;-38.13080360867914
1739209651.3822272;-38.13080360867914
1739209651.3822315;-38.13080360867914
1739209651.3822355;-38.13080360867914
1739209651.3822398;-38.13080360867914
1739209651.3822439;-45.120503652039325
1739209651.3822482;-45.120503652039325
1739209651.3822525;-33.981070128970906
1739209651.3822565;-45.120503652039325
1739209651.3822608;-33.981070128970906
1739209651.3822649;-28.992665084841942
1739209651.3822691;-45.120503652039325
1739209651.3822732;-45.120503652039325
1739209651.3822775;-45.120503652039325
1739209651.3822815;-45.120503652039325
1739209651.3822858;-45.120503652039325
1739209651.3822901;-33.981070128970906
1739209651.3822942;-38.13080360867914
1739209651.3822985;-32.81601443825658
1739209651.3823025;-38.13080360867914
1739209651.3823068;-38.13080360867914
1739209651.3823109;-38.13080360867914
1739209651.3823152;-38.13080360867914
1739209651.3823195;-38.13080360867914
1739209651.3823235;-45.120503652039325
1739209651.3823278;-33.981070128970906
1739209651.3823318;-28.992665084841942
1739209651.3823361;-45.120503652039325
1739209651.3823402;-45.120503652039325
1739209651.3823445;-38.13080360867914
1739209651.3823488;-45.120503652039325
1739209651.3823528;-45.120503652039325
1739209651.3823571;-45.120503652039325
1739209651.3823612;-45.120503652039325
1739209651.3823655;-45.120503652039325
1739209651.3823695;-45.120503652039325
1739209651.3823738;-45.120503652039325
1739209651.382378;-45.120503652039325
1739209651.3823822;-35.57807855764607
1739209651.3823864;-38.13080360867914
1739209651.3823905;-45.120503652039325
1739209651.3823948;-38.13080360867914
1739209651.3823988;-38.13080360867914
1739209651.3824031;-45.120503652039325
1739209651.3824072;-35.57807855764607
1739209651.3824115;-38.13080360867914
1739209651.3824158;-45.120503652039325
1739209651.3824198;-45.120503652039325
1739209651.382424;-45.120503652039325
1739209651.3824282;-45.120503652039325
1739209651.3824325;-38.13080360867914
1739209651.3824365;-45.120503652039325
1739209651.3824408;-45.120503652039325
1739209651.382445;-45.120503652039325
1739209651.3824492;-33.981070128970906
1739209651.3824534;-45.120503652039325
1739209651.3824575;-45.120503652039325
1739209651.3824618;-45.120503652039325
1739209651.3824658;-45.120503652039325
1739209651.3824701;-38.13080360867914
1739209651.3824744;-38.13080360867914
1739209651.3824785;-45.120503652039325
1739209651.3824828;-45.120503652039325
1739209651.3824868;-38.13080360867914
1739209651.382491;-45.120503652039325
1739209651.3824952;-38.13080360867914
1739209651.3824995;-32.816014438256545
1739209651.3825037;-45.120503652039325
1739209651.3825078;-45.120503652039325
1739209651.382512;-38.13080360867914
1739209651.3825161;-33.981070128970906
1739209651.3825204;-45.120503652039325
1739209651.3825245;-45.120503652039325
1739209651.3825288;-38.13080360867914
1739209651.3825328;-45.120503652039325
1739209651.3825371;-38.13080360867914
1739209651.3825414;-38.13080360867914
1739209651.3825455;-45.120503652039325
1739209651.3825498;-38.13080360867914
1739209651.3825538;-30.49652367304973
1739209651.382558;-45.120503652039325
1739209651.3825622;-45.120503652039325
1739209651.3825665;-32.816014438256545
1739209651.3825707;-38.13080360867914
1739209651.3825748;-45.120503652039325
1739209651.382579;-38.13080360867914
1739209651.3825831;-38.13080360867914
1739209651.3825874;-45.120503652039325
1739209651.3825915;-45.120503652039325
1739209651.3825958;-45.120503652039325
1739209651.3826;-45.120503652039325
1739209651.3826041;-38.13080360867914
1739209651.3826084;-38.13080360867914
1739209651.3826125;-45.120503652039325
1739209651.3826168;-35.57807855764607
1739209651.3826208;-35.57807855764607
1739209651.382625;-38.13080360867914
1739209651.3826294;-38.13080360867914
1739209651.3826334;-38.13080360867914
1739209651.3826377;-38.13080360867914
1739209651.3826418;-45.120503652039325
1739209651.382646;-35.57807855764607
1739209651.3826501;-45.120503652039325
1739209651.3826544;-38.13080360867914
1739209651.3826585;-35.57807855764607
1739209651.3826628;-45.120503652039325
1739209651.382667;-45.120503652039325
1739209651.382671;-45.120503652039325
1739209651.3826754;-38.13080360867914
1739209651.3826795;-45.120503652039325
1739209651.3826838;-35.57807855764607
1739209651.3826878;-38.13080360867914
