CAN Message; 0x150:0700215d4b8269d9
Timestamp;Amplitude
1739209845.1698155;-45.120503652039325
1739209845.169818;-38.13080360867914
1739209845.1698205;-35.57807855764607
1739209845.169823;-45.120503652039325
1739209845.1698256;-45.120503652039325
1739209845.169828;-45.120503652039325
1739209845.1698306;-38.13080360867914
1739209845.169833;-38.13080360867914
1739209845.1698356;-45.120503652039325
1739209845.1698382;-38.13080360867914
1739209845.1698406;-35.57807855764607
1739209845.1698432;-45.120503652039325
1739209845.1698456;-45.120503652039325
1739209845.1698482;-33.981070128970906
1739209845.1698506;-45.120503652039325
1739209845.1698532;-38.13080360867914
1739209845.1698556;-45.120503652039325
1739209845.1698582;-38.13080360867914
1739209845.1698608;-45.120503652039325
1739209845.1698632;-45.120503652039325
1739209845.1698658;-45.120503652039325
1739209845.1698682;-45.120503652039325
1739209845.1698709;-38.13080360867914
1739209845.1698732;-28.992665084841942
1739209845.1698759;-38.13080360867914
1739209845.1698782;-45.120503652039325
1739209845.1698809;-38.13080360867914
1739209845.1698833;-31.141103565318915
1739209845.1698859;-45.120503652039325
1739209845.1698885;-45.120503652039325
1739209845.1698909;-45.120503652039325
1739209845.1698935;-33.981070128970956
1739209845.169896;-38.13080360867914
1739209845.1698985;-38.13080360867914
1739209845.169901;-45.120503652039325
1739209845.1699035;-38.13080360867914
1739209845.169906;-32.816014438256545
1739209845.1699085;-45.120503652039325
1739209845.1699111;-38.13080360867914
1739209845.1699135;-28.58837851428586
1739209845.1699162;-38.13080360867914
1739209845.1699185;-45.120503652039325
1739209845.1699212;-32.816014438256545
1739209845.1699235;-45.120503652039325
1739209845.1699262;-45.120503652039325
1739209845.1699286;-38.13080360867914
1739209845.1699312;-45.120503652039325
1739209845.1699338;-45.120503652039325
1739209845.1699362;-45.120503652039325
1739209845.1699388;-38.13080360867914
1739209845.1699412;-32.816014438256545
1739209845.1699438;-45.120503652039325
1739209845.1699462;-45.120503652039325
1739209845.1699488;-35.57807855764607
1739209845.1699512;-35.57807855764607
1739209845.1699538;-45.120503652039325
1739209845.1699564;-45.120503652039325
1739209845.1699588;-35.57807855764607
1739209845.1699615;-38.13080360867914
1739209845.1699638;-45.120503652039325
1739209845.1699665;-35.57807855764607
1739209845.1699688;-33.981070128970906
1739209845.1699715;-38.13080360867914
1739209845.1699739;-38.13080360867914
1739209845.1699765;-38.13080360867914
1739209845.1699789;-38.13080360867914
1739209845.1699815;-35.57807855764607
1739209845.169984;-45.120503652039325
1739209845.1699865;-45.120503652039325
1739209845.169989;-45.120503652039325
1739209845.1699915;-45.120503652039325
1739209845.169994;-45.120503652039325
1739209845.1699965;-45.120503652039325
1739209845.1699991;-38.13080360867914
1739209845.1700015;-38.13080360867914
1739209845.1700041;-33.981070128970906
1739209845.1700068;-38.13080360867914
1739209845.1700091;-38.13080360867914
1739209845.1700118;-45.120503652039325
1739209845.1700141;-38.13080360867914
1739209845.1700168;-28.58837851428586
1739209845.1700191;-38.13080360867914
1739209845.1700218;-45.120503652039325
1739209845.1700242;-45.120503652039325
1739209845.1700268;-33.981070128970906
1739209845.1700294;-45.120503652039325
1739209845.1700318;-45.120503652039325
1739209845.1700344;-45.120503652039325
1739209845.1700368;-45.120503652039325
1739209845.1700394;-45.120503652039325
1739209845.1700418;-45.120503652039325
1739209845.1700444;-45.120503652039325
1739209845.1700468;-38.13080360867914
1739209845.1700494;-38.13080360867914
1739209845.170052;-45.120503652039325
1739209845.1700544;-45.120503652039325
1739209845.170057;-38.13080360867914
1739209845.1700594;-45.120503652039325
1739209845.170062;-38.13080360867914
1739209845.1700644;-38.13080360867914
1739209845.170067;-35.57807855764607
1739209845.1700695;-45.120503652039325
1739209845.170072;-38.13080360867914
1739209845.1700745;-35.57807855764607
1739209845.170077;-32.816014438256545
1739209845.1700797;-45.120503652039325
1739209845.170082;-45.120503652039325
1739209845.1700847;-45.120503652039325
1739209845.170087;-45.120503652039325
1739209845.1700897;-38.13080360867914
1739209845.170092;-38.13080360867914
1739209845.1700947;-45.120503652039325
1739209845.170097;-33.981070128970956
1739209845.1700997;-38.13080360867914
1739209845.1701024;-38.13080360867914
1739209845.1701047;-35.57807855764607
1739209845.1701074;-38.13080360867914
1739209845.1701097;-38.13080360867914
1739209845.1701124;-35.57807855764607
1739209845.1701148;-38.13080360867914
1739209845.1701174;-27.267205301931607
1739209845.1701198;-32.816014438256545
1739209845.1701224;-35.57807855764607
1739209845.170125;-45.120503652039325
1739209845.1701274;-38.13080360867914
1739209845.17013;-35.57807855764607
1739209845.1701324;-38.13080360867914
1739209845.170135;-38.13080360867914
1739209845.1701374;-32.81601443825658
1739209845.17014;-38.13080360867914
1739209845.1701424;-38.13080360867914
1739209845.170145;-38.13080360867914
1739209845.1701477;-38.13080360867914
1739209845.17015;-38.13080360867914
1739209845.1701527;-38.13080360867914
1739209845.170155;-45.120503652039325
1739209845.1701577;-38.13080360867914
1739209845.17016;-45.120503652039325
1739209845.1701627;-38.13080360867914
1739209845.170165;-38.13080360867914
1739209845.1701677;-45.120503652039325
1739209845.17017;-35.57807855764607
1739209845.1701727;-31.141103565318915
1739209845.1701753;-38.13080360867914
1739209845.1701777;-38.13080360867914
1739209845.1701803;-38.13080360867914
1739209845.1701827;-45.120503652039325
1739209845.1701853;-35.57807855764607
1739209845.1701877;-38.13080360867914
1739209845.1701903;-35.57807855764607
1739209845.1701927;-33.981070128970906
1739209845.1701953;-45.120503652039325
1739209845.170198;-33.981070128970906
1739209845.1702003;-38.13080360867914
1739209845.170203;-38.13080360867914
1739209845.1702054;-45.120503652039325
1739209845.170208;-38.13080360867914
1739209845.1702104;-45.120503652039325
1739209845.170213;-45.120503652039325
1739209845.1702154;-38.13080360867914
1739209845.170218;-31.141103565318915
1739209845.1702206;-33.981070128970906
1739209845.170223;-38.13080360867914
1739209845.1702256;-38.13080360867914
1739209845.170228;-33.981070128970906
1739209845.1702306;-38.13080360867914
1739209845.170233;-45.120503652039325
1739209845.1702356;-35.57807855764607
1739209845.170238;-32.816014438256545
1739209845.1702406;-31.141103565318915
1739209845.1702433;-45.120503652039325
1739209845.1702456;-45.120503652039325
1739209845.1702483;-38.13080360867914
1739209845.1702507;-45.120503652039325
1739209845.1702533;-45.120503652039325
1739209845.1702557;-33.981070128970906
1739209845.1702583;-38.13080360867914
1739209845.1702607;-38.13080360867914
1739209845.1702633;-38.13080360867914
1739209845.1702657;-45.120503652039325
1739209845.1702683;-38.13080360867914
1739209845.170271;-38.13080360867914
1739209845.1702733;-45.120503652039325
1739209845.170276;-45.120503652039325
1739209845.1702783;-45.120503652039325
1739209845.170281;-38.13080360867914
1739209845.1702833;-38.13080360867914
1739209845.170286;-45.120503652039325
1739209845.1702883;-45.120503652039325
1739209845.170291;-35.57807855764607
1739209845.1702936;-35.57807855764607
1739209845.170296;-38.13080360867914
