CAN Message; 0x1d3:00003a901ad6823a
Timestamp;Amplitude
1739209713.2560368;-38.13080360867914
1739209713.2560453;-45.120503652039325
1739209713.2560542;-38.13080360867914
1739209713.256063;-38.13080360867914
1739209713.2560718;-38.13080360867914
1739209713.2560804;-45.120503652039325
1739209713.2560892;-38.13080360867914
1739209713.256098;-38.13080360867914
1739209713.2561066;-38.13080360867914
1739209713.2561154;-45.120503652039325
1739209713.2561243;-45.120503652039325
1739209713.256133;-38.13080360867914
1739209713.2561417;-38.13080360867914
1739209713.2561505;-45.120503652039325
1739209713.2561593;-45.120503652039325
1739209713.256168;-35.57807855764607
1739209713.2561767;-38.13080360867914
1739209713.2561855;-30.49652367304973
1739209713.256194;-38.13080360867914
1739209713.256203;-38.13080360867914
1739209713.2562118;-38.13080360867914
1739209713.2562206;-38.13080360867914
1739209713.2562292;-38.13080360867914
1739209713.256238;-38.13080360867914
1739209713.2562468;-38.13080360867914
1739209713.2562554;-32.81601443825658
1739209713.2562642;-45.120503652039325
1739209713.256273;-35.57807855764607
1739209713.2562819;-45.120503652039325
1739209713.2562904;-45.120503652039325
1739209713.2562993;-45.120503652039325
1739209713.256308;-45.120503652039325
1739209713.2563167;-45.120503652039325
1739209713.2563255;-28.21854285175415
1739209713.2563343;-32.816014438256545
1739209713.2563431;-45.120503652039325
1739209713.2563517;-45.120503652039325
1739209713.2563605;-35.57807855764607
1739209713.2563694;-35.57807855764607
1739209713.256378;-45.120503652039325
1739209713.2563868;-38.13080360867914
1739209713.2563956;-35.57807855764607
1739209713.2564042;-33.981070128970906
1739209713.256413;-38.13080360867914
1739209713.2564218;-38.13080360867914
1739209713.2564306;-45.120503652039325
1739209713.2564392;-45.120503652039325
1739209713.256448;-45.120503652039325
1739209713.2564569;-38.13080360867914
1739209713.2564654;-38.13080360867914
1739209713.2564743;-45.120503652039325
1739209713.256483;-45.120503652039325
1739209713.256492;-38.13080360867914
1739209713.2565005;-45.120503652039325
1739209713.2565093;-45.120503652039325
1739209713.2565181;-45.120503652039325
1739209713.2565267;-45.120503652039325
1739209713.2565355;-30.49652367304973
1739209713.2565444;-28.58837851428586
1739209713.2565532;-45.120503652039325
1739209713.2565618;-45.120503652039325
1739209713.2565706;-38.13080360867914
1739209713.2565794;-38.13080360867914
1739209713.256588;-45.120503652039325
1739209713.2565968;-38.13080360867914
1739209713.2566056;-38.13080360867914
1739209713.2566144;-45.120503652039325
1739209713.256623;-45.120503652039325
1739209713.2566319;-45.120503652039325
1739209713.2566407;-45.120503652039325
1739209713.2566493;-38.13080360867914
1739209713.256658;-38.13080360867914
1739209713.256667;-38.13080360867914
1739209713.2566755;-35.57807855764607
1739209713.2566843;-45.120503652039325
1739209713.2566931;-45.120503652039325
1739209713.256702;-45.120503652039325
1739209713.2567105;-45.120503652039325
1739209713.2567194;-38.13080360867914
1739209713.2567282;-35.57807855764607
1739209713.2567368;-45.120503652039325
1739209713.2567456;-45.120503652039325
1739209713.2567544;-35.57807855764607
1739209713.2567632;-38.13080360867914
1739209713.2567718;-45.120503652039325
1739209713.2567806;-38.13080360867914
1739209713.2567894;-35.57807855764607
1739209713.256798;-38.13080360867914
1739209713.2568069;-38.13080360867914
1739209713.2568157;-45.120503652039325
1739209713.2568245;-45.120503652039325
1739209713.256833;-38.13080360867914
1739209713.256842;-38.13080360867914
1739209713.2568507;-45.120503652039325
1739209713.2568593;-45.120503652039325
1739209713.2568681;-38.13080360867914
1739209713.256877;-38.13080360867914
1739209713.2568855;-45.120503652039325
1739209713.2568944;-35.57807855764607
1739209713.2569032;-35.57807855764607
1739209713.256912;-38.13080360867914
1739209713.2569206;-45.120503652039325
1739209713.2569294;-31.141103565318915
1739209713.2569382;-28.992665084841942
1739209713.2569468;-45.120503652039325
1739209713.2569556;-45.120503652039325
1739209713.2569644;-45.120503652039325
1739209713.2569733;-32.816014438256545
1739209713.2569818;-45.120503652039325
1739209713.2569907;-45.120503652039325
1739209713.2569995;-45.120503652039325
1739209713.257008;-38.13080360867914
1739209713.257017;-33.981070128970906
1739209713.2570257;-45.120503652039325
1739209713.2570345;-45.120503652039325
1739209713.2570431;-38.13080360867914
1739209713.257052;-38.13080360867914
1739209713.2570608;-45.120503652039325
1739209713.2570693;-38.13080360867914
1739209713.2570782;-38.13080360867914
1739209713.257087;-38.13080360867914
1739209713.2570956;-45.120503652039325
1739209713.2571044;-33.981070128970906
1739209713.2571132;-30.49652367304973
1739209713.257122;-38.13080360867914
1739209713.2571306;-45.120503652039325
1739209713.2571394;-38.13080360867914
1739209713.2571483;-33.981070128970906
1739209713.2571568;-38.13080360867914
1739209713.2571657;-45.120503652039325
1739209713.2571745;-45.120503652039325
