CAN Message; 0x1d3:0000c96080aee888
Timestamp;Amplitude
1739209698.037898;-45.120503652039325
1739209698.0379016;-45.120503652039325
1739209698.0379055;-33.981070128970906
1739209698.037909;-35.57807855764607
1739209698.0379128;-38.13080360867914
1739209698.0379164;-38.13080360867914
1739209698.0379202;-38.13080360867914
1739209698.037924;-45.120503652039325
1739209698.0379276;-45.120503652039325
1739209698.0379314;-38.13080360867914
1739209698.037935;-45.120503652039325
1739209698.0379388;-45.120503652039325
1739209698.0379424;-45.120503652039325
1739209698.0379462;-45.120503652039325
1739209698.0379498;-45.120503652039325
1739209698.0379536;-45.120503652039325
1739209698.0379574;-45.120503652039325
1739209698.037961;-45.120503652039325
1739209698.0379648;-45.120503652039325
1739209698.0379684;-45.120503652039325
1739209698.0379722;-45.120503652039325
1739209698.0379758;-45.120503652039325
1739209698.0379796;-38.13080360867914
1739209698.0379834;-35.57807855764607
1739209698.037987;-45.120503652039325
1739209698.0379908;-38.13080360867914
1739209698.0379944;-38.13080360867914
1739209698.0379982;-38.13080360867914
1739209698.0380018;-38.13080360867914
1739209698.0380056;-38.13080360867914
1739209698.0380092;-35.57807855764607
1739209698.038013;-45.120503652039325
1739209698.0380168;-38.13080360867914
1739209698.0380204;-33.981070128970906
1739209698.0380242;-45.120503652039325
1739209698.0380278;-38.13080360867914
1739209698.0380316;-45.120503652039325
1739209698.0380352;-45.120503652039325
1739209698.038039;-33.981070128970906
1739209698.0380428;-33.981070128970906
1739209698.0380464;-45.120503652039325
1739209698.0380502;-38.13080360867914
1739209698.0380538;-45.120503652039325
1739209698.0380576;-38.13080360867914
1739209698.0380611;-45.120503652039325
1739209698.038065;-45.120503652039325
1739209698.0380688;-45.120503652039325
1739209698.0380723;-38.13080360867914
1739209698.0380762;-33.981070128970906
1739209698.0380797;-38.13080360867914
1739209698.0380836;-45.120503652039325
1739209698.0380871;-45.120503652039325
1739209698.038091;-45.120503652039325
1739209698.0380945;-45.120503652039325
1739209698.0380983;-38.13080360867914
1739209698.0381021;-38.13080360867914
1739209698.0381057;-38.13080360867914
1739209698.0381095;-45.120503652039325
1739209698.038113;-45.120503652039325
1739209698.038117;-38.13080360867914
1739209698.0381205;-38.13080360867914
1739209698.0381243;-38.13080360867914
1739209698.0381281;-45.120503652039325
1739209698.0381317;-38.13080360867914
1739209698.0381355;-35.57807855764607
1739209698.038139;-45.120503652039325
1739209698.038143;-45.120503652039325
1739209698.0381465;-33.981070128970906
1739209698.0381503;-38.13080360867914
1739209698.0381541;-38.13080360867914
1739209698.0381577;-38.13080360867914
1739209698.0381615;-38.13080360867914
1739209698.038165;-38.13080360867914
1739209698.038169;-38.13080360867914
1739209698.0381725;-45.120503652039325
1739209698.0381763;-45.120503652039325
1739209698.0381799;-38.13080360867914
1739209698.0381837;-38.13080360867914
1739209698.0381875;-38.13080360867914
1739209698.038191;-35.57807855764607
1739209698.038195;-45.120503652039325
1739209698.0381985;-45.120503652039325
1739209698.0382023;-38.13080360867914
1739209698.0382059;-38.13080360867914
1739209698.0382097;-45.120503652039325
1739209698.0382135;-45.120503652039325
1739209698.038217;-38.13080360867914
1739209698.038221;-35.57807855764607
1739209698.0382245;-38.13080360867914
1739209698.0382283;-38.13080360867914
1739209698.0382318;-33.981070128970906
1739209698.0382357;-33.981070128970906
1739209698.0382392;-45.120503652039325
1739209698.038243;-38.13080360867914
1739209698.0382469;-32.816014438256545
1739209698.0382504;-45.120503652039325
1739209698.0382543;-45.120503652039325
1739209698.0382578;-38.13080360867914
1739209698.0382617;-45.120503652039325
1739209698.0382652;-45.120503652039325
1739209698.038269;-38.13080360867914
1739209698.0382729;-38.13080360867914
1739209698.0382764;-45.120503652039325
1739209698.0382802;-45.120503652039325
1739209698.0382838;-45.120503652039325
1739209698.0382876;-38.13080360867914
1739209698.0382912;-35.57807855764607
1739209698.038295;-33.981070128970906
1739209698.0382988;-38.13080360867914
1739209698.0383024;-45.120503652039325
1739209698.0383062;-45.120503652039325
1739209698.0383098;-30.49652367304973
1739209698.0383136;-32.816014438256545
1739209698.0383172;-45.120503652039325
1739209698.038321;-45.120503652039325
1739209698.0383246;-45.120503652039325
1739209698.0383284;-45.120503652039325
1739209698.0383322;-45.120503652039325
1739209698.0383358;-35.57807855764607
1739209698.0383396;-38.13080360867914
1739209698.0383432;-45.120503652039325
1739209698.038347;-38.13080360867914
1739209698.0383506;-45.120503652039325
1739209698.0383544;-45.120503652039325
1739209698.0383582;-45.120503652039325
