CAN Message; 0x1bb:000052ac26544f1f
Timestamp;Amplitude
1739209755.6473818;-38.13080360867914
1739209755.647389;-38.13080360867914
1739209755.647396;-45.120503652039325
1739209755.6474032;-45.120503652039325
1739209755.6474104;-38.13080360867914
1739209755.6474175;-45.120503652039325
1739209755.6474247;-38.13080360867914
1739209755.6474319;-30.49652367304973
1739209755.647439;-32.816014438256545
1739209755.6474462;-45.120503652039325
1739209755.6474533;-38.13080360867914
1739209755.6474605;-45.120503652039325
1739209755.6474676;-38.13080360867914
1739209755.6474748;-38.13080360867914
1739209755.6474822;-38.13080360867914
1739209755.6474893;-45.120503652039325
1739209755.6474965;-45.120503652039325
1739209755.6475036;-45.120503652039325
1739209755.6475108;-45.120503652039325
1739209755.647518;-35.57807855764607
1739209755.647525;-38.13080360867914
1739209755.6475322;-35.57807855764607
1739209755.6475394;-30.49652367304973
1739209755.6475465;-45.120503652039325
1739209755.6475537;-45.120503652039325
1739209755.6475608;-38.13080360867914
1739209755.647568;-45.120503652039325
1739209755.6475751;-45.120503652039325
1739209755.6475823;-45.120503652039325
1739209755.6475894;-35.57807855764607
1739209755.6475966;-45.120503652039325
1739209755.6476038;-35.57807855764607
1739209755.647611;-35.57807855764607
1739209755.647618;-38.13080360867914
1739209755.6476252;-45.120503652039325
1739209755.6476324;-45.120503652039325
1739209755.6476395;-38.13080360867914
1739209755.6476467;-45.120503652039325
1739209755.6476538;-38.13080360867914
1739209755.647661;-45.120503652039325
1739209755.6476681;-45.120503652039325
1739209755.6476753;-38.13080360867914
1739209755.6476827;-38.13080360867914
1739209755.6476898;-38.13080360867914
1739209755.647697;-38.13080360867914
1739209755.6477041;-38.13080360867914
1739209755.6477113;-38.13080360867914
1739209755.6477184;-38.13080360867914
1739209755.6477256;-38.13080360867914
1739209755.6477327;-45.120503652039325
1739209755.64774;-45.120503652039325
1739209755.647747;-38.13080360867914
1739209755.6477542;-38.13080360867914
1739209755.6477613;-38.13080360867914
1739209755.6477685;-38.13080360867914
1739209755.6477757;-38.13080360867914
1739209755.6477828;-45.120503652039325
1739209755.64779;-38.13080360867914
1739209755.647797;-45.120503652039325
1739209755.6478043;-38.13080360867914
1739209755.6478114;-38.13080360867914
1739209755.6478186;-38.13080360867914
1739209755.6478257;-38.13080360867914
1739209755.6478329;-38.13080360867914
1739209755.64784;-35.57807855764607
1739209755.6478472;-45.120503652039325
1739209755.6478543;-45.120503652039325
1739209755.6478615;-35.57807855764607
1739209755.6478686;-38.13080360867914
1739209755.6478758;-45.120503652039325
1739209755.647883;-38.13080360867914
1739209755.6478903;-38.13080360867914
1739209755.6478975;-31.141103565318915
1739209755.6479046;-32.816014438256545
1739209755.6479118;-38.13080360867914
1739209755.647919;-38.13080360867914
1739209755.647926;-38.13080360867914
1739209755.6479332;-45.120503652039325
1739209755.6479404;-45.120503652039325
1739209755.6479475;-33.981070128970906
1739209755.6479547;-38.13080360867914
1739209755.6479619;-33.981070128970906
1739209755.647969;-38.13080360867914
1739209755.6479762;-38.13080360867914
1739209755.6479833;-38.13080360867914
1739209755.6479905;-38.13080360867914
1739209755.6479976;-38.13080360867914
1739209755.6480048;-35.57807855764607
1739209755.648012;-33.981070128970906
1739209755.648019;-38.13080360867914
1739209755.6480262;-38.13080360867914
1739209755.6480334;-38.13080360867914
1739209755.6480405;-38.13080360867914
1739209755.6480477;-33.981070128970906
1739209755.6480548;-45.120503652039325
1739209755.648062;-45.120503652039325
1739209755.6480691;-45.120503652039325
1739209755.6480763;-38.13080360867914
1739209755.6480834;-38.13080360867914
1739209755.6480908;-38.13080360867914
1739209755.648098;-38.13080360867914
1739209755.6481051;-38.13080360867914
1739209755.6481123;-38.13080360867914
1739209755.6481194;-45.120503652039325
1739209755.6481266;-38.13080360867914
1739209755.6481338;-38.13080360867914
1739209755.648141;-38.13080360867914
1739209755.648148;-45.120503652039325
1739209755.6481552;-45.120503652039325
1739209755.6481624;-38.13080360867914
1739209755.6481695;-38.13080360867914
1739209755.6481767;-45.120503652039325
1739209755.6481838;-45.120503652039325
1739209755.648191;-35.57807855764607
1739209755.6481981;-38.13080360867914
1739209755.6482053;-45.120503652039325
1739209755.6482124;-38.13080360867914
1739209755.6482196;-38.13080360867914
1739209755.6482267;-38.13080360867914
1739209755.648234;-45.120503652039325
1739209755.648241;-45.120503652039325
1739209755.6482482;-35.57807855764607
1739209755.6482553;-38.13080360867914
1739209755.6482625;-45.120503652039325
1739209755.6482697;-38.13080360867914
1739209755.6482768;-38.13080360867914
