CAN Message; 0x1a7:00009df8646c7ece
Timestamp;Amplitude
1739209787.8363733;-35.57807855764607
1739209787.8363788;-38.13080360867914
1739209787.8363843;-33.981070128970906
1739209787.8363898;-38.13080360867914
1739209787.8363955;-45.120503652039325
1739209787.836401;-38.13080360867914
1739209787.8364065;-45.120503652039325
1739209787.836412;-45.120503652039325
1739209787.8364174;-38.13080360867914
1739209787.836423;-45.120503652039325
1739209787.8364284;-45.120503652039325
1739209787.836434;-45.120503652039325
1739209787.8364394;-45.120503652039325
1739209787.836445;-38.13080360867914
1739209787.8364506;-38.13080360867914
1739209787.836456;-38.13080360867914
1739209787.8364615;-45.120503652039325
1739209787.836467;-33.981070128970906
1739209787.8364725;-38.13080360867914
1739209787.836478;-45.120503652039325
1739209787.8364835;-45.120503652039325
1739209787.836489;-38.13080360867914
1739209787.8364947;-38.13080360867914
1739209787.8365002;-45.120503652039325
1739209787.8365057;-38.13080360867914
1739209787.8365111;-45.120503652039325
1739209787.8365166;-45.120503652039325
1739209787.836522;-45.120503652039325
1739209787.8365276;-45.120503652039325
1739209787.836533;-45.120503652039325
1739209787.8365386;-45.120503652039325
1739209787.8365443;-45.120503652039325
1739209787.8365498;-45.120503652039325
1739209787.8365552;-38.13080360867914
1739209787.8365607;-38.13080360867914
1739209787.8365662;-45.120503652039325
1739209787.8365717;-45.120503652039325
1739209787.8365772;-38.13080360867914
1739209787.8365827;-33.981070128970906
1739209787.8365881;-38.13080360867914
1739209787.8365939;-45.120503652039325
1739209787.8365993;-45.120503652039325
1739209787.8366048;-45.120503652039325
1739209787.8366103;-38.13080360867914
1739209787.8366158;-45.120503652039325
1739209787.8366213;-45.120503652039325
1739209787.8366268;-45.120503652039325
1739209787.8366323;-38.13080360867914
1739209787.8366377;-38.13080360867914
1739209787.8366435;-38.13080360867914
1739209787.836649;-38.13080360867914
1739209787.8366544;-45.120503652039325
1739209787.83666;-45.120503652039325
1739209787.8366654;-45.120503652039325
1739209787.8366709;-30.49652367304973
1739209787.8366764;-35.57807855764607
1739209787.8366818;-45.120503652039325
1739209787.8366873;-45.120503652039325
1739209787.836693;-35.57807855764607
1739209787.8366985;-38.13080360867914
1739209787.836704;-38.13080360867914
1739209787.8367095;-35.57807855764607
1739209787.836715;-45.120503652039325
1739209787.8367205;-45.120503652039325
1739209787.836726;-32.816014438256545
1739209787.8367314;-38.13080360867914
1739209787.836737;-45.120503652039325
1739209787.8367426;-45.120503652039325
1739209787.8367481;-45.120503652039325
1739209787.8367536;-45.120503652039325
1739209787.836759;-45.120503652039325
1739209787.8367646;-45.120503652039325
1739209787.83677;-45.120503652039325
1739209787.8367755;-38.13080360867914
1739209787.836781;-35.57807855764607
1739209787.8367865;-45.120503652039325
1739209787.836792;-45.120503652039325
1739209787.8367977;-38.13080360867914
1739209787.8368032;-31.141103565318893
1739209787.8368087;-35.57807855764607
1739209787.8368142;-45.120503652039325
1739209787.8368196;-45.120503652039325
1739209787.8368251;-45.120503652039325
1739209787.8368306;-38.13080360867914
1739209787.836836;-38.13080360867914
1739209787.8368416;-38.13080360867914
1739209787.8368473;-45.120503652039325
