CAN Message; 0x39:007b4b87ba097f74
Timestamp;Amplitude
1739209650.5101695;-33.981070128970906
1739209650.5101738;-31.141103565318915
1739209650.5101783;-33.981070128970906
1739209650.5101826;-38.13080360867914
1739209650.5101871;-45.120503652039325
1739209650.5101914;-38.13080360867914
1739209650.510196;-45.120503652039325
1739209650.5102005;-45.120503652039325
1739209650.5102048;-38.13080360867914
1739209650.5102093;-30.49652367304973
1739209650.5102136;-31.141103565318915
1739209650.5102181;-38.13080360867914
1739209650.5102224;-45.120503652039325
1739209650.510227;-38.13080360867914
1739209650.5102313;-38.13080360867914
1739209650.5102358;-38.13080360867914
1739209650.5102403;-45.120503652039325
1739209650.5102446;-31.141103565318915
1739209650.5102491;-33.981070128970906
1739209650.5102534;-38.13080360867914
1739209650.510258;-45.120503652039325
1739209650.5102623;-45.120503652039325
1739209650.5102668;-38.13080360867914
1739209650.5102713;-35.57807855764607
1739209650.5102756;-38.13080360867914
1739209650.5102801;-33.981070128970906
1739209650.5102844;-31.141103565318915
1739209650.510289;-45.120503652039325
1739209650.5102932;-45.120503652039325
1739209650.5102978;-38.13080360867914
1739209650.510302;-38.13080360867914
1739209650.5103066;-38.13080360867914
1739209650.5103111;-45.120503652039325
1739209650.5103154;-38.13080360867914
1739209650.51032;-38.13080360867914
1739209650.5103242;-38.13080360867914
1739209650.5103288;-45.120503652039325
1739209650.510333;-33.981070128970906
1739209650.5103376;-35.57807855764607
1739209650.5103421;-45.120503652039325
1739209650.5103464;-45.120503652039325
1739209650.510351;-45.120503652039325
1739209650.5103552;-38.13080360867914
1739209650.5103598;-38.13080360867914
1739209650.510364;-38.13080360867914
1739209650.5103686;-45.120503652039325
1739209650.5103729;-45.120503652039325
1739209650.5103774;-38.13080360867914
1739209650.510382;-45.120503652039325
1739209650.5103862;-33.981070128970906
1739209650.5103908;-31.141103565318915
1739209650.510395;-38.13080360867914
1739209650.5103996;-45.120503652039325
1739209650.5104039;-45.120503652039325
