CAN Message; 0x98:00006cb25d5cfe17
Timestamp;Amplitude
1739209898.6636152;-38.13080360867914
1739209898.6636183;-45.120503652039325
1739209898.6636212;-45.120503652039325
1739209898.6636243;-38.13080360867914
1739209898.6636271;-45.120503652039325
1739209898.6636302;-45.120503652039325
1739209898.663633;-38.13080360867914
1739209898.6636362;-38.13080360867914
1739209898.663639;-45.120503652039325
1739209898.663642;-38.13080360867914
1739209898.663645;-45.120503652039325
1739209898.663648;-45.120503652039325
1739209898.663651;-38.13080360867914
1739209898.6636539;-45.120503652039325
1739209898.663657;-45.120503652039325
1739209898.6636598;-38.13080360867914
1739209898.663663;-38.13080360867914
1739209898.6636658;-45.120503652039325
1739209898.6636686;-38.13080360867914
1739209898.6636717;-35.57807855764607
1739209898.6636746;-45.120503652039325
1739209898.6636777;-45.120503652039325
1739209898.6636806;-35.57807855764607
1739209898.6636837;-45.120503652039325
1739209898.6636865;-33.981070128970906
1739209898.6636896;-32.816014438256545
1739209898.6636925;-35.57807855764607
1739209898.6636953;-45.120503652039325
1739209898.6636984;-38.13080360867914
1739209898.6637013;-32.816014438256545
1739209898.6637044;-45.120503652039325
1739209898.6637073;-45.120503652039325
1739209898.6637104;-38.13080360867914
1739209898.6637132;-38.13080360867914
1739209898.6637163;-38.13080360867914
1739209898.6637192;-45.120503652039325
1739209898.663722;-38.13080360867914
1739209898.6637251;-45.120503652039325
1739209898.663728;-45.120503652039325
1739209898.663731;-45.120503652039325
1739209898.663734;-38.13080360867914
1739209898.663737;-38.13080360867914
1739209898.66374;-45.120503652039325
1739209898.663743;-45.120503652039325
1739209898.6637459;-45.120503652039325
1739209898.6637487;-32.816014438256545
1739209898.6637518;-35.57807855764607
1739209898.6637547;-38.13080360867914
1739209898.6637578;-38.13080360867914
1739209898.6637607;-38.13080360867914
1739209898.6637638;-38.13080360867914
1739209898.6637666;-45.120503652039325
1739209898.6637697;-38.13080360867914
1739209898.6637726;-45.120503652039325
1739209898.6637754;-38.13080360867914
1739209898.6637785;-45.120503652039325
1739209898.6637814;-38.13080360867914
1739209898.6637845;-38.13080360867914
1739209898.6637874;-35.57807855764607
1739209898.6637905;-45.120503652039325
1739209898.6637933;-45.120503652039325
1739209898.6637964;-33.981070128970906
1739209898.6637993;-45.120503652039325
1739209898.6638021;-45.120503652039325
1739209898.6638052;-45.120503652039325
1739209898.663808;-38.13080360867914
1739209898.6638112;-38.13080360867914
1739209898.663814;-45.120503652039325
1739209898.6638172;-45.120503652039325
1739209898.66382;-35.57807855764607
1739209898.6638231;-38.13080360867914
