CAN Message; 0x62:0eb79e45328bc85d
Timestamp;Amplitude
1739209718.9080858;-31.141103565318915
1739209718.908091;-45.120503652039325
1739209718.9080966;-35.57807855764607
1739209718.9081018;-45.120503652039325
1739209718.9081073;-45.120503652039325
1739209718.9081125;-45.120503652039325
1739209718.908118;-33.981070128970906
1739209718.9081233;-31.141103565318893
1739209718.9081287;-38.13080360867914
1739209718.908134;-45.120503652039325
1739209718.9081395;-35.57807855764607
1739209718.9081447;-35.57807855764607
1739209718.9081502;-45.120503652039325
1739209718.9081554;-45.120503652039325
1739209718.908161;-45.120503652039325
1739209718.9081662;-45.120503652039325
1739209718.9081717;-45.120503652039325
1739209718.908177;-45.120503652039325
1739209718.9081824;-45.120503652039325
1739209718.9081876;-45.120503652039325
1739209718.908193;-45.120503652039325
1739209718.9081984;-45.120503652039325
1739209718.9082038;-38.13080360867914
1739209718.908209;-38.13080360867914
1739209718.9082146;-45.120503652039325
1739209718.9082198;-45.120503652039325
1739209718.9082253;-33.981070128970906
1739209718.9082305;-26.035653463252796
1739209718.908236;-38.13080360867914
1739209718.9082413;-45.120503652039325
1739209718.9082468;-35.57807855764607
1739209718.908252;-35.57807855764607
1739209718.9082575;-38.13080360867914
1739209718.9082627;-35.57807855764607
1739209718.9082682;-38.13080360867914
1739209718.9082735;-45.120503652039325
1739209718.908279;-38.13080360867914
1739209718.9082844;-38.13080360867914
1739209718.9082897;-38.13080360867914
1739209718.9082952;-45.120503652039325
1739209718.9083004;-45.120503652039325
1739209718.908306;-45.120503652039325
1739209718.9083111;-45.120503652039325
1739209718.9083166;-38.13080360867914
1739209718.9083219;-38.13080360867914
1739209718.9083273;-45.120503652039325
1739209718.9083326;-38.13080360867914
1739209718.908338;-45.120503652039325
1739209718.9083433;-38.13080360867914
1739209718.9083488;-45.120503652039325
1739209718.908354;-38.13080360867914
1739209718.9083595;-27.8777449560314
1739209718.9083648;-35.57807855764607
1739209718.9083703;-38.13080360867914
1739209718.9083755;-38.13080360867914
1739209718.908381;-30.49652367304973
1739209718.9083862;-38.13080360867914
1739209718.9083917;-45.120503652039325
1739209718.908397;-38.13080360867914
1739209718.9084024;-38.13080360867914
1739209718.9084077;-45.120503652039325
1739209718.9084132;-45.120503652039325
1739209718.9084184;-45.120503652039325
1739209718.908424;-38.13080360867914
1739209718.9084291;-38.13080360867914
1739209718.9084346;-38.13080360867914
1739209718.9084399;-38.13080360867914
1739209718.9084454;-35.57807855764607
1739209718.9084506;-38.13080360867914
1739209718.908456;-45.120503652039325
1739209718.9084613;-45.120503652039325
1739209718.9084668;-45.120503652039325
1739209718.908472;-45.120503652039325
1739209718.9084775;-45.120503652039325
1739209718.908483;-38.13080360867914
1739209718.9084883;-38.13080360867914
1739209718.9084938;-38.13080360867914
1739209718.908499;-45.120503652039325
1739209718.9085045;-38.13080360867914
1739209718.9085097;-35.57807855764607
1739209718.9085152;-38.13080360867914
1739209718.9085205;-45.120503652039325
1739209718.908526;-33.981070128970906
1739209718.9085312;-45.120503652039325
1739209718.9085367;-45.120503652039325
1739209718.908542;-38.13080360867914
1739209718.9085474;-45.120503652039325
1739209718.9085526;-45.120503652039325
1739209718.9085581;-38.13080360867914
1739209718.9085634;-45.120503652039325
1739209718.9085689;-38.13080360867914
1739209718.908574;-38.13080360867914
1739209718.9085796;-38.13080360867914
1739209718.9085848;-38.13080360867914
1739209718.9085903;-38.13080360867914
1739209718.9085956;-45.120503652039325
1739209718.908601;-45.120503652039325
1739209718.9086063;-38.13080360867914
1739209718.9086118;-45.120503652039325
1739209718.908617;-38.13080360867914
1739209718.9086225;-31.141103565318915
1739209718.9086277;-35.57807855764607
1739209718.9086332;-45.120503652039325
1739209718.9086385;-32.816014438256545
1739209718.908644;-38.13080360867914
1739209718.9086492;-45.120503652039325
1739209718.9086547;-38.13080360867914
1739209718.90866;-45.120503652039325
1739209718.9086654;-38.13080360867914
1739209718.908671;-35.57807855764607
1739209718.9086761;-35.57807855764607
1739209718.9086816;-45.120503652039325
1739209718.9086869;-38.13080360867914
1739209718.9086924;-45.120503652039325
1739209718.9086976;-45.120503652039325
1739209718.908703;-38.13080360867914
1739209718.9087083;-38.13080360867914
1739209718.9087138;-45.120503652039325
1739209718.908719;-38.13080360867914
1739209718.9087245;-45.120503652039325
1739209718.9087298;-38.13080360867914
1739209718.9087353;-45.120503652039325
1739209718.9087405;-38.13080360867914
1739209718.908746;-38.13080360867914
1739209718.9087512;-38.13080360867914
1739209718.9087567;-35.57807855764607
1739209718.908762;-35.57807855764607
1739209718.9087675;-32.816014438256545
1739209718.9087727;-33.981070128970906
1739209718.9087782;-45.120503652039325
1739209718.9087834;-45.120503652039325
1739209718.908789;-38.13080360867914
1739209718.9087942;-38.13080360867914
1739209718.9087996;-45.120503652039325
1739209718.908805;-38.13080360867914
1739209718.9088104;-35.57807855764607
1739209718.9088156;-45.120503652039325
1739209718.908821;-45.120503652039325
1739209718.9088264;-38.13080360867914
1739209718.9088318;-35.57807855764607
1739209718.908837;-31.141103565318915
1739209718.9088426;-45.120503652039325
1739209718.9088478;-45.120503652039325
1739209718.9088533;-35.57807855764607
1739209718.9088585;-38.13080360867914
1739209718.908864;-38.13080360867914
1739209718.9088695;-33.981070128970906
1739209718.9088748;-32.816014438256545
1739209718.9088802;-29.438486411369354
1739209718.9088855;-45.120503652039325
1739209718.908891;-38.13080360867914
1739209718.9088962;-38.13080360867914
1739209718.9089017;-38.13080360867914
1739209718.908907;-38.13080360867914
1739209718.9089124;-38.13080360867914
1739209718.9089177;-38.13080360867914
1739209718.9089231;-31.141103565318915
1739209718.9089284;-35.57807855764607
1739209718.9089339;-38.13080360867914
1739209718.9089391;-45.120503652039325
1739209718.9089446;-38.13080360867914
1739209718.9089499;-45.120503652039325
1739209718.9089553;-38.13080360867914
1739209718.9089606;-35.57807855764607
1739209718.908966;-38.13080360867914
1739209718.9089713;-45.120503652039325
1739209718.9089768;-45.120503652039325
1739209718.908982;-45.120503652039325
1739209718.9089875;-45.120503652039325
1739209718.9089928;-45.120503652039325
1739209718.9089983;-38.13080360867914
1739209718.9090035;-38.13080360867914
1739209718.909009;-45.120503652039325
1739209718.9090142;-45.120503652039325
1739209718.9090197;-45.120503652039325
1739209718.909025;-45.120503652039325
1739209718.9090304;-45.120503652039325
1739209718.9090357;-38.13080360867914
1739209718.9090412;-35.57807855764607
1739209718.9090464;-45.120503652039325
1739209718.909052;-28.992665084841942
