CAN Message; 0x77:e96d9976cc3b165f
Timestamp;Amplitude
1739209737.0547569;-33.981070128970906
1739209737.0547645;-45.120503652039325
1739209737.0547721;-38.13080360867914
1739209737.0547798;-32.816014438256545
1739209737.0547872;-45.120503652039325
1739209737.0547948;-38.13080360867914
1739209737.0548024;-35.57807855764607
1739209737.05481;-33.981070128970906
1739209737.0548177;-45.120503652039325
1739209737.0548253;-45.120503652039325
1739209737.054833;-38.13080360867914
1739209737.0548406;-38.13080360867914
1739209737.0548482;-45.120503652039325
1739209737.0548556;-45.120503652039325
1739209737.0548632;-45.120503652039325
1739209737.0548708;-38.13080360867914
1739209737.0548785;-38.13080360867914
1739209737.054886;-45.120503652039325
1739209737.0548937;-45.120503652039325
1739209737.0549014;-45.120503652039325
1739209737.054909;-38.13080360867914
1739209737.0549166;-45.120503652039325
1739209737.054924;-38.13080360867914
1739209737.0549316;-45.120503652039325
1739209737.0549393;-45.120503652039325
1739209737.054947;-38.13080360867914
1739209737.0549545;-35.57807855764607
1739209737.0549622;-31.141103565318915
1739209737.0549698;-45.120503652039325
1739209737.0549774;-45.120503652039325
1739209737.0549848;-38.13080360867914
1739209737.0549924;-45.120503652039325
1739209737.055;-45.120503652039325
1739209737.0550077;-45.120503652039325
1739209737.0550153;-45.120503652039325
1739209737.055023;-45.120503652039325
1739209737.0550306;-38.13080360867914
1739209737.0550382;-45.120503652039325
1739209737.0550458;-45.120503652039325
1739209737.0550532;-45.120503652039325
1739209737.0550609;-45.120503652039325
1739209737.0550685;-45.120503652039325
1739209737.0550761;-38.13080360867914
1739209737.0550838;-31.141103565318915
1739209737.0550914;-45.120503652039325
1739209737.055099;-35.57807855764607
1739209737.0551066;-38.13080360867914
1739209737.0551143;-38.13080360867914
1739209737.0551217;-45.120503652039325
1739209737.0551293;-38.13080360867914
1739209737.055137;-45.120503652039325
1739209737.0551445;-33.981070128970956
1739209737.0551522;-45.120503652039325
1739209737.0551598;-38.13080360867914
1739209737.0551674;-38.13080360867914
1739209737.055175;-45.120503652039325
1739209737.0551827;-45.120503652039325
1739209737.05519;-35.57807855764607
1739209737.0551977;-38.13080360867914
1739209737.0552053;-28.21854285175415
1739209737.055213;-38.13080360867914
1739209737.0552206;-38.13080360867914
1739209737.0552282;-45.120503652039325
1739209737.0552359;-35.57807855764607
1739209737.0552435;-45.120503652039325
1739209737.0552511;-38.13080360867914
1739209737.0552585;-33.981070128970906
1739209737.0552661;-45.120503652039325
1739209737.0552738;-38.13080360867914
1739209737.0552814;-35.57807855764607
1739209737.055289;-45.120503652039325
1739209737.0552967;-45.120503652039325
1739209737.0553043;-38.13080360867914
1739209737.055312;-38.13080360867914
1739209737.0553195;-38.13080360867914
1739209737.055327;-45.120503652039325
1739209737.0553346;-38.13080360867914
1739209737.0553422;-35.57807855764607
1739209737.0553498;-45.120503652039325
1739209737.0553575;-35.57807855764607
1739209737.055365;-45.120503652039325
1739209737.0553727;-45.120503652039325
1739209737.0553803;-38.13080360867914
1739209737.0553877;-32.816014438256545
1739209737.0553954;-38.13080360867914
1739209737.055403;-45.120503652039325
1739209737.0554106;-45.120503652039325
1739209737.0554183;-45.120503652039325
1739209737.055426;-38.13080360867914
1739209737.0554335;-38.13080360867914
1739209737.0554411;-33.981070128970906
1739209737.0554488;-45.120503652039325
1739209737.0554562;-45.120503652039325
1739209737.0554638;-45.120503652039325
1739209737.0554714;-38.13080360867914
1739209737.055479;-45.120503652039325
1739209737.0554867;-45.120503652039325
1739209737.0554943;-45.120503652039325
1739209737.055502;-45.120503652039325
1739209737.0555096;-30.49652367304973
1739209737.0555172;-33.981070128970906
1739209737.0555246;-45.120503652039325
1739209737.0555322;-45.120503652039325
1739209737.0555398;-32.816014438256545
1739209737.0555475;-31.141103565318915
1739209737.055555;-45.120503652039325
1739209737.0555627;-38.13080360867914
1739209737.0555704;-45.120503652039325
1739209737.055578;-45.120503652039325
1739209737.0555856;-38.13080360867914
1739209737.055593;-45.120503652039325
1739209737.0556006;-45.120503652039325
1739209737.0556083;-45.120503652039325
1739209737.055616;-38.13080360867914
1739209737.0556235;-38.13080360867914
1739209737.0556312;-30.49652367304973
1739209737.0556388;-30.49652367304973
1739209737.0556464;-38.13080360867914
1739209737.055654;-38.13080360867914
1739209737.0556614;-38.13080360867914
1739209737.055669;-38.13080360867914
1739209737.0556767;-45.120503652039325
1739209737.0556843;-35.57807855764607
1739209737.055692;-38.13080360867914
1739209737.0556996;-38.13080360867914
1739209737.0557072;-32.816014438256545
1739209737.0557148;-38.13080360867914
1739209737.0557222;-45.120503652039325
1739209737.0557299;-45.120503652039325
1739209737.0557375;-38.13080360867914
1739209737.0557451;-45.120503652039325
1739209737.0557528;-38.13080360867914
1739209737.0557604;-33.981070128970906
1739209737.055768;-38.13080360867914
1739209737.0557756;-45.120503652039325
1739209737.0557833;-45.120503652039325
1739209737.0557907;-45.120503652039325
1739209737.0557983;-32.816014438256545
1739209737.055806;-33.981070128970906
1739209737.0558136;-45.120503652039325
1739209737.0558212;-38.13080360867914
1739209737.0558288;-45.120503652039325
1739209737.0558364;-38.13080360867914
1739209737.055844;-38.13080360867914
1739209737.0558517;-38.13080360867914
1739209737.055859;-38.13080360867914
1739209737.0558667;-38.13080360867914
1739209737.0558743;-45.120503652039325
1739209737.055882;-45.120503652039325
1739209737.0558896;-45.120503652039325
1739209737.0558972;-45.120503652039325
1739209737.0559049;-45.120503652039325
1739209737.0559125;-38.13080360867914
1739209737.0559201;-38.13080360867914
1739209737.0559275;-38.13080360867914
1739209737.0559351;-45.120503652039325
1739209737.0559428;-35.57807855764607
1739209737.0559504;-38.13080360867914
1739209737.055958;-45.120503652039325
1739209737.0559657;-35.57807855764607
1739209737.0559733;-35.57807855764607
1739209737.055981;-38.13080360867914
1739209737.0559886;-45.120503652039325
1739209737.055996;-35.57807855764607
1739209737.0560036;-38.13080360867914
1739209737.0560112;-45.120503652039325
1739209737.0560188;-45.120503652039325
1739209737.0560265;-38.13080360867914
1739209737.056034;-45.120503652039325
1739209737.0560417;-45.120503652039325
1739209737.0560493;-45.120503652039325
1739209737.056057;-35.57807855764607
1739209737.0560644;-33.981070128970906
1739209737.056072;-45.120503652039325
1739209737.0560796;-45.120503652039325
1739209737.0560873;-35.57807855764607
1739209737.056095;-35.57807855764607
1739209737.0561025;-45.120503652039325
1739209737.0561101;-38.13080360867914
1739209737.0561178;-38.13080360867914
1739209737.0561252;-38.13080360867914
1739209737.0561328;-45.120503652039325
1739209737.0561404;-45.120503652039325
1739209737.056148;-38.13080360867914
1739209737.0561557;-38.13080360867914
1739209737.0561633;-45.120503652039325
1739209737.056171;-38.13080360867914
1739209737.0561786;-35.57807855764607
1739209737.0561862;-38.13080360867914
1739209737.0561936;-38.13080360867914
1739209737.0562012;-35.57807855764607
1739209737.0562088;-45.120503652039325
1739209737.0562165;-38.13080360867914
1739209737.056224;-32.816014438256545
1739209737.0562317;-35.57807855764607
1739209737.0562394;-38.13080360867914
1739209737.056247;-38.13080360867914
1739209737.0562546;-45.120503652039325
1739209737.056262;-45.120503652039325
1739209737.0562696;-45.120503652039325
1739209737.0562773;-45.120503652039325
1739209737.056285;-35.57807855764607
1739209737.0562925;-45.120503652039325
1739209737.0563002;-45.120503652039325
1739209737.0563078;-38.13080360867914
1739209737.0563154;-45.120503652039325
1739209737.056323;-38.13080360867914
1739209737.0563304;-45.120503652039325
1739209737.056338;-38.13080360867914
1739209737.0563457;-45.120503652039325
1739209737.0563533;-45.120503652039325
1739209737.056361;-45.120503652039325
1739209737.0563686;-35.57807855764607
1739209737.0563762;-32.816014438256545
1739209737.0563838;-45.120503652039325
1739209737.0563915;-45.120503652039325
1739209737.0563989;-38.13080360867914
1739209737.0564065;-35.57807855764607
1739209737.0564141;-45.120503652039325
1739209737.0564218;-45.120503652039325
1739209737.0564294;-45.120503652039325
1739209737.056437;-45.120503652039325
1739209737.0564446;-45.120503652039325
1739209737.0564523;-45.120503652039325
1739209737.05646;-45.120503652039325
1739209737.0564673;-45.120503652039325
1739209737.056475;-45.120503652039325
1739209737.0564826;-45.120503652039325
1739209737.0564902;-45.120503652039325
1739209737.0564978;-38.13080360867914
1739209737.0565054;-45.120503652039325
1739209737.056513;-38.13080360867914
1739209737.0565207;-35.57807855764607
1739209737.056528;-38.13080360867914
1739209737.0565357;-38.13080360867914
1739209737.0565434;-38.13080360867914
1739209737.056551;-38.13080360867914
1739209737.0565586;-29.438486411369333
1739209737.0565662;-38.13080360867914
1739209737.0565739;-35.57807855764607
1739209737.0565815;-33.981070128970906
1739209737.0565891;-45.120503652039325
1739209737.0565965;-38.13080360867914
1739209737.0566041;-38.13080360867914
1739209737.0566118;-45.120503652039325
1739209737.0566194;-33.981070128970956
1739209737.056627;-38.13080360867914
1739209737.0566347;-38.13080360867914
1739209737.0566423;-38.13080360867914
1739209737.05665;-45.120503652039325
1739209737.0566576;-45.120503652039325
1739209737.056665;-38.13080360867914
1739209737.0566726;-38.13080360867914
1739209737.0566802;-29.438486411369333
1739209737.0566878;-45.120503652039325
1739209737.0566955;-45.120503652039325
1739209737.056703;-38.13080360867914
1739209737.0567107;-35.57807855764607
1739209737.0567183;-45.120503652039325
1739209737.056726;-38.13080360867914
1739209737.0567334;-45.120503652039325
1739209737.056741;-45.120503652039325
1739209737.0567486;-45.120503652039325
1739209737.0567563;-45.120503652039325
1739209737.056764;-45.120503652039325
1739209737.0567715;-45.120503652039325
1739209737.0567791;-45.120503652039325
1739209737.0567868;-35.57807855764607
1739209737.0567944;-38.13080360867914
1739209737.0568018;-45.120503652039325
1739209737.0568094;-45.120503652039325
1739209737.056817;-45.120503652039325
1739209737.0568247;-38.13080360867914
1739209737.0568323;-38.13080360867914
1739209737.05684;-45.120503652039325
1739209737.0568476;-45.120503652039325
1739209737.0568552;-45.120503652039325
1739209737.0568628;-32.816014438256545
1739209737.0568702;-35.57807855764607
1739209737.0568779;-45.120503652039325
1739209737.0568855;-38.13080360867914
1739209737.056893;-35.57807855764607
1739209737.0569007;-38.13080360867914
1739209737.0569084;-45.120503652039325
1739209737.056916;-33.981070128970906
1739209737.0569236;-45.120503652039325
1739209737.056931;-45.120503652039325
1739209737.0569386;-45.120503652039325
1739209737.0569463;-45.120503652039325
1739209737.056954;-45.120503652039325
1739209737.0569615;-45.120503652039325
1739209737.0569692;-45.120503652039325
1739209737.0569768;-45.120503652039325
1739209737.0569844;-30.49652367304973
1739209737.056992;-31.141103565318893
1739209737.0569994;-45.120503652039325
1739209737.057007;-38.13080360867914
1739209737.0570147;-38.13080360867914
