CAN Message; 0x98:000008a35f3921bf
Timestamp;Amplitude
1739209591.6506228;-45.120503652039325
1739209591.650631;-45.120503652039325
1739209591.6506393;-38.13080360867914
1739209591.6506474;-45.120503652039325
1739209591.6506555;-45.120503652039325
1739209591.6506636;-38.13080360867914
1739209591.650672;-35.57807855764607
1739209591.65068;-45.120503652039325
1739209591.6506882;-30.49652367304973
1739209591.6506963;-25.826314394896354
1739209591.6507046;-45.120503652039325
1739209591.6507127;-45.120503652039325
1739209591.6507208;-38.13080360867914
1739209591.650729;-38.13080360867914
1739209591.650737;-45.120503652039325
1739209591.6507454;-38.13080360867914
1739209591.6507535;-45.120503652039325
1739209591.6507616;-45.120503652039325
1739209591.6507697;-38.13080360867914
1739209591.650778;-38.13080360867914
1739209591.6507862;-45.120503652039325
1739209591.6507943;-38.13080360867914
1739209591.6508024;-38.13080360867914
1739209591.6508107;-38.13080360867914
1739209591.6508188;-45.120503652039325
1739209591.650827;-38.13080360867914
1739209591.650835;-35.57807855764607
1739209591.6508434;-38.13080360867914
1739209591.6508515;-45.120503652039325
1739209591.6508596;-45.120503652039325
1739209591.6508677;-45.120503652039325
1739209591.6508758;-33.981070128970906
1739209591.6508842;-31.141103565318915
1739209591.6508923;-45.120503652039325
1739209591.6509004;-38.13080360867914
1739209591.6509085;-38.13080360867914
1739209591.6509168;-45.120503652039325
1739209591.650925;-45.120503652039325
1739209591.650933;-45.120503652039325
1739209591.6509411;-45.120503652039325
1739209591.6509495;-45.120503652039325
1739209591.6509576;-45.120503652039325
1739209591.6509657;-38.13080360867914
1739209591.6509738;-45.120503652039325
1739209591.650982;-38.13080360867914
1739209591.6509902;-45.120503652039325
1739209591.6509984;-33.981070128970906
1739209591.6510065;-38.13080360867914
1739209591.6510146;-38.13080360867914
1739209591.651023;-28.21854285175415
1739209591.651031;-38.13080360867914
1739209591.6510391;-45.120503652039325
1739209591.6510472;-38.13080360867914
1739209591.6510556;-38.13080360867914
1739209591.6510637;-38.13080360867914
1739209591.6510718;-38.13080360867914
1739209591.65108;-38.13080360867914
1739209591.651088;-45.120503652039325
1739209591.6510963;-45.120503652039325
1739209591.6511045;-38.13080360867914
1739209591.6511126;-45.120503652039325
1739209591.6511207;-45.120503652039325
1739209591.651129;-35.57807855764607
1739209591.651137;-38.13080360867914
1739209591.6511452;-45.120503652039325
1739209591.6511533;-35.57807855764607
1739209591.6511617;-38.13080360867914
1739209591.6511698;-38.13080360867914
1739209591.651178;-38.13080360867914
1739209591.651186;-45.120503652039325
1739209591.6511943;-45.120503652039325
1739209591.6512024;-38.13080360867914
1739209591.6512105;-38.13080360867914
1739209591.6512187;-45.120503652039325
1739209591.6512268;-45.120503652039325
1739209591.651235;-45.120503652039325
1739209591.6512432;-38.13080360867914
1739209591.6512513;-35.57807855764607
1739209591.6512594;-33.981070128970906
1739209591.6512678;-45.120503652039325
1739209591.6512759;-38.13080360867914
1739209591.651284;-35.57807855764607
1739209591.651292;-38.13080360867914
1739209591.6513004;-45.120503652039325
1739209591.6513085;-38.13080360867914
1739209591.6513166;-38.13080360867914
1739209591.6513247;-45.120503652039325
1739209591.6513329;-45.120503652039325
1739209591.6513412;-38.13080360867914
1739209591.6513493;-45.120503652039325
1739209591.6513574;-38.13080360867914
1739209591.6513655;-35.57807855764607
1739209591.6513739;-45.120503652039325
1739209591.651382;-45.120503652039325
1739209591.65139;-45.120503652039325
1739209591.6513982;-45.120503652039325
1739209591.6514065;-38.13080360867914
1739209591.6514146;-45.120503652039325
1739209591.6514227;-33.981070128970906
1739209591.6514308;-45.120503652039325
1739209591.651439;-45.120503652039325
1739209591.6514473;-45.120503652039325
1739209591.6514554;-38.13080360867914
1739209591.6514635;-45.120503652039325
1739209591.6514716;-38.13080360867914
1739209591.65148;-32.816014438256545
1739209591.651488;-33.981070128970906
1739209591.6514962;-38.13080360867914
1739209591.6515043;-35.57807855764607
1739209591.6515126;-35.57807855764607
1739209591.6515207;-38.13080360867914
1739209591.6515288;-35.57807855764607
1739209591.651537;-38.13080360867914
1739209591.651545;-45.120503652039325
1739209591.6515534;-38.13080360867914
1739209591.6515615;-38.13080360867914
1739209591.6515696;-38.13080360867914
1739209591.6515777;-45.120503652039325
1739209591.651586;-38.13080360867914
1739209591.6515942;-45.120503652039325
1739209591.6516023;-45.120503652039325
1739209591.6516104;-38.13080360867914
1739209591.6516187;-38.13080360867914
1739209591.6516268;-38.13080360867914
1739209591.651635;-45.120503652039325
1739209591.651643;-45.120503652039325
1739209591.6516514;-33.981070128970906
1739209591.6516595;-45.120503652039325
1739209591.6516676;-45.120503652039325
1739209591.6516757;-38.13080360867914
1739209591.6516838;-45.120503652039325
1739209591.6516922;-45.120503652039325
1739209591.6517003;-38.13080360867914
1739209591.6517084;-38.13080360867914
1739209591.6517165;-38.13080360867914
1739209591.6517248;-45.120503652039325
1739209591.651733;-38.13080360867914
1739209591.651741;-45.120503652039325
1739209591.6517491;-38.13080360867914
1739209591.6517575;-33.981070128970906
1739209591.6517656;-45.120503652039325
1739209591.6517737;-38.13080360867914
1739209591.6517818;-38.13080360867914
1739209591.65179;-38.13080360867914
1739209591.6517982;-38.13080360867914
1739209591.6518064;-45.120503652039325
1739209591.6518145;-31.141103565318915
1739209591.6518226;-32.816014438256545
1739209591.651831;-38.13080360867914
1739209591.651839;-45.120503652039325
1739209591.6518471;-38.13080360867914
1739209591.6518552;-45.120503652039325
1739209591.6518636;-45.120503652039325
1739209591.6518717;-35.57807855764607
1739209591.6518798;-31.14110356531892
1739209591.651888;-38.13080360867914
1739209591.651896;-38.13080360867914
1739209591.6519043;-38.13080360867914
1739209591.6519125;-38.13080360867914
1739209591.6519206;-45.120503652039325
1739209591.6519287;-45.120503652039325
1739209591.651937;-45.120503652039325
1739209591.651945;-38.13080360867914
1739209591.6519532;-38.13080360867914
1739209591.6519613;-45.120503652039325
1739209591.6519697;-38.13080360867914
1739209591.6519778;-38.13080360867914
1739209591.651986;-35.57807855764607
1739209591.651994;-38.13080360867914
1739209591.6520023;-38.13080360867914
1739209591.6520104;-32.816014438256545
1739209591.6520185;-45.120503652039325
1739209591.6520267;-38.13080360867914
1739209591.6520348;-45.120503652039325
1739209591.652043;-35.57807855764607
1739209591.6520512;-38.13080360867914
1739209591.6520593;-45.120503652039325
1739209591.6520674;-32.816014438256545
1739209591.6520758;-32.81601443825658
1739209591.6520839;-33.981070128970956
1739209591.652092;-38.13080360867914
1739209591.6521;-45.120503652039325
1739209591.6521084;-45.120503652039325
1739209591.6521165;-45.120503652039325
1739209591.6521246;-33.981070128970906
1739209591.6521327;-45.120503652039325
1739209591.6521409;-45.120503652039325
1739209591.6521492;-31.141103565318893
1739209591.6521573;-33.981070128970906
1739209591.6521654;-45.120503652039325
1739209591.6521735;-38.13080360867914
1739209591.6521819;-35.57807855764607
1739209591.65219;-38.13080360867914
1739209591.652198;-45.120503652039325
1739209591.6522062;-35.57807855764607
1739209591.6522145;-38.13080360867914
1739209591.6522226;-45.120503652039325
1739209591.6522307;-35.57807855764607
1739209591.6522388;-38.13080360867914
1739209591.652247;-45.120503652039325
1739209591.6522553;-38.13080360867914
1739209591.6522634;-38.13080360867914
1739209591.6522715;-45.120503652039325
1739209591.6522796;-45.120503652039325
1739209591.652288;-38.13080360867914
1739209591.652296;-38.13080360867914
1739209591.6523042;-45.120503652039325
1739209591.6523123;-38.13080360867914
1739209591.6523206;-38.13080360867914
1739209591.6523287;-45.120503652039325
1739209591.6523368;-38.13080360867914
1739209591.652345;-32.816014438256545
1739209591.6523533;-45.120503652039325
1739209591.6523614;-45.120503652039325
1739209591.6523695;-38.13080360867914
1739209591.6523776;-45.120503652039325
1739209591.6523857;-38.13080360867914
1739209591.652394;-35.57807855764607
1739209591.6524022;-38.13080360867914
1739209591.6524103;-45.120503652039325
1739209591.6524184;-38.13080360867914
1739209591.6524267;-35.57807855764607
1739209591.6524348;-38.13080360867914
1739209591.652443;-38.13080360867914
1739209591.652451;-45.120503652039325
1739209591.6524594;-35.57807855764607
1739209591.6524675;-45.120503652039325
1739209591.6524756;-33.981070128970906
1739209591.6524837;-33.981070128970906
1739209591.6524918;-38.13080360867914
1739209591.6525002;-45.120503652039325
1739209591.6525083;-38.13080360867914
1739209591.6525164;-38.13080360867914
1739209591.6525245;-45.120503652039325
1739209591.6525328;-38.13080360867914
1739209591.652541;-38.13080360867914
1739209591.652549;-45.120503652039325
1739209591.6525571;-45.120503652039325
1739209591.6525655;-38.13080360867914
1739209591.6525736;-38.13080360867914
1739209591.6525817;-45.120503652039325
1739209591.6525898;-33.981070128970906
1739209591.652598;-45.120503652039325
1739209591.6526062;-45.120503652039325
1739209591.6526144;-33.981070128970906
1739209591.6526225;-35.57807855764607
1739209591.6526306;-38.13080360867914
1739209591.652639;-38.13080360867914
1739209591.652647;-33.981070128970906
1739209591.6526551;-32.816014438256545
1739209591.6526632;-33.981070128970906
1739209591.6526716;-45.120503652039325
1739209591.6526797;-38.13080360867914
1739209591.6526878;-32.816014438256545
1739209591.652696;-33.981070128970906
1739209591.6527042;-45.120503652039325
1739209591.6527123;-38.13080360867914
1739209591.6527205;-38.13080360867914
1739209591.6527286;-35.57807855764607
1739209591.6527367;-45.120503652039325
1739209591.652745;-38.13080360867914
1739209591.652753;-35.57807855764607
1739209591.6527612;-45.120503652039325
1739209591.6527693;-30.49652367304973
1739209591.6527777;-32.816014438256545
1739209591.6527858;-45.120503652039325
1739209591.652794;-45.120503652039325
1739209591.652802;-33.981070128970906
1739209591.6528103;-27.267205301931607
1739209591.6528184;-45.120503652039325
1739209591.6528265;-45.120503652039325
1739209591.6528347;-38.13080360867914
1739209591.6528428;-45.120503652039325
1739209591.652851;-45.120503652039325
1739209591.6528592;-38.13080360867914
1739209591.6528673;-38.13080360867914
1739209591.6528754;-35.57807855764607
1739209591.6528838;-45.120503652039325
1739209591.6528919;-45.120503652039325
1739209591.6529;-38.13080360867914
