CAN Message; 0x98:0000a6f91d223cb9
Timestamp;Amplitude
1739209757.322472;-38.13080360867914
1739209757.3224814;-38.13080360867914
1739209757.3224905;-45.120503652039325
1739209757.3224998;-38.13080360867914
1739209757.322509;-35.57807855764607
1739209757.3225183;-45.120503652039325
1739209757.3225276;-38.13080360867914
1739209757.3225367;-45.120503652039325
1739209757.322546;-45.120503652039325
1739209757.3225553;-38.13080360867914
1739209757.3225646;-38.13080360867914
1739209757.322574;-45.120503652039325
1739209757.322583;-45.120503652039325
1739209757.3225923;-35.57807855764607
1739209757.3226016;-45.120503652039325
1739209757.3226109;-45.120503652039325
1739209757.3226202;-33.981070128970906
1739209757.3226292;-38.13080360867914
1739209757.3226385;-38.13080360867914
1739209757.3226478;-38.13080360867914
1739209757.322657;-38.13080360867914
1739209757.3226664;-45.120503652039325
1739209757.3226755;-38.13080360867914
1739209757.3226848;-45.120503652039325
1739209757.322694;-45.120503652039325
1739209757.3227034;-45.120503652039325
1739209757.3227127;-45.120503652039325
1739209757.3227217;-45.120503652039325
1739209757.322731;-45.120503652039325
1739209757.3227403;-38.13080360867914
1739209757.3227496;-45.120503652039325
1739209757.322759;-38.13080360867914
1739209757.322768;-33.981070128970906
1739209757.3227773;-45.120503652039325
1739209757.3227866;-45.120503652039325
1739209757.3227959;-35.57807855764607
1739209757.3228052;-32.816014438256545
1739209757.3228142;-38.13080360867914
1739209757.3228235;-45.120503652039325
1739209757.3228328;-45.120503652039325
1739209757.3228421;-45.120503652039325
1739209757.3228514;-45.120503652039325
1739209757.3228605;-38.13080360867914
1739209757.3228698;-45.120503652039325
1739209757.322879;-38.13080360867914
1739209757.3228884;-45.120503652039325
1739209757.3228977;-45.120503652039325
1739209757.3229067;-45.120503652039325
1739209757.322916;-45.120503652039325
1739209757.3229253;-45.120503652039325
1739209757.3229346;-38.13080360867914
1739209757.322944;-45.120503652039325
1739209757.322953;-45.120503652039325
1739209757.3229623;-45.120503652039325
1739209757.3229716;-38.13080360867914
1739209757.3229809;-38.13080360867914
1739209757.3229902;-31.141103565318915
1739209757.3229992;-38.13080360867914
1739209757.3230085;-38.13080360867914
1739209757.3230178;-35.57807855764607
1739209757.3230271;-38.13080360867914
1739209757.3230364;-45.120503652039325
1739209757.3230455;-38.13080360867914
1739209757.3230548;-35.57807855764607
1739209757.323064;-30.49652367304976
1739209757.3230734;-45.120503652039325
1739209757.3230827;-35.57807855764607
1739209757.3230917;-38.13080360867914
1739209757.323101;-45.120503652039325
1739209757.3231103;-38.13080360867914
1739209757.3231196;-35.57807855764607
1739209757.323129;-38.13080360867914
1739209757.323138;-31.141103565318915
1739209757.3231473;-33.981070128970906
1739209757.3231566;-45.120503652039325
1739209757.323166;-38.13080360867914
1739209757.3231752;-33.981070128970906
1739209757.3231843;-38.13080360867914
1739209757.3231936;-38.13080360867914
1739209757.3232028;-45.120503652039325
1739209757.3232121;-45.120503652039325
1739209757.3232214;-45.120503652039325
1739209757.3232305;-38.13080360867914
1739209757.3232398;-45.120503652039325
1739209757.323249;-38.13080360867914
1739209757.3232584;-45.120503652039325
1739209757.3232675;-45.120503652039325
1739209757.3232768;-38.13080360867914
1739209757.323286;-45.120503652039325
1739209757.3232954;-45.120503652039325
1739209757.3233047;-33.981070128970906
1739209757.3233137;-45.120503652039325
1739209757.323323;-45.120503652039325
1739209757.3233323;-45.120503652039325
1739209757.3233416;-45.120503652039325
1739209757.323351;-45.120503652039325
1739209757.32336;-28.58837851428586
1739209757.3233693;-30.49652367304973
1739209757.3233786;-45.120503652039325
1739209757.3233879;-45.120503652039325
1739209757.3233972;-33.981070128970906
