CAN Message; 0x1d3:0000126bf31db997
Timestamp;Amplitude
1739209920.030965;-45.120503652039325
1739209920.0309703;-45.120503652039325
1739209920.0309756;-45.120503652039325
1739209920.0309808;-45.120503652039325
1739209920.030986;-38.13080360867914
1739209920.0309913;-29.438486411369333
1739209920.0309966;-38.13080360867914
1739209920.0310018;-45.120503652039325
1739209920.031007;-35.57807855764607
1739209920.0310123;-35.57807855764607
1739209920.0310175;-38.13080360867914
1739209920.0310228;-38.13080360867914
1739209920.031028;-45.120503652039325
1739209920.031033;-45.120503652039325
1739209920.0310383;-38.13080360867914
1739209920.0310435;-31.141103565318893
1739209920.0310488;-38.13080360867914
1739209920.031054;-38.13080360867914
1739209920.0310593;-38.13080360867914
1739209920.0310645;-38.13080360867914
1739209920.0310698;-38.13080360867914
1739209920.031075;-45.120503652039325
1739209920.0310802;-38.13080360867914
1739209920.0310855;-35.57807855764607
1739209920.0310907;-45.120503652039325
1739209920.031096;-45.120503652039325
1739209920.0311012;-38.13080360867914
1739209920.0311065;-45.120503652039325
1739209920.0311117;-45.120503652039325
1739209920.031117;-35.57807855764607
1739209920.0311222;-38.13080360867914
1739209920.0311275;-38.13080360867914
1739209920.0311327;-38.13080360867914
1739209920.031138;-35.57807855764607
1739209920.0311432;-38.13080360867914
1739209920.0311484;-45.120503652039325
1739209920.0311537;-45.120503652039325
1739209920.031159;-45.120503652039325
1739209920.0311642;-45.120503652039325
1739209920.0311694;-35.57807855764607
1739209920.0311747;-45.120503652039325
1739209920.0311797;-45.120503652039325
1739209920.031185;-38.13080360867914
1739209920.0311902;-38.13080360867914
1739209920.0311954;-45.120503652039325
1739209920.0312006;-35.57807855764607
1739209920.031206;-35.57807855764607
1739209920.0312111;-35.57807855764607
1739209920.0312164;-38.13080360867914
1739209920.0312216;-45.120503652039325
1739209920.0312269;-45.120503652039325
1739209920.031232;-45.120503652039325
1739209920.0312374;-38.13080360867914
1739209920.0312426;-45.120503652039325
1739209920.0312479;-38.13080360867914
1739209920.031253;-45.120503652039325
1739209920.0312583;-45.120503652039325
1739209920.0312636;-35.57807855764607
1739209920.0312688;-33.981070128970906
1739209920.031274;-45.120503652039325
1739209920.0312793;-45.120503652039325
1739209920.0312846;-45.120503652039325
1739209920.0312898;-33.981070128970906
1739209920.031295;-45.120503652039325
1739209920.0313003;-38.13080360867914
1739209920.0313056;-45.120503652039325
1739209920.0313108;-38.13080360867914
1739209920.031316;-38.13080360867914
1739209920.0313213;-45.120503652039325
1739209920.0313263;-45.120503652039325
1739209920.0313315;-38.13080360867914
1739209920.0313368;-45.120503652039325
1739209920.031342;-45.120503652039325
1739209920.0313473;-45.120503652039325
1739209920.0313525;-38.13080360867914
1739209920.0313578;-45.120503652039325
1739209920.031363;-38.13080360867914
1739209920.0313683;-38.13080360867914
1739209920.0313735;-45.120503652039325
1739209920.0313787;-35.57807855764607
1739209920.031384;-45.120503652039325
1739209920.0313892;-45.120503652039325
1739209920.0313945;-38.13080360867914
1739209920.0313997;-45.120503652039325
1739209920.031405;-45.120503652039325
1739209920.0314102;-45.120503652039325
1739209920.0314155;-38.13080360867914
1739209920.0314207;-45.120503652039325
1739209920.031426;-45.120503652039325
1739209920.0314312;-45.120503652039325
1739209920.0314364;-45.120503652039325
1739209920.0314417;-38.13080360867914
1739209920.031447;-38.13080360867914
1739209920.0314522;-45.120503652039325
1739209920.0314574;-26.991370085610722
1739209920.0314627;-33.981070128970906
1739209920.0314677;-38.13080360867914
