CAN Message; 0x1b8:03000dfb0815a83a
Timestamp;Amplitude
1739209634.0378964;-38.13080360867914
1739209634.0379028;-45.120503652039325
1739209634.0379095;-45.120503652039325
1739209634.037916;-45.120503652039325
1739209634.0379224;-45.120503652039325
1739209634.0379288;-45.120503652039325
1739209634.0379353;-45.120503652039325
1739209634.037942;-38.13080360867914
1739209634.0379484;-38.13080360867914
1739209634.0379548;-35.57807855764607
1739209634.0379612;-45.120503652039325
1739209634.0379677;-32.816014438256545
1739209634.0379744;-38.13080360867914
1739209634.0379808;-33.981070128970906
1739209634.0379872;-31.141103565318893
1739209634.0379937;-38.13080360867914
1739209634.038;-38.13080360867914
1739209634.0380068;-35.57807855764607
1739209634.0380132;-38.13080360867914
1739209634.0380197;-45.120503652039325
1739209634.038026;-32.816014438256545
1739209634.0380325;-38.13080360867914
1739209634.0380392;-38.13080360867914
1739209634.0380456;-35.57807855764607
1739209634.038052;-45.120503652039325
1739209634.0380585;-45.120503652039325
1739209634.038065;-45.120503652039325
1739209634.0380714;-32.816014438256545
1739209634.038078;-45.120503652039325
1739209634.0380845;-31.141103565318893
1739209634.038091;-29.438486411369333
1739209634.0380974;-35.57807855764607
1739209634.0381038;-35.57807855764607
1739209634.0381105;-38.13080360867914
1739209634.038117;-38.13080360867914
1739209634.0381234;-45.120503652039325
1739209634.0381298;-33.981070128970906
1739209634.0381362;-45.120503652039325
1739209634.038143;-45.120503652039325
1739209634.0381494;-45.120503652039325
1739209634.0381558;-45.120503652039325
1739209634.0381622;-45.120503652039325
1739209634.0381687;-45.120503652039325
1739209634.0381753;-45.120503652039325
1739209634.0381818;-45.120503652039325
1739209634.0381882;-45.120503652039325
1739209634.0381947;-45.120503652039325
1739209634.038201;-38.13080360867914
1739209634.0382078;-38.13080360867914
1739209634.0382142;-45.120503652039325
1739209634.0382206;-45.120503652039325
1739209634.038227;-38.13080360867914
1739209634.0382335;-45.120503652039325
1739209634.0382402;-32.816014438256545
1739209634.0382466;-26.487275050834715
1739209634.038253;-38.13080360867914
1739209634.0382595;-45.120503652039325
1739209634.038266;-38.13080360867914
1739209634.0382726;-38.13080360867914
1739209634.038279;-45.120503652039325
1739209634.0382855;-45.120503652039325
1739209634.038292;-45.120503652039325
1739209634.0382984;-45.120503652039325
1739209634.038305;-45.120503652039325
1739209634.0383115;-45.120503652039325
1739209634.038318;-45.120503652039325
1739209634.0383244;-45.120503652039325
1739209634.0383308;-35.57807855764607
1739209634.0383375;-38.13080360867914
1739209634.038344;-38.13080360867914
1739209634.0383503;-35.57807855764607
1739209634.0383568;-38.13080360867914
1739209634.0383632;-33.981070128970906
1739209634.03837;-38.13080360867914
1739209634.0383763;-45.120503652039325
1739209634.0383828;-38.13080360867914
1739209634.0383892;-45.120503652039325
1739209634.0383956;-38.13080360867914
1739209634.0384023;-32.816014438256545
1739209634.0384088;-38.13080360867914
1739209634.0384152;-45.120503652039325
1739209634.0384216;-38.13080360867914
1739209634.038428;-32.816014438256545
1739209634.0384345;-33.981070128970906
1739209634.0384412;-45.120503652039325
1739209634.0384476;-45.120503652039325
1739209634.038454;-45.120503652039325
1739209634.0384605;-45.120503652039325
1739209634.038467;-45.120503652039325
1739209634.0384736;-38.13080360867914
1739209634.03848;-45.120503652039325
1739209634.0384865;-38.13080360867914
1739209634.038493;-38.13080360867914
1739209634.0384994;-38.13080360867914
1739209634.038506;-33.981070128970906
1739209634.0385125;-45.120503652039325
1739209634.038519;-45.120503652039325
1739209634.0385253;-35.57807855764607
1739209634.0385318;-45.120503652039325
1739209634.0385385;-35.57807855764607
1739209634.038545;-35.57807855764607
1739209634.0385513;-45.120503652039325
1739209634.0385578;-38.13080360867914
1739209634.0385642;-45.120503652039325
1739209634.038571;-45.120503652039325
1739209634.0385773;-38.13080360867914
1739209634.0385838;-35.57807855764607
1739209634.0385902;-33.981070128970906
1739209634.0385966;-45.120503652039325
1739209634.0386033;-45.120503652039325
1739209634.0386097;-45.120503652039325
1739209634.0386162;-38.13080360867914
1739209634.0386226;-38.13080360867914
1739209634.038629;-38.13080360867914
1739209634.0386357;-45.120503652039325
1739209634.0386422;-38.13080360867914
1739209634.0386486;-38.13080360867914
1739209634.038655;-45.120503652039325
1739209634.0386615;-38.13080360867914
1739209634.0386682;-33.981070128970906
