CAN Message; 0x98:0000dc2e13c1c57c
Timestamp;Amplitude
1739209641.7378511;-32.816014438256545
1739209641.7378616;-38.13080360867914
1739209641.737872;-38.13080360867914
1739209641.7378824;-38.13080360867914
1739209641.7378926;-35.57807855764607
1739209641.737903;-38.13080360867914
1739209641.7379134;-45.120503652039325
1739209641.7379239;-45.120503652039325
1739209641.737934;-38.13080360867914
1739209641.7379446;-35.57807855764607
1739209641.7379549;-45.120503652039325
1739209641.7379653;-38.13080360867914
1739209641.7379756;-38.13080360867914
1739209641.7379858;-38.13080360867914
1739209641.7379963;-45.120503652039325
1739209641.7380066;-45.120503652039325
1739209641.738017;-45.120503652039325
1739209641.7380273;-35.57807855764607
1739209641.7380378;-38.13080360867914
1739209641.738048;-35.57807855764607
1739209641.7380586;-29.438486411369333
1739209641.7380688;-45.120503652039325
1739209641.7380793;-45.120503652039325
1739209641.7380896;-45.120503652039325
1739209641.7380998;-32.816014438256545
1739209641.7381103;-38.13080360867914
1739209641.7381206;-45.120503652039325
1739209641.738131;-38.13080360867914
1739209641.7381413;-45.120503652039325
1739209641.7381518;-38.13080360867914
1739209641.738162;-38.13080360867914
1739209641.7381725;-38.13080360867914
1739209641.7381828;-38.13080360867914
1739209641.7381933;-45.120503652039325
1739209641.7382035;-35.57807855764607
1739209641.738214;-45.120503652039325
1739209641.7382243;-35.57807855764607
1739209641.7382345;-35.57807855764607
1739209641.738245;-38.13080360867914
1739209641.7382553;-38.13080360867914
1739209641.7382658;-31.141103565318893
1739209641.738276;-38.13080360867914
1739209641.7382865;-45.120503652039325
1739209641.7382967;-38.13080360867914
1739209641.7383072;-45.120503652039325
1739209641.7383175;-45.120503652039325
1739209641.738328;-38.13080360867914
1739209641.7383382;-38.13080360867914
1739209641.7383485;-45.120503652039325
1739209641.738359;-38.13080360867914
1739209641.7383692;-38.13080360867914
1739209641.7383797;-45.120503652039325
1739209641.73839;-45.120503652039325
1739209641.7384005;-38.13080360867914
1739209641.7384107;-38.13080360867914
1739209641.7384212;-45.120503652039325
1739209641.7384315;-35.57807855764607
1739209641.738442;-45.120503652039325
1739209641.7384522;-35.57807855764607
1739209641.7384627;-38.13080360867914
1739209641.738473;-30.49652367304973
1739209641.7384832;-38.13080360867914
1739209641.7384937;-45.120503652039325
1739209641.738504;-38.13080360867914
1739209641.7385144;-45.120503652039325
1739209641.7385247;-45.120503652039325
