CAN Message; 0x1bb:0000d6526b6a80c6
Timestamp;Amplitude
1739209810.542677;-38.13080360867914
1739209810.5426831;-38.13080360867914
1739209810.542689;-45.120503652039325
1739209810.542695;-38.13080360867914
1739209810.5427012;-33.981070128970906
1739209810.5427072;-38.13080360867914
1739209810.5427132;-45.120503652039325
1739209810.5427194;-45.120503652039325
1739209810.5427253;-32.816014438256545
1739209810.5427313;-31.141103565318915
1739209810.5427375;-38.13080360867914
1739209810.5427434;-35.57807855764607
1739209810.5427494;-35.57807855764607
1739209810.5427556;-32.816014438256545
1739209810.5427616;-45.120503652039325
1739209810.5427675;-38.13080360867914
1739209810.5427737;-38.13080360867914
1739209810.5427797;-45.120503652039325
1739209810.5427856;-45.120503652039325
1739209810.5427918;-38.13080360867914
1739209810.5427978;-38.13080360867914
1739209810.542804;-45.120503652039325
1739209810.54281;-35.57807855764607
1739209810.542816;-45.120503652039325
1739209810.5428221;-45.120503652039325
1739209810.542828;-45.120503652039325
1739209810.542834;-45.120503652039325
1739209810.5428402;-45.120503652039325
1739209810.5428462;-38.13080360867914
1739209810.5428522;-38.13080360867914
1739209810.5428584;-45.120503652039325
1739209810.5428643;-35.57807855764607
1739209810.5428703;-38.13080360867914
1739209810.5428765;-28.992665084841942
1739209810.5428824;-33.981070128970906
1739209810.5428884;-45.120503652039325
1739209810.5428946;-45.120503652039325
1739209810.5429006;-38.13080360867914
1739209810.5429065;-45.120503652039325
1739209810.5429127;-38.13080360867914
1739209810.5429187;-45.120503652039325
1739209810.5429246;-32.81601443825658
1739209810.5429308;-35.57807855764607
1739209810.5429368;-38.13080360867914
1739209810.5429428;-45.120503652039325
1739209810.542949;-38.13080360867914
1739209810.542955;-35.57807855764607
1739209810.542961;-38.13080360867914
1739209810.542967;-38.13080360867914
1739209810.542973;-31.141103565318915
1739209810.542979;-45.120503652039325
1739209810.5429852;-38.13080360867914
1739209810.5429912;-38.13080360867914
1739209810.5429971;-38.13080360867914
1739209810.5430033;-45.120503652039325
1739209810.5430093;-38.13080360867914
1739209810.5430152;-45.120503652039325
1739209810.5430214;-45.120503652039325
1739209810.5430274;-45.120503652039325
1739209810.5430336;-45.120503652039325
1739209810.5430396;-45.120503652039325
1739209810.5430455;-45.120503652039325
1739209810.5430517;-38.13080360867914
1739209810.5430577;-45.120503652039325
1739209810.5430636;-38.13080360867914
1739209810.5430698;-38.13080360867914
1739209810.5430758;-45.120503652039325
1739209810.5430818;-45.120503652039325
1739209810.543088;-35.57807855764607
1739209810.543094;-35.57807855764607
1739209810.5430999;-45.120503652039325
1739209810.543106;-35.57807855764607
1739209810.543112;-38.13080360867914
1739209810.543118;-28.992665084841942
1739209810.5431242;-38.13080360867914
1739209810.5431302;-38.13080360867914
1739209810.5431361;-38.13080360867914
1739209810.5431423;-33.981070128970906
1739209810.5431483;-38.13080360867914
1739209810.5431542;-45.120503652039325
1739209810.5431604;-35.57807855764607
