CAN Message; 0x1d3:000086866cefd4dc
Timestamp;Amplitude
1739209688.841122;-38.13080360867914
1739209688.841131;-38.13080360867914
1739209688.8411403;-38.13080360867914
1739209688.8411493;-45.120503652039325
1739209688.8411586;-45.120503652039325
1739209688.8411677;-45.120503652039325
1739209688.841177;-45.120503652039325
1739209688.8411863;-26.991370085610736
1739209688.8411953;-31.141103565318893
1739209688.8412046;-45.120503652039325
1739209688.8412137;-45.120503652039325
1739209688.841223;-35.57807855764607
1739209688.841232;-35.57807855764607
1739209688.8412414;-45.120503652039325
1739209688.8412507;-38.13080360867914
1739209688.8412597;-38.13080360867914
1739209688.841269;-45.120503652039325
1739209688.841278;-35.57807855764607
1739209688.8412874;-45.120503652039325
1739209688.8412964;-45.120503652039325
1739209688.8413057;-45.120503652039325
1739209688.841315;-38.13080360867914
1739209688.841324;-45.120503652039325
1739209688.8413334;-29.438486411369333
1739209688.8413424;-29.438486411369333
1739209688.8413517;-45.120503652039325
1739209688.8413608;-45.120503652039325
1739209688.84137;-35.57807855764607
1739209688.8413794;-38.13080360867914
1739209688.8413885;-45.120503652039325
1739209688.8413978;-38.13080360867914
1739209688.8414068;-45.120503652039325
1739209688.8414161;-45.120503652039325
1739209688.8414252;-38.13080360867914
1739209688.8414345;-45.120503652039325
1739209688.8414438;-45.120503652039325
1739209688.8414528;-45.120503652039325
1739209688.8414621;-45.120503652039325
1739209688.8414712;-38.13080360867914
1739209688.8414805;-45.120503652039325
1739209688.8414896;-38.13080360867914
1739209688.8414989;-38.13080360867914
1739209688.8415082;-45.120503652039325
1739209688.8415172;-45.120503652039325
1739209688.8415265;-45.120503652039325
1739209688.8415356;-38.13080360867914
1739209688.8415449;-38.13080360867914
1739209688.841554;-35.57807855764607
1739209688.8415632;-33.981070128970906
1739209688.8415725;-35.57807855764607
1739209688.8415816;-35.57807855764607
1739209688.841591;-45.120503652039325
1739209688.8416;-38.13080360867914
1739209688.8416092;-38.13080360867914
1739209688.8416183;-33.981070128970906
1739209688.8416276;-45.120503652039325
1739209688.841637;-38.13080360867914
1739209688.841646;-45.120503652039325
1739209688.8416553;-38.13080360867914
1739209688.8416643;-45.120503652039325
1739209688.8416736;-45.120503652039325
1739209688.8416827;-35.57807855764607
1739209688.841692;-35.57807855764607
1739209688.8417013;-38.13080360867914
1739209688.8417103;-28.58837851428586
1739209688.8417196;-45.120503652039325
1739209688.8417287;-38.13080360867914
1739209688.841738;-38.13080360867914
1739209688.841747;-45.120503652039325
1739209688.8417563;-45.120503652039325
1739209688.8417656;-45.120503652039325
1739209688.8417747;-45.120503652039325
1739209688.841784;-38.13080360867914
1739209688.841793;-32.816014438256545
1739209688.8418024;-38.13080360867914
1739209688.8418114;-35.57807855764607
1739209688.8418207;-35.57807855764607
1739209688.84183;-45.120503652039325
