CAN Message; 0x150:00005c2e4313e064
Timestamp;Amplitude
1739209678.1941574;-35.57807855764607
1739209678.194167;-35.57807855764607
1739209678.1941764;-45.120503652039325
1739209678.194186;-45.120503652039325
1739209678.1941955;-45.120503652039325
1739209678.1942053;-45.120503652039325
1739209678.1942148;-38.13080360867914
1739209678.1942244;-35.57807855764607
1739209678.194234;-45.120503652039325
1739209678.1942434;-31.141103565318915
1739209678.194253;-27.8777449560314
1739209678.1942625;-38.13080360867914
1739209678.194272;-45.120503652039325
1739209678.1942816;-38.13080360867914
1739209678.194291;-38.13080360867914
1739209678.1943007;-38.13080360867914
1739209678.1943104;-45.120503652039325
1739209678.19432;-38.13080360867914
1739209678.1943295;-32.816014438256545
1739209678.194339;-38.13080360867914
1739209678.1943486;-45.120503652039325
1739209678.194358;-33.981070128970906
1739209678.1943676;-33.981070128970906
1739209678.1943772;-45.120503652039325
1739209678.1943867;-45.120503652039325
1739209678.1943963;-45.120503652039325
1739209678.1944058;-45.120503652039325
1739209678.1944156;-38.13080360867914
1739209678.194425;-45.120503652039325
1739209678.1944346;-38.13080360867914
1739209678.1944442;-32.816014438256545
1739209678.1944537;-35.57807855764607
1739209678.1944633;-45.120503652039325
1739209678.1944728;-31.141103565318915
1739209678.1944823;-30.49652367304973
1739209678.1944919;-38.13080360867914
1739209678.1945014;-45.120503652039325
1739209678.194511;-45.120503652039325
1739209678.1945207;-38.13080360867914
1739209678.1945302;-33.981070128970906
1739209678.1945398;-45.120503652039325
1739209678.1945493;-38.13080360867914
1739209678.1945589;-38.13080360867914
1739209678.1945684;-38.13080360867914
1739209678.194578;-45.120503652039325
1739209678.1945875;-45.120503652039325
1739209678.194597;-38.13080360867914
1739209678.1946065;-45.120503652039325
1739209678.194616;-45.120503652039325
1739209678.1946259;-38.13080360867914
1739209678.1946354;-33.981070128970906
1739209678.194645;-38.13080360867914
1739209678.1946545;-45.120503652039325
1739209678.194664;-38.13080360867914
1739209678.1946735;-45.120503652039325
1739209678.194683;-38.13080360867914
1739209678.1946926;-45.120503652039325
1739209678.1947021;-45.120503652039325
1739209678.1947117;-35.57807855764607
1739209678.1947215;-38.13080360867914
1739209678.194731;-38.13080360867914
1739209678.1947405;-38.13080360867914
1739209678.19475;-38.13080360867914
1739209678.1947596;-45.120503652039325
1739209678.1947691;-38.13080360867914
1739209678.1947787;-45.120503652039325
1739209678.1947882;-38.13080360867914
1739209678.1947978;-38.13080360867914
1739209678.1948073;-38.13080360867914
1739209678.1948168;-35.57807855764607
1739209678.1948266;-38.13080360867914
1739209678.1948361;-32.816014438256545
1739209678.1948457;-38.13080360867914
1739209678.1948552;-45.120503652039325
1739209678.1948647;-38.13080360867914
1739209678.1948743;-38.13080360867914
1739209678.1948838;-45.120503652039325
1739209678.1948934;-45.120503652039325
1739209678.194903;-45.120503652039325
1739209678.1949124;-32.816014438256545
1739209678.194922;-38.13080360867914
1739209678.1949317;-38.13080360867914
1739209678.1949413;-45.120503652039325
1739209678.1949508;-38.13080360867914
1739209678.1949604;-45.120503652039325
1739209678.19497;-38.13080360867914
1739209678.1949794;-33.981070128970906
1739209678.194989;-45.120503652039325
1739209678.1949985;-45.120503652039325
1739209678.195008;-38.13080360867914
1739209678.1950176;-33.981070128970906
1739209678.195027;-31.141103565318915
1739209678.195037;-38.13080360867914
1739209678.1950464;-45.120503652039325
1739209678.195056;-45.120503652039325
1739209678.1950655;-38.13080360867914
1739209678.195075;-35.57807855764607
1739209678.1950846;-38.13080360867914
1739209678.195094;-38.13080360867914
1739209678.1951036;-45.120503652039325
1739209678.1951132;-38.13080360867914
1739209678.1951227;-38.13080360867914
1739209678.1951323;-33.981070128970906
1739209678.195142;-33.981070128970906
1739209678.1951516;-45.120503652039325
1739209678.195161;-45.120503652039325
1739209678.1951706;-38.13080360867914
1739209678.1951802;-33.981070128970906
1739209678.1951897;-35.57807855764607
1739209678.1951993;-35.57807855764607
1739209678.1952088;-38.13080360867914
1739209678.1952183;-33.981070128970906
1739209678.1952279;-33.981070128970906
1739209678.1952374;-45.120503652039325
1739209678.1952472;-45.120503652039325
1739209678.1952567;-38.13080360867914
1739209678.1952662;-35.57807855764607
1739209678.1952758;-38.13080360867914
1739209678.1952853;-45.120503652039325
1739209678.1952949;-33.981070128970906
1739209678.1953044;-32.816014438256545
1739209678.195314;-38.13080360867914
1739209678.1953235;-38.13080360867914
1739209678.195333;-38.13080360867914
1739209678.1953425;-45.120503652039325
1739209678.1953523;-45.120503652039325
1739209678.1953619;-38.13080360867914
1739209678.1953714;-35.57807855764607
1739209678.195381;-35.57807855764607
1739209678.1953905;-38.13080360867914
1739209678.1954;-38.13080360867914
1739209678.1954095;-33.981070128970906
1739209678.195419;-35.57807855764607
1739209678.1954286;-38.13080360867914
1739209678.1954381;-45.120503652039325
1739209678.1954477;-38.13080360867914
1739209678.1954575;-32.816014438256545
1739209678.195467;-45.120503652039325
1739209678.1954765;-38.13080360867914
1739209678.195486;-33.981070128970906
1739209678.1954956;-45.120503652039325
1739209678.1955051;-38.13080360867914
1739209678.1955147;-33.981070128970906
1739209678.1955242;-33.981070128970906
1739209678.1955338;-38.13080360867914
1739209678.1955433;-38.13080360867914
1739209678.1955528;-45.120503652039325
1739209678.1955626;-31.141103565318915
1739209678.1955721;-38.13080360867914
1739209678.1955817;-45.120503652039325
1739209678.1955912;-45.120503652039325
1739209678.1956007;-38.13080360867914
1739209678.1956103;-45.120503652039325
1739209678.1956198;-45.120503652039325
1739209678.1956294;-45.120503652039325
1739209678.195639;-28.58837851428586
1739209678.1956484;-38.13080360867914
1739209678.1956582;-38.13080360867914
1739209678.1956677;-38.13080360867914
1739209678.1956773;-38.13080360867914
1739209678.1956868;-38.13080360867914
1739209678.1956964;-38.13080360867914
1739209678.195706;-38.13080360867914
1739209678.1957154;-35.57807855764607
1739209678.195725;-45.120503652039325
1739209678.1957345;-45.120503652039325
1739209678.195744;-45.120503652039325
1739209678.1957536;-38.13080360867914
1739209678.1957633;-38.13080360867914
1739209678.195773;-38.13080360867914
1739209678.1957824;-45.120503652039325
1739209678.195792;-28.992665084841942
1739209678.1958015;-33.981070128970906
1739209678.195811;-33.981070128970906
1739209678.1958206;-45.120503652039325
1739209678.19583;-33.981070128970906
1739209678.1958396;-33.981070128970906
1739209678.1958492;-33.981070128970906
1739209678.1958587;-45.120503652039325
1739209678.1958685;-38.13080360867914
1739209678.195878;-33.981070128970906
1739209678.1958876;-33.981070128970906
1739209678.195897;-45.120503652039325
1739209678.1959066;-45.120503652039325
1739209678.1959162;-45.120503652039325
1739209678.1959257;-45.120503652039325
1739209678.1959352;-45.120503652039325
1739209678.1959448;-33.981070128970906
1739209678.1959543;-35.57807855764607
1739209678.1959639;-38.13080360867914
1739209678.1959736;-45.120503652039325
1739209678.1959832;-38.13080360867914
1739209678.1959927;-32.816014438256545
1739209678.1960022;-38.13080360867914
1739209678.1960118;-45.120503652039325
1739209678.1960213;-45.120503652039325
1739209678.1960309;-45.120503652039325
1739209678.1960404;-45.120503652039325
1739209678.19605;-38.13080360867914
1739209678.1960595;-38.13080360867914
1739209678.196069;-45.120503652039325
1739209678.1960788;-45.120503652039325
1739209678.1960883;-45.120503652039325
1739209678.1960979;-45.120503652039325
1739209678.1961074;-45.120503652039325
1739209678.196117;-38.13080360867914
1739209678.1961265;-45.120503652039325
1739209678.196136;-45.120503652039325
1739209678.1961455;-38.13080360867914
1739209678.196155;-45.120503652039325
1739209678.1961646;-45.120503652039325
1739209678.1961741;-30.49652367304973
1739209678.196184;-27.8777449560314
1739209678.1961935;-45.120503652039325
1739209678.196203;-45.120503652039325
