CAN Message; 0x150:0000a4ea39d64581
Timestamp;Amplitude
1739209818.9894075;-35.57807855764607
1739209818.9894154;-38.13080360867914
1739209818.9894235;-38.13080360867914
1739209818.9894316;-45.120503652039325
1739209818.9894397;-45.120503652039325
1739209818.9894478;-45.120503652039325
1739209818.989456;-32.816014438256545
1739209818.989464;-31.141103565318893
1739209818.9894722;-38.13080360867914
1739209818.9894803;-45.120503652039325
1739209818.9894884;-38.13080360867914
1739209818.9894965;-35.57807855764607
1739209818.9895046;-38.13080360867914
1739209818.9895127;-31.141103565318893
1739209818.9895208;-45.120503652039325
1739209818.989529;-38.13080360867914
1739209818.9895368;-45.120503652039325
1739209818.9895449;-38.13080360867914
1739209818.989553;-45.120503652039325
1739209818.989561;-45.120503652039325
1739209818.9895692;-33.981070128970906
1739209818.9895773;-38.13080360867914
1739209818.9895854;-32.816014438256545
1739209818.9895935;-31.141103565318893
1739209818.9896016;-38.13080360867914
1739209818.9896097;-38.13080360867914
1739209818.9896178;-38.13080360867914
1739209818.989626;-38.13080360867914
1739209818.989634;-45.120503652039325
1739209818.9896421;-38.13080360867914
1739209818.9896502;-45.120503652039325
1739209818.9896584;-45.120503652039325
1739209818.9896662;-45.120503652039325
1739209818.9896743;-45.120503652039325
1739209818.9896824;-45.120503652039325
1739209818.9896905;-45.120503652039325
1739209818.9896986;-45.120503652039325
1739209818.9897068;-45.120503652039325
1739209818.9897149;-45.120503652039325
1739209818.989723;-45.120503652039325
1739209818.989731;-38.13080360867914
1739209818.9897392;-45.120503652039325
1739209818.9897473;-38.13080360867914
1739209818.9897554;-38.13080360867914
1739209818.9897635;-45.120503652039325
1739209818.9897716;-45.120503652039325
1739209818.9897797;-35.57807855764607
1739209818.9897876;-28.58837851428586
1739209818.9897957;-38.13080360867914
1739209818.9898038;-45.120503652039325
1739209818.989812;-38.13080360867914
1739209818.98982;-35.57807855764607
1739209818.989828;-38.13080360867914
1739209818.9898362;-35.57807855764607
1739209818.9898443;-38.13080360867914
1739209818.9898524;-33.981070128970956
1739209818.9898605;-38.13080360867914
1739209818.9898686;-35.57807855764607
1739209818.9898767;-45.120503652039325
1739209818.9898849;-45.120503652039325
1739209818.989893;-45.120503652039325
1739209818.989901;-38.13080360867914
1739209818.9899092;-38.13080360867914
1739209818.989917;-31.141103565318915
1739209818.9899251;-32.816014438256545
1739209818.9899333;-35.57807855764607
1739209818.9899414;-38.13080360867914
1739209818.9899495;-35.57807855764607
1739209818.9899576;-38.13080360867914
1739209818.9899657;-45.120503652039325
1739209818.9899738;-33.981070128970906
1739209818.989982;-38.13080360867914
1739209818.98999;-45.120503652039325
1739209818.989998;-33.981070128970906
1739209818.9900062;-45.120503652039325
1739209818.9900143;-45.120503652039325
1739209818.9900224;-38.13080360867914
1739209818.9900305;-45.120503652039325
1739209818.9900384;-45.120503652039325
1739209818.9900465;-33.981070128970906
1739209818.9900546;-38.13080360867914
1739209818.9900627;-45.120503652039325
1739209818.9900708;-38.13080360867914
1739209818.990079;-35.57807855764607
1739209818.990087;-45.120503652039325
1739209818.9900951;-45.120503652039325
1739209818.9901032;-45.120503652039325
1739209818.9901114;-45.120503652039325
1739209818.9901195;-38.13080360867914
1739209818.9901276;-45.120503652039325
1739209818.9901357;-45.120503652039325
1739209818.9901438;-32.816014438256545
1739209818.990152;-45.120503652039325
1739209818.99016;-45.120503652039325
1739209818.9901679;-32.816014438256545
1739209818.990176;-35.57807855764607
1739209818.990184;-38.13080360867914
1739209818.9901922;-45.120503652039325
1739209818.9902003;-45.120503652039325
1739209818.9902084;-45.120503652039325
1739209818.9902165;-45.120503652039325
1739209818.9902246;-45.120503652039325
1739209818.9902327;-45.120503652039325
1739209818.9902408;-38.13080360867914
1739209818.990249;-38.13080360867914
1739209818.990257;-45.120503652039325
1739209818.9902651;-38.13080360867914
1739209818.9902732;-38.13080360867914
1739209818.9902813;-35.57807855764607
1739209818.9902892;-45.120503652039325
1739209818.9902973;-45.120503652039325
1739209818.9903054;-38.13080360867914
1739209818.9903135;-45.120503652039325
1739209818.9903216;-38.13080360867914
1739209818.9903297;-38.13080360867914
1739209818.9903378;-45.120503652039325
1739209818.990346;-45.120503652039325
1739209818.990354;-38.13080360867914
1739209818.9903622;-45.120503652039325
1739209818.9903703;-38.13080360867914
1739209818.9903784;-38.13080360867914
1739209818.9903865;-35.57807855764607
1739209818.9903946;-35.57807855764607
1739209818.9904027;-38.13080360867914
1739209818.9904108;-33.981070128970906
1739209818.9904187;-35.57807855764607
1739209818.9904268;-38.13080360867914
1739209818.990435;-45.120503652039325
1739209818.990443;-38.13080360867914
1739209818.990451;-35.57807855764607
1739209818.9904592;-45.120503652039325
1739209818.9904673;-45.120503652039325
1739209818.9904754;-45.120503652039325
1739209818.9904835;-45.120503652039325
1739209818.9904916;-35.57807855764607
1739209818.9904997;-38.13080360867914
1739209818.9905078;-45.120503652039325
1739209818.990516;-45.120503652039325
1739209818.990524;-45.120503652039325
1739209818.9905322;-45.120503652039325
1739209818.99054;-38.13080360867914
1739209818.9905481;-45.120503652039325
1739209818.9905562;-38.13080360867914
1739209818.9905643;-45.120503652039325
1739209818.9905725;-33.981070128970906
1739209818.9905806;-35.57807855764607
1739209818.9905887;-38.13080360867914
1739209818.9905968;-45.120503652039325
1739209818.9906049;-32.816014438256545
1739209818.990613;-33.981070128970906
1739209818.990621;-38.13080360867914
1739209818.9906292;-35.57807855764607
1739209818.9906373;-45.120503652039325
1739209818.9906454;-38.13080360867914
1739209818.9906535;-45.120503652039325
1739209818.9906616;-45.120503652039325
1739209818.9906695;-45.120503652039325
1739209818.9906776;-45.120503652039325
1739209818.9906857;-38.13080360867914
1739209818.9906938;-38.13080360867914
1739209818.990702;-35.57807855764607
1739209818.99071;-38.13080360867914
1739209818.9907181;-38.13080360867914
1739209818.9907262;-35.57807855764607
1739209818.9907343;-45.120503652039325
1739209818.9907424;-38.13080360867914
1739209818.9907506;-38.13080360867914
1739209818.9907587;-35.57807855764607
1739209818.9907668;-45.120503652039325
1739209818.9907749;-38.13080360867914
1739209818.990783;-38.13080360867914
1739209818.990791;-38.13080360867914
1739209818.990799;-45.120503652039325
1739209818.990807;-38.13080360867914
1739209818.9908152;-38.13080360867914
1739209818.9908233;-45.120503652039325
1739209818.9908314;-45.120503652039325
1739209818.9908395;-38.13080360867914
1739209818.9908476;-45.120503652039325
1739209818.9908557;-45.120503652039325
1739209818.9908638;-33.981070128970906
1739209818.990872;-35.57807855764607
1739209818.99088;-38.13080360867914
1739209818.990888;-45.120503652039325
1739209818.9908962;-35.57807855764607
1739209818.9909043;-31.141103565318893
1739209818.9909124;-45.120503652039325
1739209818.9909203;-45.120503652039325
1739209818.9909284;-45.120503652039325
1739209818.9909365;-38.13080360867914
1739209818.9909446;-38.13080360867914
1739209818.9909527;-45.120503652039325
1739209818.9909608;-45.120503652039325
1739209818.990969;-45.120503652039325
1739209818.990977;-45.120503652039325
1739209818.9909852;-45.120503652039325
1739209818.9909933;-38.13080360867914
1739209818.9910014;-45.120503652039325
1739209818.9910095;-45.120503652039325
1739209818.9910176;-45.120503652039325
1739209818.9910257;-32.816014438256545
1739209818.9910338;-29.438486411369333
1739209818.991042;-38.13080360867914
1739209818.9910498;-38.13080360867914
1739209818.9910579;-38.13080360867914
1739209818.991066;-35.57807855764607
1739209818.991074;-38.13080360867914
1739209818.9910822;-35.57807855764607
1739209818.9910903;-45.120503652039325
1739209818.9910984;-45.120503652039325
1739209818.9911065;-38.13080360867914
1739209818.9911146;-35.57807855764607
1739209818.9911227;-45.120503652039325
1739209818.9911308;-45.120503652039325
1739209818.991139;-38.13080360867914
1739209818.991147;-45.120503652039325
1739209818.9911551;-33.981070128970906
1739209818.9911633;-45.120503652039325
1739209818.9911711;-33.981070128970906
1739209818.9911792;-38.13080360867914
1739209818.9911873;-45.120503652039325
1739209818.9911954;-38.13080360867914
1739209818.9912035;-45.120503652039325
1739209818.9912117;-45.120503652039325
1739209818.9912198;-45.120503652039325
1739209818.9912279;-45.120503652039325
1739209818.991236;-45.120503652039325
1739209818.991244;-38.13080360867914
1739209818.9912522;-38.13080360867914
1739209818.9912603;-38.13080360867914
1739209818.9912684;-45.120503652039325
1739209818.9912765;-45.120503652039325
1739209818.9912846;-45.120503652039325
1739209818.9912927;-45.120503652039325
1739209818.9913006;-45.120503652039325
1739209818.9913087;-45.120503652039325
1739209818.9913168;-45.120503652039325
1739209818.991325;-45.120503652039325
1739209818.991333;-45.120503652039325
1739209818.991341;-45.120503652039325
1739209818.9913492;-38.13080360867914
1739209818.9913573;-26.991370085610722
1739209818.9913654;-38.13080360867914
1739209818.9913735;-45.120503652039325
1739209818.9913816;-38.13080360867914
1739209818.9913898;-30.49652367304973
1739209818.9913979;-38.13080360867914
1739209818.991406;-45.120503652039325
1739209818.991414;-33.981070128970906
1739209818.991422;-31.141103565318943
1739209818.99143;-45.120503652039325
1739209818.9914382;-38.13080360867914
1739209818.9914463;-35.57807855764607
