CAN Message; 0x1d3:00000f73197507c0
Timestamp;Amplitude
1739209859.581631;-45.120503652039325
1739209859.5816422;-45.120503652039325
1739209859.5816534;-35.57807855764607
1739209859.5816646;-38.13080360867914
1739209859.5816758;-45.120503652039325
1739209859.5816872;-38.13080360867914
1739209859.5816984;-33.981070128970906
1739209859.5817096;-38.13080360867914
1739209859.5817208;-45.120503652039325
1739209859.581732;-38.13080360867914
1739209859.5817432;-38.13080360867914
1739209859.5817544;-45.120503652039325
1739209859.5817657;-45.120503652039325
1739209859.5817769;-45.120503652039325
1739209859.581788;-38.13080360867914
1739209859.5817993;-45.120503652039325
1739209859.5818105;-45.120503652039325
1739209859.581822;-38.13080360867914
1739209859.5818331;-38.13080360867914
1739209859.5818443;-32.816014438256545
1739209859.5818555;-35.57807855764607
1739209859.5818667;-45.120503652039325
1739209859.581878;-45.120503652039325
1739209859.5818892;-35.57807855764607
1739209859.5819004;-38.13080360867914
1739209859.5819116;-38.13080360867914
1739209859.5819228;-35.57807855764607
1739209859.581934;-45.120503652039325
1739209859.5819454;-45.120503652039325
1739209859.5819566;-35.57807855764607
1739209859.5819678;-45.120503652039325
1739209859.581979;-45.120503652039325
1739209859.5819902;-45.120503652039325
1739209859.5820014;-38.13080360867914
1739209859.5820127;-45.120503652039325
1739209859.5820239;-38.13080360867914
1739209859.582035;-35.57807855764607
1739209859.5820463;-45.120503652039325
1739209859.5820575;-38.13080360867914
1739209859.5820687;-38.13080360867914
1739209859.5820801;-35.57807855764607
1739209859.5820913;-38.13080360867914
1739209859.5821025;-45.120503652039325
1739209859.5821137;-32.816014438256545
1739209859.582125;-35.57807855764607
1739209859.5821362;-45.120503652039325
1739209859.5821474;-38.13080360867914
1739209859.5821586;-38.13080360867914
1739209859.5821698;-45.120503652039325
1739209859.582181;-45.120503652039325
1739209859.5821922;-38.13080360867914
1739209859.5822036;-38.13080360867914
1739209859.5822148;-45.120503652039325
1739209859.582226;-45.120503652039325
1739209859.5822372;-38.13080360867914
1739209859.5822484;-45.120503652039325
1739209859.5822597;-45.120503652039325
1739209859.5822709;-38.13080360867914
1739209859.582282;-45.120503652039325
1739209859.5822933;-29.438486411369333
1739209859.5823045;-31.141103565318893
1739209859.5823157;-45.120503652039325
1739209859.582327;-45.120503652039325
1739209859.5823383;-32.816014438256545
1739209859.5823495;-35.57807855764607
1739209859.5823607;-45.120503652039325
1739209859.582372;-45.120503652039325
1739209859.5823832;-45.120503652039325
1739209859.5823944;-45.120503652039325
1739209859.5824056;-38.13080360867914
1739209859.5824168;-38.13080360867914
1739209859.582428;-45.120503652039325
1739209859.5824392;-45.120503652039325
1739209859.5824504;-38.13080360867914
1739209859.5824618;-38.13080360867914
1739209859.582473;-45.120503652039325
1739209859.5824842;-45.120503652039325
1739209859.5824955;-38.13080360867914
1739209859.5825067;-45.120503652039325
1739209859.5825179;-45.120503652039325
1739209859.582529;-45.120503652039325
1739209859.5825403;-45.120503652039325
1739209859.5825515;-38.13080360867914
1739209859.5825627;-35.57807855764607
1739209859.582574;-32.816014438256545
1739209859.582585;-38.13080360867914
1739209859.5825965;-38.13080360867914
1739209859.5826077;-35.57807855764607
1739209859.582619;-31.141103565318915
1739209859.5826302;-45.120503652039325
1739209859.5826414;-45.120503652039325
1739209859.5826526;-45.120503652039325
1739209859.5826638;-45.120503652039325
1739209859.582675;-38.13080360867914
1739209859.5826862;-45.120503652039325
1739209859.5826974;-45.120503652039325
1739209859.5827086;-45.120503652039325
1739209859.58272;-45.120503652039325
1739209859.5827312;-45.120503652039325
1739209859.5827425;-35.57807855764607
1739209859.5827537;-30.49652367304973
1739209859.5827649;-45.120503652039325
1739209859.582776;-38.13080360867914
1739209859.5827873;-45.120503652039325
1739209859.5827985;-45.120503652039325
1739209859.5828097;-33.981070128970906
1739209859.582821;-32.816014438256545
1739209859.582832;-45.120503652039325
1739209859.5828433;-45.120503652039325
1739209859.5828547;-38.13080360867914
1739209859.582866;-45.120503652039325
1739209859.5828772;-38.13080360867914
1739209859.5828884;-38.13080360867914
1739209859.5828996;-38.13080360867914
1739209859.5829108;-45.120503652039325
1739209859.582922;-45.120503652039325
1739209859.5829332;-45.120503652039325
1739209859.5829444;-45.120503652039325
1739209859.5829556;-35.57807855764607
1739209859.5829668;-38.13080360867914
1739209859.5829782;-38.13080360867914
1739209859.5829895;-38.13080360867914
1739209859.5830007;-45.120503652039325
1739209859.5830119;-35.57807855764607
1739209859.583023;-32.816014438256545
1739209859.5830343;-45.120503652039325
1739209859.5830455;-38.13080360867914
1739209859.5830567;-38.13080360867914
1739209859.583068;-33.981070128970906
1739209859.583079;-33.981070128970906
1739209859.5830903;-45.120503652039325
1739209859.5831015;-45.120503652039325
1739209859.583113;-45.120503652039325
1739209859.5831242;-38.13080360867914
1739209859.5831354;-35.57807855764607
1739209859.5831466;-45.120503652039325
1739209859.5831578;-45.120503652039325
1739209859.583169;-38.13080360867914
1739209859.5831802;-38.13080360867914
1739209859.5831914;-45.120503652039325
1739209859.5832026;-38.13080360867914
1739209859.5832138;-38.13080360867914
1739209859.583225;-38.13080360867914
1739209859.5832365;-38.13080360867914
1739209859.5832477;-45.120503652039325
1739209859.5832589;-45.120503652039325
1739209859.58327;-38.13080360867914
1739209859.5832813;-38.13080360867914
1739209859.5832925;-45.120503652039325
1739209859.5833037;-45.120503652039325
1739209859.583315;-45.120503652039325
1739209859.583326;-45.120503652039325
1739209859.5833373;-38.13080360867914
1739209859.5833485;-38.13080360867914
1739209859.5833597;-45.120503652039325
1739209859.5833712;-38.13080360867914
1739209859.5833824;-38.13080360867914
1739209859.5833936;-38.13080360867914
1739209859.5834048;-45.120503652039325
1739209859.583416;-45.120503652039325
1739209859.5834272;-45.120503652039325
1739209859.5834384;-45.120503652039325
1739209859.5834496;-45.120503652039325
1739209859.5834608;-38.13080360867914
1739209859.583472;-38.13080360867914
1739209859.5834832;-38.13080360867914
1739209859.5834947;-45.120503652039325
1739209859.5835059;-45.120503652039325
1739209859.583517;-38.13080360867914
1739209859.5835283;-33.981070128970906
1739209859.5835395;-38.13080360867914
1739209859.5835507;-38.13080360867914
1739209859.583562;-38.13080360867914
1739209859.583573;-33.981070128970906
1739209859.5835843;-38.13080360867914
1739209859.5835955;-45.120503652039325
1739209859.5836067;-45.120503652039325
1739209859.583618;-45.120503652039325
1739209859.5836294;-45.120503652039325
1739209859.5836406;-38.13080360867914
1739209859.5836518;-38.13080360867914
1739209859.583663;-38.13080360867914
1739209859.5836742;-45.120503652039325
1739209859.5836854;-38.13080360867914
1739209859.5836966;-38.13080360867914
1739209859.5837078;-38.13080360867914
1739209859.583719;-38.13080360867914
1739209859.5837302;-38.13080360867914
1739209859.5837414;-35.57807855764607
1739209859.5837529;-31.141103565318915
1739209859.583764;-45.120503652039325
1739209859.5837753;-45.120503652039325
1739209859.5837865;-45.120503652039325
1739209859.5837977;-38.13080360867914
1739209859.583809;-45.120503652039325
1739209859.58382;-45.120503652039325
1739209859.5838313;-45.120503652039325
1739209859.5838425;-35.57807855764607
1739209859.5838537;-38.13080360867914
1739209859.583865;-45.120503652039325
1739209859.5838761;-45.120503652039325
1739209859.5838876;-45.120503652039325
1739209859.5838988;-33.981070128970906
1739209859.58391;-45.120503652039325
1739209859.5839212;-45.120503652039325
1739209859.5839324;-28.58837851428586
1739209859.5839436;-35.57807855764607
1739209859.5839548;-38.13080360867914
1739209859.583966;-45.120503652039325
1739209859.5839772;-38.13080360867914
1739209859.5839884;-38.13080360867914
1739209859.5839996;-38.13080360867914
1739209859.584011;-38.13080360867914
1739209859.5840223;-33.981070128970956
1739209859.5840335;-38.13080360867914
1739209859.5840447;-38.13080360867914
1739209859.584056;-45.120503652039325
1739209859.584067;-45.120503652039325
1739209859.5840783;-45.120503652039325
1739209859.5840895;-35.57807855764607
1739209859.5841007;-35.57807855764607
1739209859.584112;-45.120503652039325
1739209859.5841231;-38.13080360867914
1739209859.5841343;-38.13080360867914
1739209859.5841458;-45.120503652039325
1739209859.584157;-38.13080360867914
1739209859.5841682;-38.13080360867914
1739209859.5841794;-38.13080360867914
1739209859.5841906;-45.120503652039325
1739209859.5842018;-30.49652367304973
1739209859.584213;-31.141103565318893
1739209859.5842242;-45.120503652039325
1739209859.5842354;-45.120503652039325
1739209859.5842466;-38.13080360867914
1739209859.5842578;-38.13080360867914
1739209859.5842693;-45.120503652039325
1739209859.5842805;-45.120503652039325
1739209859.5842917;-38.13080360867914
1739209859.584303;-45.120503652039325
1739209859.584314;-35.57807855764607
1739209859.5843253;-45.120503652039325
1739209859.5843365;-45.120503652039325
1739209859.5843477;-38.13080360867914
1739209859.584359;-38.13080360867914
1739209859.5843701;-45.120503652039325
1739209859.5843813;-29.438486411369333
1739209859.5843925;-32.816014438256545
1739209859.584404;-45.120503652039325
1739209859.5844152;-45.120503652039325
1739209859.5844264;-33.981070128970906
1739209859.5844376;-38.13080360867914
1739209859.5844488;-45.120503652039325
1739209859.58446;-33.981070128970906
1739209859.5844712;-45.120503652039325
1739209859.5844824;-45.120503652039325
1739209859.5844936;-45.120503652039325
1739209859.5845048;-45.120503652039325
1739209859.584516;-38.13080360867914
1739209859.5845275;-33.981070128970906
1739209859.5845387;-38.13080360867914
1739209859.58455;-45.120503652039325
1739209859.584561;-35.57807855764607
1739209859.5845723;-32.816014438256545
1739209859.5845835;-45.120503652039325
1739209859.5845947;-45.120503652039325
1739209859.584606;-45.120503652039325
1739209859.5846171;-45.120503652039325
1739209859.5846283;-45.120503652039325
1739209859.5846395;-45.120503652039325
1739209859.5846508;-35.57807855764607
1739209859.5846622;-38.13080360867914
1739209859.5846734;-38.13080360867914
1739209859.5846846;-45.120503652039325
1739209859.5846958;-38.13080360867914
1739209859.584707;-38.13080360867914
1739209859.5847182;-45.120503652039325
1739209859.5847294;-38.13080360867914
1739209859.5847406;-45.120503652039325
1739209859.5847518;-45.120503652039325
1739209859.584763;-38.13080360867914
1739209859.5847743;-45.120503652039325
1739209859.5847857;-38.13080360867914
1739209859.584797;-33.981070128970906
1739209859.584808;-38.13080360867914
1739209859.5848193;-45.120503652039325
1739209859.5848305;-33.981070128970906
1739209859.5848417;-35.57807855764607
1739209859.584853;-38.13080360867914
1739209859.5848641;-32.816014438256545
1739209859.5848753;-35.57807855764607
1739209859.5848866;-45.120503652039325
1739209859.5848978;-45.120503652039325
1739209859.584909;-38.13080360867914
1739209859.5849204;-45.120503652039325
1739209859.5849316;-38.13080360867914
1739209859.5849428;-38.13080360867914
1739209859.584954;-38.13080360867914
1739209859.5849652;-38.13080360867914
1739209859.5849764;-38.13080360867914
1739209859.5849876;-38.13080360867914
1739209859.5849988;-45.120503652039325
1739209859.58501;-45.120503652039325
1739209859.5850213;-38.13080360867914
1739209859.5850325;-38.13080360867914
1739209859.585044;-45.120503652039325
1739209859.585055;-38.13080360867914
1739209859.5850663;-45.120503652039325
1739209859.5850775;-45.120503652039325
1739209859.5850887;-45.120503652039325
1739209859.5851;-33.981070128970906
1739209859.5851111;-33.981070128970906
1739209859.5851223;-45.120503652039325
1739209859.5851336;-45.120503652039325
1739209859.5851448;-45.120503652039325
1739209859.585156;-35.57807855764607
