CAN Message; 0x77:4003fb87256d7a2e
Timestamp;Amplitude
1739209815.4522698;-45.120503652039325
1739209815.4522762;-45.120503652039325
1739209815.4522827;-38.13080360867914
1739209815.452289;-38.13080360867914
1739209815.4522955;-38.13080360867914
1739209815.452302;-38.13080360867914
1739209815.4523082;-45.120503652039325
1739209815.4523146;-38.13080360867914
1739209815.452321;-31.141103565318915
1739209815.4523275;-33.981070128970906
1739209815.452334;-27.267205301931607
1739209815.4523404;-35.57807855764607
1739209815.4523468;-38.13080360867914
1739209815.4523532;-45.120503652039325
1739209815.4523597;-33.981070128970906
1739209815.452366;-38.13080360867914
1739209815.4523726;-38.13080360867914
1739209815.452379;-45.120503652039325
1739209815.4523852;-35.57807855764607
1739209815.4523916;-38.13080360867914
1739209815.452398;-45.120503652039325
1739209815.4524045;-45.120503652039325
1739209815.452411;-38.13080360867914
1739209815.4524174;-38.13080360867914
1739209815.4524238;-45.120503652039325
1739209815.4524302;-35.57807855764607
1739209815.4524367;-38.13080360867914
1739209815.4524431;-38.13080360867914
1739209815.4524496;-38.13080360867914
1739209815.452456;-45.120503652039325
1739209815.4524622;-38.13080360867914
1739209815.4524686;-45.120503652039325
1739209815.452475;-45.120503652039325
1739209815.4524815;-45.120503652039325
1739209815.452488;-33.981070128970906
1739209815.4524944;-38.13080360867914
1739209815.4525008;-45.120503652039325
1739209815.4525073;-45.120503652039325
1739209815.4525137;-38.13080360867914
1739209815.4525201;-33.981070128970906
1739209815.4525266;-45.120503652039325
1739209815.452533;-45.120503652039325
1739209815.4525392;-38.13080360867914
1739209815.4525456;-35.57807855764607
1739209815.452552;-35.57807855764607
1739209815.4525585;-38.13080360867914
1739209815.452565;-45.120503652039325
1739209815.4525714;-45.120503652039325
1739209815.4525778;-45.120503652039325
1739209815.4525843;-38.13080360867914
1739209815.4525907;-33.981070128970906
1739209815.4525971;-38.13080360867914
1739209815.4526036;-38.13080360867914
1739209815.45261;-45.120503652039325
1739209815.4526162;-38.13080360867914
1739209815.4526227;-45.120503652039325
1739209815.452629;-45.120503652039325
1739209815.4526355;-32.816014438256545
1739209815.452642;-38.13080360867914
1739209815.4526484;-38.13080360867914
1739209815.4526548;-38.13080360867914
1739209815.4526613;-38.13080360867914
1739209815.4526677;-38.13080360867914
1739209815.4526742;-35.57807855764607
1739209815.4526806;-45.120503652039325
1739209815.452687;-35.57807855764607
1739209815.4526935;-38.13080360867914
1739209815.4526997;-45.120503652039325
1739209815.452706;-45.120503652039325
1739209815.4527125;-35.57807855764607
1739209815.452719;-38.13080360867914
1739209815.4527254;-45.120503652039325
1739209815.4527318;-45.120503652039325
1739209815.4527383;-45.120503652039325
1739209815.4527447;-35.57807855764607
1739209815.4527512;-32.816014438256545
1739209815.4527576;-38.13080360867914
1739209815.452764;-32.816014438256545
1739209815.4527705;-33.981070128970906
1739209815.4527767;-45.120503652039325
1739209815.452783;-45.120503652039325
1739209815.4527895;-38.13080360867914
1739209815.452796;-45.120503652039325
1739209815.4528024;-45.120503652039325
1739209815.4528089;-38.13080360867914
1739209815.4528153;-35.57807855764607
1739209815.4528217;-33.981070128970906
1739209815.4528282;-38.13080360867914
1739209815.4528346;-38.13080360867914
1739209815.452841;-45.120503652039325
1739209815.4528475;-45.120503652039325
1739209815.4528537;-38.13080360867914
1739209815.45286;-35.57807855764607
1739209815.4528666;-45.120503652039325
1739209815.452873;-38.13080360867914
1739209815.4528794;-38.13080360867914
1739209815.4528859;-45.120503652039325
1739209815.4528923;-45.120503652039325
1739209815.4528987;-45.120503652039325
1739209815.4529052;-38.13080360867914
1739209815.4529116;-38.13080360867914
1739209815.452918;-45.120503652039325
1739209815.4529245;-45.120503652039325
1739209815.4529307;-38.13080360867914
1739209815.4529371;-35.57807855764607
