CAN Message; 0x1bb:00006507c4cd0efe
Timestamp;Amplitude
1739209660.958904;-45.120503652039325
1739209660.9589121;-38.13080360867914
1739209660.95892;-32.816014438256545
1739209660.958928;-45.120503652039325
1739209660.958936;-45.120503652039325
1739209660.958944;-38.13080360867914
1739209660.958952;-35.57807855764607
1739209660.95896;-38.13080360867914
1739209660.958968;-38.13080360867914
1739209660.9589758;-38.13080360867914
1739209660.958984;-45.120503652039325
1739209660.9589918;-38.13080360867914
1739209660.9589999;-45.120503652039325
1739209660.9590077;-38.13080360867914
1739209660.9590158;-38.13080360867914
1739209660.9590237;-38.13080360867914
1739209660.9590318;-33.981070128970906
1739209660.9590397;-45.120503652039325
1739209660.9590476;-45.120503652039325
1739209660.9590557;-38.13080360867914
1739209660.9590635;-45.120503652039325
1739209660.9590716;-45.120503652039325
1739209660.9590795;-35.57807855764607
1739209660.9590876;-38.13080360867914
1739209660.9590955;-45.120503652039325
1739209660.9591036;-33.981070128970906
1739209660.9591115;-35.57807855764607
1739209660.9591193;-38.13080360867914
1739209660.9591274;-45.120503652039325
1739209660.9591353;-38.13080360867914
1739209660.9591434;-45.120503652039325
1739209660.9591513;-38.13080360867914
1739209660.9591594;-45.120503652039325
1739209660.9591672;-35.57807855764607
1739209660.9591753;-38.13080360867914
1739209660.9591832;-35.57807855764607
1739209660.9591913;-38.13080360867914
1739209660.9591992;-45.120503652039325
1739209660.959207;-35.57807855764607
1739209660.9592152;-35.57807855764607
1739209660.959223;-32.816014438256545
1739209660.9592311;-38.13080360867914
1739209660.959239;-38.13080360867914
1739209660.959247;-38.13080360867914
1739209660.959255;-38.13080360867914
1739209660.959263;-45.120503652039325
1739209660.959271;-45.120503652039325
1739209660.9592788;-45.120503652039325
1739209660.959287;-38.13080360867914
1739209660.9592948;-38.13080360867914
1739209660.959303;-38.13080360867914
1739209660.9593108;-45.120503652039325
1739209660.9593189;-45.120503652039325
1739209660.9593267;-45.120503652039325
1739209660.9593349;-45.120503652039325
1739209660.9593427;-38.13080360867914
1739209660.9593506;-45.120503652039325
1739209660.9593587;-38.13080360867914
1739209660.9593666;-35.57807855764607
1739209660.9593747;-33.981070128970906
1739209660.9593825;-45.120503652039325
1739209660.9593906;-38.13080360867914
1739209660.9593985;-35.57807855764607
1739209660.9594066;-35.57807855764607
1739209660.9594145;-28.21854285175415
1739209660.9594223;-35.57807855764607
1739209660.9594305;-38.13080360867914
1739209660.9594383;-35.57807855764607
1739209660.9594464;-38.13080360867914
1739209660.9594543;-38.13080360867914
1739209660.9594624;-32.816014438256545
1739209660.9594703;-45.120503652039325
1739209660.9594784;-32.81601443825658
1739209660.9594862;-45.120503652039325
1739209660.959494;-33.981070128970906
1739209660.9595022;-45.120503652039325
1739209660.95951;-45.120503652039325
1739209660.9595182;-38.13080360867914
1739209660.959526;-35.57807855764607
1739209660.9595342;-35.57807855764607
1739209660.959542;-28.21854285175415
1739209660.9595501;-38.13080360867914
1739209660.959558;-35.57807855764607
1739209660.9595659;-33.981070128970906
1739209660.959574;-45.120503652039325
1739209660.9595819;-45.120503652039325
1739209660.95959;-35.57807855764607
1739209660.9595978;-38.13080360867914
1739209660.959606;-45.120503652039325
1739209660.9596138;-38.13080360867914
1739209660.959622;-35.57807855764607
1739209660.9596298;-38.13080360867914
1739209660.9596379;-32.816014438256545
1739209660.9596457;-45.120503652039325
1739209660.9596536;-38.13080360867914
1739209660.9596617;-38.13080360867914
1739209660.9596696;-45.120503652039325
1739209660.9596777;-38.13080360867914
1739209660.9596856;-38.13080360867914
1739209660.9596937;-38.13080360867914
1739209660.9597015;-45.120503652039325
1739209660.9597096;-33.981070128970906
1739209660.9597175;-45.120503652039325
