CAN Message; 0x62:0cf5763cd997922c
Timestamp;Amplitude
1739209667.3898647;-38.13080360867914
1739209667.3898697;-38.13080360867914
1739209667.3898747;-38.13080360867914
1739209667.3898797;-45.120503652039325
1739209667.389885;-38.13080360867914
1739209667.38989;-38.13080360867914
1739209667.389895;-38.13080360867914
1739209667.3899;-45.120503652039325
1739209667.389905;-45.120503652039325
1739209667.38991;-35.57807855764607
1739209667.389915;-38.13080360867914
1739209667.38992;-45.120503652039325
1739209667.3899252;-33.981070128970906
1739209667.3899302;-38.13080360867914
1739209667.3899353;-45.120503652039325
1739209667.3899403;-45.120503652039325
1739209667.3899453;-35.57807855764607
1739209667.3899503;-38.13080360867914
1739209667.3899553;-45.120503652039325
1739209667.3899603;-45.120503652039325
1739209667.3899653;-38.13080360867914
1739209667.3899705;-32.816014438256545
1739209667.3899755;-38.13080360867914
1739209667.3899806;-45.120503652039325
1739209667.3899856;-45.120503652039325
1739209667.3899906;-35.57807855764607
1739209667.3899956;-45.120503652039325
1739209667.3900006;-33.981070128970906
1739209667.3900056;-35.57807855764607
1739209667.3900108;-31.141103565318893
1739209667.3900158;-38.13080360867914
1739209667.3900208;-32.816014438256545
1739209667.3900259;-31.141103565318915
1739209667.3900309;-45.120503652039325
1739209667.3900359;-38.13080360867914
1739209667.3900409;-45.120503652039325
1739209667.390046;-45.120503652039325
1739209667.390051;-32.816014438256545
1739209667.3900561;-38.13080360867914
1739209667.3900611;-45.120503652039325
1739209667.3900661;-45.120503652039325
1739209667.3900712;-35.57807855764607
1739209667.3900762;-45.120503652039325
1739209667.3900812;-38.13080360867914
1739209667.3900862;-35.57807855764607
1739209667.3900912;-35.57807855764607
1739209667.3900964;-38.13080360867914
1739209667.3901014;-35.57807855764607
1739209667.3901064;-38.13080360867914
1739209667.3901114;-45.120503652039325
1739209667.3901165;-33.981070128970906
1739209667.3901215;-45.120503652039325
1739209667.3901265;-45.120503652039325
1739209667.3901315;-38.13080360867914
1739209667.3901365;-38.13080360867914
1739209667.3901417;-45.120503652039325
1739209667.3901467;-45.120503652039325
1739209667.3901517;-35.57807855764607
1739209667.3901567;-45.120503652039325
1739209667.3901618;-33.981070128970906
1739209667.3901668;-35.57807855764607
1739209667.3901718;-35.57807855764607
1739209667.3901768;-38.13080360867914
1739209667.390182;-45.120503652039325
1739209667.390187;-33.981070128970906
1739209667.390192;-38.13080360867914
1739209667.390197;-38.13080360867914
1739209667.390202;-45.120503652039325
1739209667.390207;-45.120503652039325
1739209667.390212;-38.13080360867914
1739209667.390217;-38.13080360867914
1739209667.390222;-45.120503652039325
1739209667.3902273;-38.13080360867914
1739209667.3902323;-32.816014438256545
1739209667.3902373;-38.13080360867914
1739209667.3902423;-38.13080360867914
1739209667.3902473;-35.57807855764607
1739209667.3902524;-35.57807855764607
1739209667.3902574;-38.13080360867914
1739209667.3902624;-45.120503652039325
1739209667.3902674;-38.13080360867914
1739209667.3902726;-35.57807855764607
1739209667.3902776;-38.13080360867914
1739209667.3902826;-45.120503652039325
1739209667.3902876;-38.13080360867914
1739209667.3902926;-38.13080360867914
1739209667.3902977;-45.120503652039325
1739209667.3903027;-45.120503652039325
1739209667.3903077;-38.13080360867914
1739209667.390313;-38.13080360867914
1739209667.390318;-38.13080360867914
1739209667.390323;-38.13080360867914
1739209667.390328;-45.120503652039325
1739209667.390333;-45.120503652039325
1739209667.390338;-45.120503652039325
1739209667.390343;-45.120503652039325
1739209667.390348;-45.120503652039325
1739209667.390353;-45.120503652039325
1739209667.3903582;-38.13080360867914
1739209667.3903632;-38.13080360867914
1739209667.3903682;-31.141103565318915
1739209667.3903732;-32.816014438256545
