CAN Message; 0x1d3:00004865cd2e03b4
Timestamp;Amplitude
1739209809.1361105;-38.13080360867914
1739209809.1361191;-45.120503652039325
1739209809.1361275;-45.120503652039325
1739209809.136136;-32.816014438256545
1739209809.1361446;-45.120503652039325
1739209809.1361532;-38.13080360867914
1739209809.1361618;-38.13080360867914
1739209809.1361704;-45.120503652039325
1739209809.1361787;-45.120503652039325
1739209809.1361873;-38.13080360867914
1739209809.136196;-38.13080360867914
1739209809.1362045;-38.13080360867914
1739209809.136213;-38.13080360867914
1739209809.1362214;-35.57807855764607
1739209809.13623;-35.57807855764607
1739209809.1362386;-45.120503652039325
1739209809.1362472;-45.120503652039325
1739209809.1362557;-45.120503652039325
1739209809.1362643;-45.120503652039325
1739209809.1362727;-45.120503652039325
1739209809.1362813;-35.57807855764607
1739209809.1362898;-45.120503652039325
1739209809.1362984;-45.120503652039325
1739209809.136307;-45.120503652039325
1739209809.1363153;-45.120503652039325
1739209809.136324;-45.120503652039325
1739209809.1363325;-45.120503652039325
1739209809.136341;-32.816014438256545
1739209809.1363497;-38.13080360867914
1739209809.1363583;-38.13080360867914
1739209809.1363666;-35.57807855764607
1739209809.1363752;-38.13080360867914
1739209809.1363838;-35.57807855764607
1739209809.1363924;-38.13080360867914
1739209809.136401;-45.120503652039325
1739209809.1364093;-38.13080360867914
1739209809.1364179;-35.57807855764607
1739209809.1364264;-45.120503652039325
1739209809.136435;-38.13080360867914
1739209809.1364436;-35.57807855764607
1739209809.1364522;-35.57807855764607
1739209809.1364605;-45.120503652039325
1739209809.1364691;-45.120503652039325
1739209809.1364777;-33.981070128970906
1739209809.1364863;-33.981070128970906
1739209809.1364949;-45.120503652039325
1739209809.1365035;-45.120503652039325
1739209809.1365118;-45.120503652039325
1739209809.1365204;-45.120503652039325
1739209809.136529;-32.816014438256545
1739209809.1365376;-38.13080360867914
1739209809.1365461;-38.13080360867914
1739209809.1365545;-38.13080360867914
1739209809.136563;-31.141103565318893
1739209809.1365716;-29.438486411369333
1739209809.1365802;-45.120503652039325
1739209809.1365888;-38.13080360867914
1739209809.1365974;-35.57807855764607
1739209809.1366057;-35.57807855764607
1739209809.1366143;-45.120503652039325
1739209809.136623;-35.57807855764607
1739209809.1366315;-45.120503652039325
1739209809.13664;-38.13080360867914
1739209809.1366484;-45.120503652039325
1739209809.136657;-45.120503652039325
1739209809.1366656;-45.120503652039325
1739209809.1366742;-45.120503652039325
1739209809.1366827;-45.120503652039325
1739209809.1366913;-45.120503652039325
1739209809.1366997;-35.57807855764607
1739209809.1367083;-32.816014438256545
1739209809.1367168;-45.120503652039325
1739209809.1367254;-45.120503652039325
1739209809.136734;-38.13080360867914
1739209809.1367424;-45.120503652039325
1739209809.136751;-38.13080360867914
1739209809.1367595;-35.57807855764607
1739209809.136768;-38.13080360867914
1739209809.1367767;-31.141103565318915
1739209809.1367853;-38.13080360867914
1739209809.1367936;-38.13080360867914
1739209809.1368022;-38.13080360867914
1739209809.1368108;-35.57807855764607
1739209809.1368194;-38.13080360867914
1739209809.136828;-33.981070128970906
1739209809.1368363;-45.120503652039325
1739209809.1368449;-32.81601443825658
1739209809.1368535;-38.13080360867914
1739209809.136862;-38.13080360867914
1739209809.1368706;-45.120503652039325
1739209809.1368792;-45.120503652039325
1739209809.1368876;-33.981070128970906
1739209809.1368961;-38.13080360867914
1739209809.1369047;-38.13080360867914
1739209809.1369133;-31.141103565318915
1739209809.136922;-38.13080360867914
1739209809.1369302;-45.120503652039325
1739209809.1369388;-38.13080360867914
1739209809.1369474;-38.13080360867914
1739209809.136956;-38.13080360867914
1739209809.1369646;-33.981070128970906
1739209809.1369731;-45.120503652039325
1739209809.1369815;-33.981070128970906
1739209809.13699;-38.13080360867914
1739209809.1369987;-28.992665084841942
1739209809.1370072;-23.75329798047522
1739209809.1370158;-27.877744956031414
1739209809.1370242;-27.267205301931607
1739209809.1370327;-38.13080360867914
1739209809.1370413;-45.120503652039325
1739209809.13705;-32.816014438256545
1739209809.1370585;-38.13080360867914
1739209809.137067;-45.120503652039325
1739209809.1370754;-38.13080360867914
1739209809.137084;-45.120503652039325
1739209809.1370926;-35.57807855764607
1739209809.1371012;-45.120503652039325
1739209809.1371098;-24.74623867263306
1739209809.1371183;-21.300333226290604
1739209809.1371267;-38.13080360867914
1739209809.1371353;-45.120503652039325
1739209809.1371439;-35.57807855764607
1739209809.1371524;-35.57807855764607
1739209809.137161;-45.120503652039325
1739209809.1371694;-45.120503652039325
1739209809.137178;-35.57807855764607
1739209809.1371865;-32.816014438256545
1739209809.137195;-45.120503652039325
1739209809.1372037;-32.816014438256545
1739209809.1372123;-25.62660358559016
1739209809.1372206;-24.746238672633048
1739209809.1372292;-31.141103565318915
1739209809.1372378;-31.141103565318943
1739209809.1372464;-32.81601443825658
1739209809.137255;-32.816014438256545
1739209809.1372633;-45.120503652039325
1739209809.137272;-28.992665084841942
1739209809.1372805;-31.141103565318893
1739209809.137289;-38.13080360867914
1739209809.1372976;-45.120503652039325
1739209809.1373062;-31.141103565318915
1739209809.1373146;-24.151403521958727
1739209809.1373231;-22.448786368009156
1739209809.1373317;-33.981070128970956
1739209809.1373403;-31.141103565318915
1739209809.137349;-33.981070128970906
1739209809.1373572;-35.57807855764607
1739209809.1373658;-26.991370085610722
1739209809.1373744;-31.141103565318915
1739209809.137383;-38.13080360867914
1739209809.1373916;-38.13080360867914
1739209809.1374002;-31.141103565318915
1739209809.1374085;-35.57807855764607
1739209809.137417;-31.14110356531892
1739209809.1374257;-24.292649948874775
1739209809.1374342;-26.487275050834725
1739209809.1374428;-38.13080360867914
1739209809.1374512;-33.981070128970906
1739209809.1374598;-28.21854285175415
1739209809.1374683;-33.981070128970906
1739209809.137477;-45.120503652039325
1739209809.1374855;-33.981070128970906
1739209809.137494;-38.13080360867914
