CAN Message; 0x1a7:00001b6978115ca1
Timestamp;Amplitude
1739209788.1507862;-38.13080360867914
1739209788.1507902;-38.13080360867914
1739209788.1507945;-45.120503652039325
1739209788.1507986;-45.120503652039325
1739209788.1508029;-38.13080360867914
1739209788.150807;-45.120503652039325
1739209788.1508112;-45.120503652039325
1739209788.1508152;-45.120503652039325
1739209788.1508195;-45.120503652039325
1739209788.1508236;-45.120503652039325
1739209788.150828;-45.120503652039325
1739209788.150832;-38.13080360867914
1739209788.1508362;-45.120503652039325
1739209788.1508403;-38.13080360867914
1739209788.1508446;-38.13080360867914
1739209788.1508486;-45.120503652039325
1739209788.150853;-38.13080360867914
1739209788.150857;-45.120503652039325
1739209788.1508613;-45.120503652039325
1739209788.1508653;-32.816014438256545
1739209788.1508696;-38.13080360867914
1739209788.1508737;-38.13080360867914
1739209788.150878;-38.13080360867914
1739209788.150882;-35.57807855764607
1739209788.1508863;-25.826314394896357
1739209788.1508904;-45.120503652039325
1739209788.1508946;-38.13080360867914
1739209788.1508987;-45.120503652039325
1739209788.150903;-33.981070128970906
1739209788.150907;-45.120503652039325
1739209788.1509113;-35.57807855764607
1739209788.1509154;-38.13080360867914
1739209788.1509197;-45.120503652039325
1739209788.1509237;-45.120503652039325
1739209788.150928;-45.120503652039325
1739209788.150932;-45.120503652039325
1739209788.1509364;-45.120503652039325
1739209788.1509404;-45.120503652039325
1739209788.1509447;-38.13080360867914
1739209788.1509488;-38.13080360867914
1739209788.150953;-45.120503652039325
1739209788.150957;-45.120503652039325
1739209788.1509614;-45.120503652039325
1739209788.1509655;-45.120503652039325
1739209788.1509697;-45.120503652039325
1739209788.1509738;-45.120503652039325
1739209788.150978;-45.120503652039325
1739209788.1509821;-45.120503652039325
1739209788.1509864;-28.992665084841942
1739209788.1509905;-38.13080360867914
1739209788.1509948;-38.13080360867914
1739209788.150999;-45.120503652039325
1739209788.1510031;-33.981070128970906
1739209788.1510074;-45.120503652039325
1739209788.1510115;-45.120503652039325
1739209788.1510158;-45.120503652039325
1739209788.1510198;-28.218542851754165
1739209788.151024;-33.981070128970906
1739209788.1510282;-45.120503652039325
1739209788.1510324;-45.120503652039325
1739209788.1510365;-38.13080360867914
1739209788.1510408;-45.120503652039325
1739209788.1510448;-45.120503652039325
1739209788.1510491;-45.120503652039325
1739209788.1510532;-38.13080360867914
1739209788.1510575;-45.120503652039325
1739209788.1510615;-45.120503652039325
1739209788.1510658;-45.120503652039325
1739209788.1510699;-45.120503652039325
