CAN Message; 0x39:03ae68123a718480
Timestamp;Amplitude
1739209618.404163;-38.13080360867914
1739209618.4041727;-38.13080360867914
1739209618.4041824;-32.816014438256545
1739209618.4041924;-33.981070128970906
1739209618.4042022;-38.13080360867914
1739209618.404212;-38.13080360867914
1739209618.4042218;-45.120503652039325
1739209618.4042315;-45.120503652039325
1739209618.4042413;-38.13080360867914
1739209618.404251;-38.13080360867914
1739209618.4042609;-45.120503652039325
1739209618.404271;-45.120503652039325
1739209618.4042807;-35.57807855764607
1739209618.4042904;-38.13080360867914
1739209618.4043002;-32.816014438256545
1739209618.40431;-38.13080360867914
1739209618.4043198;-45.120503652039325
1739209618.4043295;-38.13080360867914
1739209618.4043393;-32.816014438256545
1739209618.4043493;-45.120503652039325
1739209618.404359;-45.120503652039325
1739209618.4043689;-38.13080360867914
1739209618.4043787;-45.120503652039325
1739209618.4043884;-45.120503652039325
1739209618.4043982;-35.57807855764607
1739209618.404408;-38.13080360867914
1739209618.4044178;-45.120503652039325
1739209618.4044278;-45.120503652039325
1739209618.4044375;-38.13080360867914
1739209618.4044473;-38.13080360867914
1739209618.404457;-45.120503652039325
1739209618.4044669;-45.120503652039325
1739209618.4044766;-32.816014438256545
1739209618.4044864;-35.57807855764607
1739209618.4044962;-38.13080360867914
1739209618.4045062;-38.13080360867914
1739209618.404516;-38.13080360867914
1739209618.4045258;-45.120503652039325
1739209618.4045355;-31.141103565318893
1739209618.4045453;-35.57807855764607
1739209618.404555;-45.120503652039325
1739209618.4045649;-45.120503652039325
1739209618.4045746;-35.57807855764607
1739209618.4045846;-38.13080360867914
1739209618.4045944;-45.120503652039325
1739209618.4046042;-45.120503652039325
1739209618.404614;-38.13080360867914
1739209618.4046237;-45.120503652039325
1739209618.4046335;-38.13080360867914
1739209618.4046433;-38.13080360867914
1739209618.404653;-45.120503652039325
1739209618.404663;-45.120503652039325
1739209618.4046729;-45.120503652039325
1739209618.4046826;-45.120503652039325
1739209618.4046924;-35.57807855764607
1739209618.4047022;-35.57807855764607
1739209618.404712;-45.120503652039325
1739209618.4047217;-38.13080360867914
1739209618.4047315;-32.816014438256545
1739209618.4047415;-38.13080360867914
1739209618.4047513;-45.120503652039325
1739209618.404761;-45.120503652039325
1739209618.4047709;-35.57807855764607
1739209618.4047806;-45.120503652039325
1739209618.4047904;-38.13080360867914
1739209618.4048002;-45.120503652039325
1739209618.40481;-38.13080360867914
1739209618.40482;-38.13080360867914
1739209618.4048297;-27.267205301931607
1739209618.4048395;-25.826314394896357
1739209618.4048493;-32.81601443825658
1739209618.404859;-32.816014438256545
1739209618.4048688;-31.141103565318915
1739209618.4048786;-30.49652367304973
1739209618.4048884;-45.120503652039325
1739209618.4048984;-38.13080360867914
1739209618.4049082;-38.13080360867914
1739209618.404918;-35.57807855764607
1739209618.4049277;-33.981070128970906
1739209618.4049375;-23.75329798047522
1739209618.4049473;-25.826314394896354
1739209618.404957;-29.438486411369375
1739209618.4049668;-31.141103565318915
1739209618.4049768;-38.13080360867914
1739209618.4049866;-33.981070128970906
1739209618.4049964;-30.49652367304973
1739209618.4050062;-33.981070128970956
1739209618.405016;-38.13080360867914
1739209618.4050257;-45.120503652039325
1739209618.4050355;-45.120503652039325
1739209618.4050453;-38.13080360867914
1739209618.4050553;-32.816014438256545
1739209618.405065;-24.15140352195872
1739209618.4050748;-24.15140352195873
1739209618.4050846;-31.141103565318893
1739209618.4050944;-24.589719217205094
1739209618.4051042;-30.49652367304973
1739209618.405114;-33.981070128970906
1739209618.4051237;-38.13080360867914
1739209618.4051337;-31.141103565318915
1739209618.4051435;-45.120503652039325
1739209618.4051533;-38.13080360867914
1739209618.405163;-29.438486411369333
1739209618.4051728;-31.141103565318893
1739209618.4051826;-28.588378514285886
1739209618.4051924;-23.506823629689542
1739209618.4052022;-24.15140352195872
1739209618.4052122;-38.13080360867914
1739209618.405222;-30.49652367304973
1739209618.4052317;-45.120503652039325
1739209618.4052415;-38.13080360867914
1739209618.4052513;-32.816014438256545
1739209618.405261;-45.120503652039325
1739209618.4052708;-45.120503652039325
1739209618.4052806;-31.141103565318915
1739209618.4052906;-45.120503652039325
1739209618.4053004;-30.49652367304973
1739209618.4053102;-26.991370085610768
1739209618.40532;-24.151403521958734
1739209618.4053297;-27.8777449560314
1739209618.4053395;-28.58837851428586
1739209618.4053493;-38.13080360867914
1739209618.405359;-38.13080360867914
1739209618.405369;-29.438486411369333
1739209618.4053788;-38.13080360867914
1739209618.4053886;-35.57807855764607
1739209618.4053984;-38.13080360867914
1739209618.4054081;-45.120503652039325
1739209618.405418;-31.141103565318915
1739209618.4054277;-24.589719217205094
1739209618.4054377;-28.992665084841967
1739209618.4054475;-38.13080360867914
1739209618.4054573;-38.13080360867914
1739209618.405467;-33.981070128970956
1739209618.4054768;-31.141103565318915
1739209618.4054866;-31.141103565318915
1739209618.4054964;-45.120503652039325
1739209618.4055061;-33.981070128970906
1739209618.4055161;-45.120503652039325
1739209618.405526;-38.13080360867914
1739209618.4055357;-38.13080360867914
1739209618.4055455;-23.506823629689542
1739209618.4055552;-22.264930561961556
1739209618.405565;-28.218542851754165
1739209618.4055748;-27.267205301931607
1739209618.4055846;-33.981070128970956
1739209618.4055946;-38.13080360867914
1739209618.4056044;-32.816014438256545
1739209618.4056141;-38.13080360867914
1739209618.405624;-38.13080360867914
1739209618.4056337;-33.981070128970906
1739209618.4056435;-38.13080360867914
1739209618.4056532;-27.877744956031414
1739209618.405663;-25.077289914212862
1739209618.405673;-26.03565346325281
1739209618.4056828;-32.81601443825658
1739209618.4056926;-31.141103565318893
1739209618.4057024;-33.981070128970906
1739209618.4057121;-33.981070128970906
1739209618.405722;-33.981070128970906
1739209618.4057317;-26.487275050834715
1739209618.4057415;-45.120503652039325
1739209618.4057515;-45.120503652039325
1739209618.4057612;-31.141103565318915
1739209618.405771;-31.141103565318915
1739209618.4057808;-31.141103565318943
1739209618.4057906;-22.841636605902558
1739209618.4058003;-25.25278630937684
1739209618.40581;-35.57807855764607
1739209618.40582;-29.438486411369333
1739209618.40583;-31.141103565318915
1739209618.4058397;-45.120503652039325
1739209618.4058495;-38.13080360867914
