CAN Message; 0x24:0d1e05e8ddbdaca8
Timestamp;Amplitude
1739209866.784314;-45.120503652039325
1739209866.7843215;-31.141103565318915
1739209866.784329;-33.981070128970906
1739209866.7843366;-38.13080360867914
1739209866.7843442;-45.120503652039325
1739209866.7843518;-45.120503652039325
1739209866.7843592;-33.981070128970956
1739209866.7843668;-38.13080360867914
1739209866.7843745;-38.13080360867914
1739209866.784382;-45.120503652039325
1739209866.7843895;-45.120503652039325
1739209866.7843971;-45.120503652039325
1739209866.7844048;-45.120503652039325
1739209866.7844124;-45.120503652039325
1739209866.7844198;-38.13080360867914
1739209866.7844274;-38.13080360867914
1739209866.784435;-45.120503652039325
1739209866.7844427;-45.120503652039325
1739209866.78445;-38.13080360867914
1739209866.7844577;-38.13080360867914
1739209866.7844653;-45.120503652039325
1739209866.784473;-38.13080360867914
1739209866.7844803;-31.141103565318915
1739209866.784488;-38.13080360867914
1739209866.7844956;-45.120503652039325
1739209866.7845032;-38.13080360867914
1739209866.7845109;-33.981070128970906
1739209866.7845182;-38.13080360867914
1739209866.7845259;-45.120503652039325
1739209866.7845335;-38.13080360867914
1739209866.7845411;-32.816014438256545
1739209866.7845485;-33.981070128970906
1739209866.7845562;-38.13080360867914
1739209866.7845638;-38.13080360867914
1739209866.7845714;-38.13080360867914
1739209866.7845788;-45.120503652039325
1739209866.7845864;-45.120503652039325
1739209866.784594;-45.120503652039325
1739209866.7846017;-38.13080360867914
1739209866.784609;-33.981070128970906
1739209866.7846167;-38.13080360867914
1739209866.7846243;-45.120503652039325
1739209866.784632;-45.120503652039325
1739209866.7846394;-33.981070128970906
1739209866.784647;-38.13080360867914
1739209866.7846546;-45.120503652039325
1739209866.7846622;-45.120503652039325
1739209866.7846696;-38.13080360867914
1739209866.7846773;-33.981070128970906
1739209866.784685;-45.120503652039325
1739209866.7846925;-38.13080360867914
1739209866.7847002;-38.13080360867914
1739209866.7847075;-38.13080360867914
1739209866.7847152;-35.57807855764607
1739209866.7847228;-35.57807855764607
1739209866.7847304;-38.13080360867914
1739209866.7847378;-45.120503652039325
1739209866.7847455;-38.13080360867914
1739209866.784753;-31.141103565318893
1739209866.7847607;-45.120503652039325
1739209866.784768;-45.120503652039325
1739209866.7847757;-38.13080360867914
1739209866.7847834;-38.13080360867914
1739209866.784791;-38.13080360867914
1739209866.7847984;-38.13080360867914
1739209866.784806;-38.13080360867914
1739209866.7848136;-38.13080360867914
1739209866.7848213;-38.13080360867914
1739209866.7848287;-38.13080360867914
1739209866.7848363;-38.13080360867914
1739209866.784844;-33.981070128970906
1739209866.7848516;-45.120503652039325
1739209866.784859;-45.120503652039325
1739209866.7848666;-45.120503652039325
1739209866.7848742;-45.120503652039325
1739209866.7848818;-45.120503652039325
1739209866.7848895;-45.120503652039325
1739209866.7848969;-45.120503652039325
1739209866.7849045;-45.120503652039325
1739209866.784912;-45.120503652039325
1739209866.7849197;-45.120503652039325
1739209866.7849271;-38.13080360867914
1739209866.7849348;-38.13080360867914
1739209866.7849424;-38.13080360867914
1739209866.78495;-45.120503652039325
1739209866.7849574;-38.13080360867914
1739209866.784965;-38.13080360867914
1739209866.7849727;-38.13080360867914
1739209866.7849803;-38.13080360867914
1739209866.7849877;-45.120503652039325
1739209866.7849953;-45.120503652039325
1739209866.785003;-33.981070128970906
1739209866.7850106;-35.57807855764607
1739209866.785018;-45.120503652039325
1739209866.7850256;-38.13080360867914
1739209866.7850332;-45.120503652039325
1739209866.7850409;-45.120503652039325
1739209866.7850482;-45.120503652039325
1739209866.7850559;-45.120503652039325
1739209866.7850635;-38.13080360867914
1739209866.7850711;-45.120503652039325
1739209866.7850785;-38.13080360867914
1739209866.7850862;-45.120503652039325
1739209866.7850938;-35.57807855764607
1739209866.7851014;-35.57807855764607
1739209866.785109;-45.120503652039325
1739209866.7851164;-45.120503652039325
1739209866.785124;-38.13080360867914
1739209866.7851317;-45.120503652039325
1739209866.7851393;-45.120503652039325
1739209866.7851467;-38.13080360867914
1739209866.7851543;-38.13080360867914
1739209866.785162;-38.13080360867914
1739209866.7851696;-38.13080360867914
1739209866.785177;-32.816014438256545
1739209866.7851846;-45.120503652039325
1739209866.7851923;-45.120503652039325
1739209866.7851999;-45.120503652039325
1739209866.7852073;-38.13080360867914
1739209866.785215;-45.120503652039325
1739209866.7852225;-45.120503652039325
1739209866.7852302;-45.120503652039325
1739209866.7852376;-38.13080360867914
1739209866.7852452;-38.13080360867914
1739209866.7852528;-38.13080360867914
1739209866.7852604;-35.57807855764607
1739209866.7852678;-38.13080360867914
1739209866.7852755;-29.438486411369333
1739209866.785283;-27.8777449560314
1739209866.7852907;-45.120503652039325
1739209866.7852983;-45.120503652039325
1739209866.7853057;-33.981070128970906
1739209866.7853134;-38.13080360867914
1739209866.785321;-45.120503652039325
1739209866.7853286;-35.57807855764607
1739209866.785336;-45.120503652039325
1739209866.7853436;-45.120503652039325
1739209866.7853513;-38.13080360867914
