CAN Message; 0x150:060005d4bf63edfa
Timestamp;Amplitude
1739209854.4668484;-38.13080360867914
1739209854.4668531;-35.57807855764607
1739209854.4668581;-38.13080360867914
1739209854.466863;-38.13080360867914
1739209854.4668677;-31.141103565318915
1739209854.4668725;-35.57807855764607
1739209854.4668775;-45.120503652039325
1739209854.4668822;-38.13080360867914
1739209854.466887;-38.13080360867914
1739209854.4668918;-45.120503652039325
1739209854.4668968;-45.120503652039325
1739209854.4669015;-45.120503652039325
1739209854.4669063;-38.13080360867914
1739209854.466911;-38.13080360867914
1739209854.466916;-45.120503652039325
1739209854.4669209;-45.120503652039325
1739209854.4669256;-33.981070128970906
1739209854.4669304;-45.120503652039325
1739209854.4669354;-38.13080360867914
1739209854.4669402;-45.120503652039325
1739209854.466945;-38.13080360867914
1739209854.4669497;-38.13080360867914
1739209854.4669547;-45.120503652039325
1739209854.4669595;-38.13080360867914
1739209854.4669642;-33.981070128970906
1739209854.466969;-45.120503652039325
1739209854.466974;-45.120503652039325
1739209854.4669788;-38.13080360867914
1739209854.4669836;-28.992665084841942
1739209854.4669883;-38.13080360867914
1739209854.4669933;-35.57807855764607
1739209854.466998;-38.13080360867914
1739209854.4670029;-38.13080360867914
1739209854.4670076;-45.120503652039325
1739209854.4670124;-45.120503652039325
1739209854.4670174;-38.13080360867914
1739209854.4670222;-30.49652367304976
1739209854.467027;-45.120503652039325
1739209854.4670317;-38.13080360867914
1739209854.4670367;-45.120503652039325
1739209854.4670415;-45.120503652039325
1739209854.4670463;-45.120503652039325
1739209854.467051;-38.13080360867914
1739209854.467056;-38.13080360867914
1739209854.4670608;-38.13080360867914
1739209854.4670656;-35.57807855764607
1739209854.4670703;-45.120503652039325
1739209854.4670753;-45.120503652039325
1739209854.46708;-45.120503652039325
1739209854.467085;-38.13080360867914
1739209854.4670897;-45.120503652039325
1739209854.4670947;-38.13080360867914
1739209854.4670994;-28.992665084841942
1739209854.4671042;-38.13080360867914
1739209854.467109;-38.13080360867914
1739209854.467114;-35.57807855764607
1739209854.4671187;-33.981070128970906
1739209854.4671235;-45.120503652039325
1739209854.4671283;-45.120503652039325
1739209854.4671333;-45.120503652039325
1739209854.467138;-33.981070128970956
1739209854.4671428;-45.120503652039325
1739209854.4671476;-45.120503652039325
1739209854.4671526;-45.120503652039325
1739209854.4671574;-45.120503652039325
1739209854.4671621;-38.13080360867914
1739209854.467167;-45.120503652039325
1739209854.4671717;-45.120503652039325
1739209854.4671767;-28.992665084841942
1739209854.4671814;-35.57807855764607
1739209854.4671862;-45.120503652039325
1739209854.467191;-45.120503652039325
1739209854.467196;-38.13080360867914
1739209854.4672008;-38.13080360867914
1739209854.4672055;-38.13080360867914
1739209854.4672103;-38.13080360867914
1739209854.4672153;-45.120503652039325
1739209854.46722;-45.120503652039325
1739209854.4672248;-45.120503652039325
1739209854.4672296;-45.120503652039325
1739209854.4672346;-33.981070128970906
1739209854.4672394;-45.120503652039325
1739209854.4672441;-45.120503652039325
1739209854.467249;-45.120503652039325
1739209854.467254;-45.120503652039325
1739209854.4672587;-33.981070128970906
1739209854.4672635;-38.13080360867914
1739209854.4672682;-38.13080360867914
1739209854.4672732;-45.120503652039325
1739209854.467278;-33.981070128970906
1739209854.4672828;-45.120503652039325
1739209854.4672875;-45.120503652039325
1739209854.4672925;-38.13080360867914
1739209854.4672973;-38.13080360867914
1739209854.467302;-38.13080360867914
1739209854.4673069;-38.13080360867914
1739209854.4673116;-38.13080360867914
1739209854.4673166;-45.120503652039325
1739209854.4673214;-38.13080360867914
1739209854.4673262;-35.57807855764607
1739209854.467331;-45.120503652039325
1739209854.467336;-45.120503652039325
1739209854.4673407;-45.120503652039325
1739209854.4673455;-45.120503652039325
1739209854.4673502;-45.120503652039325
1739209854.4673553;-38.13080360867914
1739209854.46736;-35.57807855764607
1739209854.4673648;-38.13080360867914
1739209854.4673696;-38.13080360867914
1739209854.4673746;-38.13080360867914
1739209854.4673793;-38.13080360867914
1739209854.467384;-38.13080360867914
1739209854.4673889;-45.120503652039325
1739209854.4673939;-45.120503652039325
1739209854.4673986;-38.13080360867914
1739209854.4674034;-38.13080360867914
1739209854.4674082;-38.13080360867914
1739209854.4674132;-38.13080360867914
1739209854.467418;-38.13080360867914
1739209854.4674227;-45.120503652039325
1739209854.4674275;-35.57807855764607
1739209854.4674325;-38.13080360867914
1739209854.4674373;-45.120503652039325
1739209854.467442;-35.57807855764607
1739209854.4674468;-45.120503652039325
1739209854.4674518;-38.13080360867914
1739209854.4674566;-45.120503652039325
1739209854.4674613;-45.120503652039325
1739209854.467466;-45.120503652039325
1739209854.467471;-45.120503652039325
1739209854.467476;-38.13080360867914
1739209854.4674807;-45.120503652039325
1739209854.4674854;-38.13080360867914
1739209854.4674902;-38.13080360867914
1739209854.4674952;-38.13080360867914
1739209854.4675;-38.13080360867914
1739209854.4675047;-38.13080360867914
1739209854.4675095;-35.57807855764607
1739209854.4675145;-45.120503652039325
1739209854.4675193;-45.120503652039325
1739209854.467524;-45.120503652039325
1739209854.4675288;-31.141103565318915
1739209854.4675338;-38.13080360867914
1739209854.4675386;-45.120503652039325
1739209854.4675434;-45.120503652039325
1739209854.4675481;-38.13080360867914
1739209854.4675531;-38.13080360867914
1739209854.467558;-45.120503652039325
1739209854.4675627;-35.57807855764607
1739209854.4675674;-38.13080360867914
1739209854.4675725;-45.120503652039325
1739209854.4675772;-45.120503652039325
1739209854.467582;-38.13080360867914
1739209854.4675868;-38.13080360867914
1739209854.4675918;-45.120503652039325
1739209854.4675965;-45.120503652039325
1739209854.4676013;-38.13080360867914
1739209854.467606;-33.981070128970906
1739209854.467611;-38.13080360867914
1739209854.4676158;-38.13080360867914
1739209854.4676206;-38.13080360867914
1739209854.4676254;-31.141103565318915
1739209854.4676301;-45.120503652039325
1739209854.4676352;-45.120503652039325
1739209854.46764;-38.13080360867914
1739209854.4676447;-38.13080360867914
1739209854.4676495;-38.13080360867914
1739209854.4676545;-45.120503652039325
1739209854.4676592;-45.120503652039325
1739209854.467664;-45.120503652039325
1739209854.4676688;-38.13080360867914
1739209854.4676738;-45.120503652039325
1739209854.4676785;-38.13080360867914
1739209854.4676833;-35.57807855764607
1739209854.467688;-33.981070128970906
1739209854.467693;-38.13080360867914
1739209854.4676979;-45.120503652039325
1739209854.4677026;-38.13080360867914
1739209854.4677074;-31.141103565318915
1739209854.4677124;-38.13080360867914
1739209854.4677172;-45.120503652039325
1739209854.467722;-33.981070128970906
1739209854.4677267;-31.141103565318915
1739209854.4677317;-32.816014438256545
1739209854.4677365;-38.13080360867914
1739209854.4677413;-38.13080360867914
1739209854.467746;-38.13080360867914
1739209854.467751;-38.13080360867914
1739209854.4677558;-45.120503652039325
1739209854.4677606;-33.981070128970906
1739209854.4677653;-31.141103565318915
1739209854.46777;-45.120503652039325
1739209854.467775;-38.13080360867914
1739209854.4677799;-38.13080360867914
1739209854.4677846;-45.120503652039325
1739209854.4677894;-45.120503652039325
1739209854.4677944;-33.981070128970906
1739209854.4677992;-38.13080360867914
1739209854.467804;-33.981070128970906
1739209854.4678087;-45.120503652039325
1739209854.4678137;-38.13080360867914
1739209854.4678185;-38.13080360867914
1739209854.4678233;-38.13080360867914
1739209854.467828;-38.13080360867914
1739209854.467833;-38.13080360867914
1739209854.4678378;-38.13080360867914
1739209854.4678426;-38.13080360867914
1739209854.4678473;-45.120503652039325
1739209854.4678524;-38.13080360867914
1739209854.4678571;-45.120503652039325
1739209854.467862;-45.120503652039325
1739209854.4678667;-45.120503652039325
1739209854.4678717;-45.120503652039325
1739209854.4678764;-35.57807855764607
1739209854.4678812;-38.13080360867914
