CAN Message; 0x98:000074d0e0cc6c8e
Timestamp;Amplitude
1739209601.230062;-45.120503652039325
1739209601.2300723;-38.13080360867914
1739209601.2300828;-35.57807855764607
1739209601.230093;-31.141103565318915
1739209601.2301033;-45.120503652039325
1739209601.2301135;-45.120503652039325
1739209601.2301238;-35.57807855764607
1739209601.2301342;-38.13080360867914
1739209601.2301445;-35.57807855764607
1739209601.2301548;-45.120503652039325
1739209601.230165;-45.120503652039325
1739209601.2301753;-35.57807855764607
1739209601.2301857;-45.120503652039325
1739209601.230196;-45.120503652039325
1739209601.2302063;-45.120503652039325
1739209601.2302165;-45.120503652039325
1739209601.2302268;-45.120503652039325
1739209601.2302372;-45.120503652039325
1739209601.2302475;-45.120503652039325
1739209601.2302577;-31.141103565318915
1739209601.230268;-33.981070128970906
1739209601.2302785;-45.120503652039325
1739209601.2302887;-32.816014438256545
1739209601.230299;-32.816014438256545
1739209601.2303092;-45.120503652039325
1739209601.2303195;-38.13080360867914
1739209601.23033;-33.981070128970906
1739209601.2303402;-45.120503652039325
1739209601.2303505;-45.120503652039325
1739209601.2303607;-45.120503652039325
1739209601.230371;-38.13080360867914
1739209601.2303815;-38.13080360867914
1739209601.2303917;-38.13080360867914
1739209601.230402;-45.120503652039325
1739209601.2304122;-38.13080360867914
1739209601.2304225;-33.981070128970906
1739209601.230433;-35.57807855764607
1739209601.2304432;-45.120503652039325
1739209601.2304535;-38.13080360867914
1739209601.2304637;-38.13080360867914
1739209601.230474;-38.13080360867914
1739209601.2304845;-45.120503652039325
1739209601.2304947;-45.120503652039325
1739209601.230505;-33.981070128970906
1739209601.2305152;-38.13080360867914
1739209601.2305255;-38.13080360867914
1739209601.230536;-35.57807855764607
1739209601.2305462;-38.13080360867914
1739209601.2305565;-45.120503652039325
1739209601.2305667;-45.120503652039325
1739209601.230577;-32.816014438256545
1739209601.2305875;-45.120503652039325
1739209601.2305977;-45.120503652039325
1739209601.230608;-38.13080360867914
1739209601.2306182;-35.57807855764607
1739209601.2306285;-45.120503652039325
1739209601.230639;-45.120503652039325
1739209601.2306492;-38.13080360867914
1739209601.2306595;-38.13080360867914
1739209601.2306697;-32.816014438256545
1739209601.2306802;-30.49652367304973
1739209601.2306905;-45.120503652039325
1739209601.2307007;-38.13080360867914
1739209601.230711;-35.57807855764607
1739209601.2307212;-38.13080360867914
1739209601.2307317;-45.120503652039325
1739209601.230742;-35.57807855764607
1739209601.2307522;-45.120503652039325
1739209601.2307625;-45.120503652039325
1739209601.2307727;-38.13080360867914
1739209601.2307832;-45.120503652039325
1739209601.2307935;-45.120503652039325
1739209601.2308037;-38.13080360867914
1739209601.230814;-38.13080360867914
1739209601.2308242;-35.57807855764607
1739209601.2308347;-38.13080360867914
1739209601.230845;-35.57807855764607
1739209601.2308552;-38.13080360867914
1739209601.2308655;-35.57807855764607
1739209601.2308757;-38.13080360867914
1739209601.2308862;-45.120503652039325
1739209601.2308965;-35.57807855764607
1739209601.2309067;-29.438486411369333
1739209601.230917;-45.120503652039325
1739209601.2309272;-38.13080360867914
1739209601.2309377;-38.13080360867914
1739209601.230948;-45.120503652039325
1739209601.2309582;-35.57807855764607
1739209601.2309685;-33.981070128970906
1739209601.2309787;-45.120503652039325
1739209601.2309892;-45.120503652039325
1739209601.2309995;-38.13080360867914
1739209601.2310097;-45.120503652039325
1739209601.23102;-38.13080360867914
1739209601.2310302;-45.120503652039325
1739209601.2310407;-45.120503652039325
1739209601.231051;-38.13080360867914
1739209601.2310612;-38.13080360867914
1739209601.2310715;-45.120503652039325
1739209601.231082;-45.120503652039325
1739209601.2310922;-45.120503652039325
1739209601.2311025;-38.13080360867914
1739209601.2311127;-35.57807855764607
1739209601.231123;-38.13080360867914
1739209601.2311335;-45.120503652039325
1739209601.2311437;-38.13080360867914
1739209601.231154;-38.13080360867914
1739209601.2311642;-38.13080360867914
1739209601.2311745;-45.120503652039325
1739209601.231185;-45.120503652039325
1739209601.2311952;-38.13080360867914
1739209601.2312055;-38.13080360867914
1739209601.2312157;-35.57807855764607
1739209601.231226;-38.13080360867914
1739209601.2312365;-45.120503652039325
1739209601.2312467;-38.13080360867914
1739209601.231257;-32.816014438256545
1739209601.2312672;-38.13080360867914
1739209601.2312775;-45.120503652039325
1739209601.231288;-33.981070128970906
1739209601.2312982;-45.120503652039325
1739209601.2313085;-45.120503652039325
1739209601.2313187;-38.13080360867914
1739209601.231329;-45.120503652039325
1739209601.2313395;-38.13080360867914
1739209601.2313497;-45.120503652039325
1739209601.23136;-38.13080360867914
1739209601.2313702;-38.13080360867914
1739209601.2313805;-45.120503652039325
1739209601.231391;-38.13080360867914
1739209601.2314012;-38.13080360867914
1739209601.2314115;-38.13080360867914
1739209601.2314217;-38.13080360867914
1739209601.231432;-33.981070128970906
1739209601.2314425;-38.13080360867914
1739209601.2314527;-45.120503652039325
1739209601.231463;-45.120503652039325
1739209601.2314732;-38.13080360867914
1739209601.2314837;-38.13080360867914
1739209601.231494;-38.13080360867914
1739209601.2315042;-38.13080360867914
1739209601.2315145;-38.13080360867914
1739209601.2315247;-45.120503652039325
1739209601.2315352;-38.13080360867914
1739209601.2315454;-33.981070128970906
1739209601.2315557;-38.13080360867914
1739209601.231566;-45.120503652039325
1739209601.2315762;-45.120503652039325
1739209601.2315867;-45.120503652039325
1739209601.231597;-38.13080360867914
1739209601.2316072;-45.120503652039325
1739209601.2316175;-45.120503652039325
1739209601.2316277;-45.120503652039325
1739209601.2316382;-38.13080360867914
1739209601.2316484;-35.57807855764607
1739209601.2316587;-45.120503652039325
1739209601.231669;-38.13080360867914
1739209601.2316792;-31.141103565318915
1739209601.2316897;-35.57807855764607
1739209601.2317;-38.13080360867914
1739209601.2317102;-45.120503652039325
1739209601.2317204;-38.13080360867914
1739209601.2317307;-45.120503652039325
1739209601.2317412;-45.120503652039325
1739209601.2317514;-45.120503652039325
1739209601.2317617;-45.120503652039325
1739209601.231772;-45.120503652039325
1739209601.2317822;-38.13080360867914
1739209601.2317927;-38.13080360867914
1739209601.231803;-38.13080360867914
1739209601.2318132;-45.120503652039325
1739209601.2318234;-38.13080360867914
1739209601.2318337;-35.57807855764607
1739209601.2318442;-38.13080360867914
1739209601.2318544;-45.120503652039325
1739209601.2318647;-45.120503652039325
1739209601.231875;-45.120503652039325
1739209601.2318854;-38.13080360867914
1739209601.2318957;-38.13080360867914
1739209601.231906;-45.120503652039325
1739209601.2319162;-45.120503652039325
1739209601.2319264;-31.141103565318915
1739209601.231937;-45.120503652039325
1739209601.2319472;-38.13080360867914
1739209601.2319574;-45.120503652039325
1739209601.2319677;-45.120503652039325
1739209601.231978;-38.13080360867914
1739209601.2319884;-38.13080360867914
1739209601.2319987;-45.120503652039325
1739209601.232009;-31.14110356531892
1739209601.2320192;-38.13080360867914
1739209601.2320294;-35.57807855764607
1739209601.23204;-38.13080360867914
1739209601.2320502;-45.120503652039325
1739209601.2320604;-45.120503652039325
1739209601.2320707;-33.981070128970906
1739209601.232081;-35.57807855764607
1739209601.2320914;-31.141103565318915
1739209601.2321017;-38.13080360867914
1739209601.232112;-45.120503652039325
1739209601.2321222;-38.13080360867914
1739209601.2321324;-45.120503652039325
1739209601.232143;-38.13080360867914
1739209601.2321532;-38.13080360867914
1739209601.2321634;-45.120503652039325
1739209601.2321737;-35.57807855764607
1739209601.232184;-38.13080360867914
1739209601.2321944;-38.13080360867914
1739209601.2322047;-45.120503652039325
1739209601.232215;-45.120503652039325
1739209601.2322252;-32.816014438256545
1739209601.2322354;-45.120503652039325
1739209601.232246;-45.120503652039325
1739209601.2322562;-33.981070128970906
1739209601.2322664;-45.120503652039325
1739209601.2322767;-45.120503652039325
1739209601.2322872;-45.120503652039325
1739209601.2322974;-33.981070128970906
1739209601.2323077;-38.13080360867914
1739209601.232318;-45.120503652039325
1739209601.2323282;-45.120503652039325
1739209601.2323387;-45.120503652039325
1739209601.232349;-45.120503652039325
1739209601.2323592;-38.13080360867914
1739209601.2323694;-45.120503652039325
1739209601.2323797;-38.13080360867914
1739209601.2323902;-35.57807855764607
1739209601.2324004;-38.13080360867914
1739209601.2324107;-45.120503652039325
1739209601.232421;-45.120503652039325
1739209601.2324312;-38.13080360867914
1739209601.2324417;-38.13080360867914
1739209601.232452;-45.120503652039325
1739209601.2324622;-45.120503652039325
1739209601.2324724;-38.13080360867914
1739209601.2324827;-35.57807855764607
1739209601.2324932;-45.120503652039325
1739209601.2325034;-28.992665084841942
1739209601.2325137;-28.58837851428586
1739209601.232524;-45.120503652039325
