CAN Message; 0x1b8:0100f25db1a0e0dc
Timestamp;Amplitude
1739209767.057794;-45.120503652039325
1739209767.0577974;-38.13080360867914
1739209767.057801;-32.816014438256545
1739209767.0578046;-33.981070128970906
1739209767.057808;-45.120503652039325
1739209767.0578115;-38.13080360867914
1739209767.057815;-33.981070128970906
1739209767.0578184;-33.981070128970906
1739209767.057822;-45.120503652039325
1739209767.0578256;-35.57807855764607
1739209767.057829;-38.13080360867914
1739209767.0578325;-45.120503652039325
1739209767.057836;-45.120503652039325
1739209767.0578394;-38.13080360867914
1739209767.057843;-32.816014438256545
1739209767.0578465;-45.120503652039325
1739209767.05785;-45.120503652039325
1739209767.0578535;-38.13080360867914
1739209767.057857;-32.816014438256545
1739209767.0578604;-31.141103565318915
1739209767.057864;-45.120503652039325
1739209767.0578675;-38.13080360867914
1739209767.0578709;-38.13080360867914
1739209767.0578744;-38.13080360867914
1739209767.057878;-38.13080360867914
1739209767.0578814;-35.57807855764607
1739209767.057885;-45.120503652039325
1739209767.0578885;-45.120503652039325
1739209767.0578918;-45.120503652039325
1739209767.0578954;-45.120503652039325
1739209767.057899;-38.13080360867914
1739209767.0579023;-38.13080360867914
1739209767.057906;-45.120503652039325
1739209767.0579095;-38.13080360867914
1739209767.0579128;-38.13080360867914
1739209767.0579164;-45.120503652039325
1739209767.05792;-45.120503652039325
1739209767.0579233;-33.981070128970906
1739209767.057927;-38.13080360867914
1739209767.0579305;-33.981070128970906
1739209767.0579338;-38.13080360867914
1739209767.0579374;-45.120503652039325
1739209767.057941;-45.120503652039325
1739209767.0579443;-33.981070128970906
1739209767.0579479;-35.57807855764607
1739209767.0579515;-38.13080360867914
1739209767.0579548;-45.120503652039325
1739209767.0579584;-45.120503652039325
1739209767.057962;-35.57807855764607
1739209767.0579653;-38.13080360867914
1739209767.0579689;-45.120503652039325
1739209767.0579724;-31.141103565318915
1739209767.057976;-35.57807855764607
1739209767.0579793;-45.120503652039325
1739209767.057983;-45.120503652039325
1739209767.0579865;-38.13080360867914
1739209767.0579898;-38.13080360867914
1739209767.0579934;-45.120503652039325
1739209767.057997;-45.120503652039325
1739209767.0580003;-30.49652367304973
1739209767.058004;-38.13080360867914
1739209767.0580075;-38.13080360867914
1739209767.0580108;-38.13080360867914
1739209767.0580144;-45.120503652039325
1739209767.058018;-45.120503652039325
1739209767.0580213;-45.120503652039325
1739209767.058025;-38.13080360867914
1739209767.0580285;-26.991370085610722
1739209767.0580318;-38.13080360867914
1739209767.0580354;-45.120503652039325
1739209767.058039;-45.120503652039325
1739209767.0580423;-33.981070128970906
1739209767.0580459;-38.13080360867914
1739209767.0580494;-45.120503652039325
1739209767.0580528;-45.120503652039325
1739209767.0580564;-38.13080360867914
1739209767.05806;-45.120503652039325
1739209767.0580633;-45.120503652039325
1739209767.0580668;-45.120503652039325
1739209767.0580704;-45.120503652039325
1739209767.0580738;-45.120503652039325
1739209767.0580773;-45.120503652039325
1739209767.058081;-45.120503652039325
1739209767.0580842;-38.13080360867914
1739209767.0580878;-38.13080360867914
1739209767.0580914;-45.120503652039325
1739209767.0580947;-35.57807855764607
1739209767.0580983;-38.13080360867914
1739209767.058102;-32.816014438256545
1739209767.0581052;-33.981070128970906
1739209767.0581088;-45.120503652039325
1739209767.0581124;-28.992665084841942
1739209767.0581157;-33.981070128970906
1739209767.0581193;-45.120503652039325
1739209767.0581229;-45.120503652039325
1739209767.0581262;-33.981070128970906
1739209767.0581298;-38.13080360867914
1739209767.0581334;-45.120503652039325
1739209767.0581367;-38.13080360867914
1739209767.0581403;-35.57807855764607
1739209767.0581439;-38.13080360867914
1739209767.0581472;-35.57807855764607
1739209767.0581508;-45.120503652039325
1739209767.0581543;-38.13080360867914
1739209767.0581577;-45.120503652039325
1739209767.0581613;-38.13080360867914
1739209767.0581648;-38.13080360867914
1739209767.0581682;-33.981070128970906
1739209767.0581717;-30.49652367304973
1739209767.0581753;-45.120503652039325
1739209767.0581787;-45.120503652039325
1739209767.0581822;-45.120503652039325
1739209767.0581858;-45.120503652039325
1739209767.0581892;-45.120503652039325
1739209767.0581927;-45.120503652039325
1739209767.0581963;-45.120503652039325
1739209767.0581996;-45.120503652039325
1739209767.0582032;-38.13080360867914
1739209767.0582068;-38.13080360867914
1739209767.0582101;-38.13080360867914
1739209767.0582137;-45.120503652039325
1739209767.0582173;-38.13080360867914
1739209767.0582206;-35.57807855764607
1739209767.0582242;-35.57807855764607
1739209767.0582278;-45.120503652039325
1739209767.058231;-45.120503652039325
1739209767.0582347;-38.13080360867914
1739209767.0582383;-38.13080360867914
1739209767.0582416;-45.120503652039325
1739209767.0582452;-38.13080360867914
1739209767.0582488;-38.13080360867914
1739209767.058252;-33.981070128970906
1739209767.0582557;-45.120503652039325
1739209767.0582592;-38.13080360867914
1739209767.0582626;-33.981070128970906
1739209767.0582662;-35.57807855764607
1739209767.0582697;-45.120503652039325
1739209767.058273;-45.120503652039325
1739209767.0582767;-38.13080360867914
1739209767.0582802;-45.120503652039325
1739209767.0582836;-45.120503652039325
1739209767.0582871;-38.13080360867914
1739209767.0582907;-38.13080360867914
1739209767.058294;-45.120503652039325
1739209767.0582976;-38.13080360867914
1739209767.0583012;-45.120503652039325
1739209767.0583045;-45.120503652039325
1739209767.0583081;-38.13080360867914
1739209767.0583117;-45.120503652039325
1739209767.058315;-45.120503652039325
1739209767.0583186;-38.13080360867914
1739209767.0583222;-38.13080360867914
1739209767.0583255;-45.120503652039325
1739209767.058329;-38.13080360867914
1739209767.0583327;-35.57807855764607
1739209767.0583363;-45.120503652039325
