CAN Message; 0x1a7:00000f0bcadab60c
Timestamp;Amplitude
1739209679.6441455;-38.13080360867914
1739209679.6441522;-45.120503652039325
1739209679.644159;-45.120503652039325
1739209679.6441658;-45.120503652039325
1739209679.6441727;-38.13080360867914
1739209679.6441793;-45.120503652039325
1739209679.6441863;-45.120503652039325
1739209679.6441932;-35.57807855764607
1739209679.6441998;-38.13080360867914
1739209679.6442068;-45.120503652039325
1739209679.6442134;-38.13080360867914
1739209679.6442204;-31.141103565318915
1739209679.644227;-45.120503652039325
1739209679.644234;-45.120503652039325
1739209679.6442409;-38.13080360867914
1739209679.6442475;-32.816014438256545
1739209679.6442544;-33.981070128970906
1739209679.6442611;-45.120503652039325
1739209679.644268;-45.120503652039325
1739209679.6442747;-38.13080360867914
1739209679.6442816;-38.13080360867914
1739209679.6442883;-45.120503652039325
1739209679.6442952;-38.13080360867914
1739209679.6443021;-45.120503652039325
1739209679.6443088;-45.120503652039325
1739209679.6443157;-38.13080360867914
1739209679.6443224;-45.120503652039325
1739209679.6443293;-35.57807855764607
1739209679.644336;-38.13080360867914
1739209679.644343;-45.120503652039325
1739209679.6443498;-38.13080360867914
1739209679.6443565;-25.826314394896354
1739209679.6443634;-32.816014438256545
1739209679.64437;-45.120503652039325
1739209679.644377;-38.13080360867914
1739209679.6443837;-33.981070128970906
1739209679.6443906;-45.120503652039325
1739209679.6443975;-45.120503652039325
1739209679.6444042;-38.13080360867914
1739209679.644411;-32.81601443825658
1739209679.6444178;-45.120503652039325
1739209679.6444247;-45.120503652039325
1739209679.6444314;-38.13080360867914
1739209679.6444383;-45.120503652039325
1739209679.6444452;-38.13080360867914
1739209679.6444519;-45.120503652039325
1739209679.6444588;-38.13080360867914
1739209679.6444654;-31.141103565318893
1739209679.6444724;-33.981070128970906
1739209679.644479;-45.120503652039325
1739209679.644486;-45.120503652039325
1739209679.6444929;-35.57807855764607
1739209679.6444995;-38.13080360867914
1739209679.6445065;-45.120503652039325
1739209679.6445131;-45.120503652039325
1739209679.64452;-31.141103565318893
1739209679.6445267;-31.141103565318915
1739209679.6445336;-45.120503652039325
1739209679.6445403;-38.13080360867914
1739209679.6445472;-35.57807855764607
1739209679.6445541;-33.981070128970906
1739209679.6445608;-45.120503652039325
1739209679.6445677;-38.13080360867914
1739209679.6445744;-45.120503652039325
1739209679.6445813;-45.120503652039325
1739209679.644588;-38.13080360867914
1739209679.644595;-38.13080360867914
1739209679.6446018;-38.13080360867914
1739209679.6446085;-45.120503652039325
1739209679.6446154;-45.120503652039325
1739209679.644622;-45.120503652039325
1739209679.644629;-29.438486411369333
1739209679.6446357;-28.992665084841942
1739209679.6446426;-45.120503652039325
1739209679.6446495;-45.120503652039325
1739209679.6446562;-38.13080360867914
1739209679.644663;-32.816014438256545
1739209679.6446698;-45.120503652039325
1739209679.6446767;-45.120503652039325
1739209679.6446834;-38.13080360867914
1739209679.6446903;-45.120503652039325
1739209679.6446972;-45.120503652039325
1739209679.6447039;-45.120503652039325
1739209679.6447108;-45.120503652039325
1739209679.6447175;-45.120503652039325
1739209679.6447244;-45.120503652039325
1739209679.644731;-45.120503652039325
1739209679.644738;-33.981070128970906
1739209679.6447446;-31.141103565318915
1739209679.6447515;-38.13080360867914
1739209679.6447585;-38.13080360867914
1739209679.6447651;-38.13080360867914
1739209679.644772;-45.120503652039325
1739209679.6447787;-45.120503652039325
1739209679.6447856;-45.120503652039325
1739209679.6447923;-45.120503652039325
1739209679.6447992;-38.13080360867914
1739209679.6448061;-32.816014438256545
1739209679.6448128;-38.13080360867914
1739209679.6448197;-45.120503652039325
1739209679.6448264;-38.13080360867914
1739209679.6448333;-35.57807855764607
1739209679.64484;-38.13080360867914
1739209679.644847;-45.120503652039325
1739209679.6448538;-45.120503652039325
1739209679.6448605;-45.120503652039325
1739209679.6448674;-45.120503652039325
1739209679.644874;-45.120503652039325
1739209679.644881;-45.120503652039325
1739209679.6448877;-38.13080360867914
1739209679.6448946;-45.120503652039325
1739209679.6449015;-45.120503652039325
1739209679.6449082;-35.57807855764607
1739209679.644915;-38.13080360867914
1739209679.6449218;-38.13080360867914
1739209679.6449287;-38.13080360867914
1739209679.6449354;-35.57807855764607
1739209679.6449423;-38.13080360867914
1739209679.6449492;-33.981070128970906
1739209679.6449559;-45.120503652039325
1739209679.6449628;-38.13080360867914
1739209679.6449695;-38.13080360867914
1739209679.6449764;-45.120503652039325
1739209679.644983;-45.120503652039325
1739209679.64499;-45.120503652039325
1739209679.6449966;-45.120503652039325
1739209679.6450036;-45.120503652039325
1739209679.6450105;-45.120503652039325
1739209679.6450171;-38.13080360867914
1739209679.645024;-45.120503652039325
1739209679.6450307;-45.120503652039325
1739209679.6450377;-45.120503652039325
1739209679.6450443;-38.13080360867914
1739209679.6450512;-38.13080360867914
1739209679.6450582;-45.120503652039325
1739209679.6450648;-45.120503652039325
1739209679.6450717;-38.13080360867914
1739209679.6450784;-35.57807855764607
1739209679.6450853;-38.13080360867914
