CAN Message; 0x1a7:00003bbbe51a6676
Timestamp;Amplitude
1739209687.8659542;-45.120503652039325
1739209687.8659601;-45.120503652039325
1739209687.8659658;-45.120503652039325
1739209687.8659716;-45.120503652039325
1739209687.8659773;-38.13080360867914
1739209687.8659832;-45.120503652039325
1739209687.865989;-38.13080360867914
1739209687.8659947;-45.120503652039325
1739209687.8660004;-38.13080360867914
1739209687.8660064;-38.13080360867914
1739209687.866012;-45.120503652039325
1739209687.8660178;-45.120503652039325
1739209687.8660238;-38.13080360867914
1739209687.8660295;-45.120503652039325
1739209687.8660352;-45.120503652039325
1739209687.866041;-45.120503652039325
1739209687.866047;-38.13080360867914
1739209687.8660526;-33.981070128970906
1739209687.8660583;-38.13080360867914
1739209687.866064;-38.13080360867914
1739209687.86607;-38.13080360867914
1739209687.8660758;-38.13080360867914
1739209687.8660815;-38.13080360867914
1739209687.8660874;-45.120503652039325
1739209687.8660932;-38.13080360867914
1739209687.8660989;-32.81601443825658
1739209687.8661046;-38.13080360867914
1739209687.8661106;-38.13080360867914
1739209687.8661163;-38.13080360867914
1739209687.866122;-38.13080360867914
1739209687.8661277;-38.13080360867914
1739209687.8661337;-38.13080360867914
1739209687.8661394;-45.120503652039325
1739209687.8661451;-31.141103565318915
1739209687.866151;-33.981070128970906
1739209687.8661568;-35.57807855764607
1739209687.8661625;-45.120503652039325
1739209687.8661683;-35.57807855764607
1739209687.8661742;-45.120503652039325
1739209687.86618;-45.120503652039325
1739209687.8661857;-45.120503652039325
1739209687.8661914;-45.120503652039325
1739209687.8661973;-38.13080360867914
1739209687.866203;-45.120503652039325
1739209687.8662088;-38.13080360867914
1739209687.8662148;-35.57807855764607
1739209687.8662205;-45.120503652039325
1739209687.8662262;-45.120503652039325
1739209687.866232;-38.13080360867914
1739209687.8662379;-45.120503652039325
1739209687.8662436;-45.120503652039325
1739209687.8662493;-45.120503652039325
1739209687.866255;-45.120503652039325
1739209687.866261;-38.13080360867914
1739209687.8662667;-45.120503652039325
1739209687.8662724;-33.981070128970906
1739209687.8662784;-38.13080360867914
1739209687.8662841;-33.981070128970906
1739209687.8662899;-35.57807855764607
1739209687.8662956;-38.13080360867914
1739209687.8663015;-45.120503652039325
1739209687.8663073;-38.13080360867914
1739209687.866313;-32.816014438256545
1739209687.8663187;-38.13080360867914
1739209687.8663247;-38.13080360867914
1739209687.8663304;-33.981070128970906
1739209687.866336;-45.120503652039325
1739209687.866342;-45.120503652039325
1739209687.8663478;-38.13080360867914
1739209687.8663535;-35.57807855764607
1739209687.8663592;-45.120503652039325
1739209687.8663652;-45.120503652039325
1739209687.866371;-33.981070128970906
1739209687.8663766;-38.13080360867914
1739209687.8663824;-38.13080360867914
1739209687.8663883;-45.120503652039325
1739209687.866394;-45.120503652039325
1739209687.8663998;-45.120503652039325
1739209687.8664057;-38.13080360867914
1739209687.8664114;-45.120503652039325
1739209687.8664172;-45.120503652039325
1739209687.866423;-38.13080360867914
1739209687.8664289;-35.57807855764607
1739209687.8664346;-38.13080360867914
1739209687.8664403;-38.13080360867914
1739209687.866446;-38.13080360867914
1739209687.866452;-35.57807855764607
1739209687.8664577;-35.57807855764607
1739209687.8664634;-38.13080360867914
1739209687.8664694;-35.57807855764607
1739209687.866475;-45.120503652039325
1739209687.8664808;-45.120503652039325
1739209687.8664865;-38.13080360867914
1739209687.8664925;-38.13080360867914
1739209687.8664982;-45.120503652039325
1739209687.866504;-45.120503652039325
1739209687.8665097;-35.57807855764607
1739209687.8665156;-38.13080360867914
1739209687.8665214;-32.816014438256545
1739209687.866527;-35.57807855764607
1739209687.866533;-38.13080360867914
1739209687.8665388;-38.13080360867914
1739209687.8665445;-32.816014438256545
1739209687.8665502;-35.57807855764607
1739209687.8665562;-38.13080360867914
1739209687.866562;-35.57807855764607
1739209687.8665676;-45.120503652039325
1739209687.8665733;-45.120503652039325
1739209687.8665793;-32.816014438256545
1739209687.866585;-35.57807855764607
1739209687.8665907;-45.120503652039325
1739209687.8665967;-45.120503652039325
1739209687.8666024;-38.13080360867914
1739209687.8666081;-45.120503652039325
1739209687.8666139;-38.13080360867914
1739209687.8666198;-38.13080360867914
1739209687.8666255;-38.13080360867914
1739209687.8666313;-38.13080360867914
1739209687.866637;-35.57807855764607
1739209687.866643;-38.13080360867914
1739209687.8666487;-45.120503652039325
1739209687.8666544;-45.120503652039325
1739209687.8666604;-32.816014438256545
1739209687.866666;-32.816014438256545
1739209687.8666718;-45.120503652039325
1739209687.8666775;-45.120503652039325
1739209687.8666835;-45.120503652039325
1739209687.8666892;-45.120503652039325
1739209687.866695;-45.120503652039325
1739209687.8667006;-35.57807855764607
1739209687.8667066;-45.120503652039325
1739209687.8667123;-45.120503652039325
1739209687.866718;-45.120503652039325
1739209687.866724;-45.120503652039325
1739209687.8667297;-45.120503652039325
1739209687.8667355;-45.120503652039325
1739209687.8667412;-45.120503652039325
1739209687.8667471;-45.120503652039325
1739209687.8667529;-27.8777449560314
1739209687.8667586;-29.438486411369333
1739209687.8667643;-38.13080360867914
1739209687.8667703;-38.13080360867914
1739209687.866776;-35.57807855764607
1739209687.8667817;-35.57807855764607
1739209687.8667877;-45.120503652039325
1739209687.8667934;-45.120503652039325
1739209687.866799;-45.120503652039325
1739209687.8668048;-45.120503652039325
1739209687.8668108;-38.13080360867914
1739209687.8668165;-38.13080360867914
1739209687.8668222;-45.120503652039325
1739209687.866828;-45.120503652039325
1739209687.866834;-45.120503652039325
1739209687.8668396;-33.981070128970906
1739209687.8668454;-45.120503652039325
1739209687.8668513;-45.120503652039325
1739209687.866857;-45.120503652039325
1739209687.8668628;-45.120503652039325
1739209687.8668685;-38.13080360867914
1739209687.8668745;-45.120503652039325
1739209687.8668802;-32.816014438256545
1739209687.866886;-45.120503652039325
1739209687.8668916;-35.57807855764607
1739209687.8668976;-29.438486411369333
