CAN Message; 0x1b8:03005cedd3f8fc9d
Timestamp;Amplitude
1739209689.8804197;-38.13080360867914
1739209689.8804295;-35.57807855764607
1739209689.8804393;-38.13080360867914
1739209689.880449;-45.120503652039325
1739209689.8804588;-33.981070128970906
1739209689.8804686;-33.981070128970906
1739209689.8804784;-31.141103565318915
1739209689.8804882;-38.13080360867914
1739209689.880498;-38.13080360867914
1739209689.8805077;-33.981070128970906
1739209689.8805175;-32.816014438256545
1739209689.8805273;-38.13080360867914
1739209689.880537;-38.13080360867914
1739209689.8805468;-38.13080360867914
1739209689.8805566;-30.49652367304973
1739209689.8805664;-45.120503652039325
1739209689.8805761;-45.120503652039325
1739209689.880586;-45.120503652039325
1739209689.8805957;-45.120503652039325
1739209689.8806055;-45.120503652039325
1739209689.8806152;-45.120503652039325
1739209689.880625;-38.13080360867914
1739209689.8806348;-38.13080360867914
1739209689.8806446;-45.120503652039325
1739209689.8806543;-45.120503652039325
1739209689.880664;-38.13080360867914
1739209689.880674;-38.13080360867914
1739209689.8806837;-45.120503652039325
1739209689.8806934;-38.13080360867914
1739209689.8807032;-38.13080360867914
1739209689.880713;-33.981070128970906
1739209689.8807228;-45.120503652039325
1739209689.8807325;-45.120503652039325
1739209689.8807423;-45.120503652039325
1739209689.880752;-35.57807855764607
1739209689.8807619;-38.13080360867914
1739209689.8807716;-38.13080360867914
1739209689.8807814;-38.13080360867914
1739209689.8807912;-38.13080360867914
1739209689.880801;-45.120503652039325
1739209689.8808107;-38.13080360867914
1739209689.8808205;-35.57807855764607
1739209689.8808303;-38.13080360867914
1739209689.88084;-45.120503652039325
1739209689.8808498;-38.13080360867914
1739209689.8808596;-35.57807855764607
1739209689.8808692;-38.13080360867914
1739209689.880879;-45.120503652039325
1739209689.8808887;-45.120503652039325
1739209689.8808985;-45.120503652039325
1739209689.8809083;-38.13080360867914
1739209689.880918;-45.120503652039325
1739209689.8809278;-45.120503652039325
1739209689.8809376;-45.120503652039325
1739209689.8809474;-38.13080360867914
1739209689.8809571;-38.13080360867914
1739209689.880967;-38.13080360867914
1739209689.8809767;-38.13080360867914
1739209689.8809865;-38.13080360867914
1739209689.8809962;-38.13080360867914
1739209689.881006;-38.13080360867914
1739209689.8810158;-35.57807855764607
1739209689.8810256;-38.13080360867914
1739209689.8810353;-45.120503652039325
1739209689.881045;-38.13080360867914
1739209689.8810549;-38.13080360867914
1739209689.8810647;-38.13080360867914
1739209689.8810744;-38.13080360867914
1739209689.8810842;-38.13080360867914
1739209689.881094;-45.120503652039325
1739209689.8811038;-38.13080360867914
1739209689.8811135;-32.816014438256545
1739209689.8811233;-45.120503652039325
1739209689.881133;-45.120503652039325
1739209689.8811429;-38.13080360867914
1739209689.8811526;-35.57807855764607
1739209689.8811624;-45.120503652039325
1739209689.8811722;-45.120503652039325
1739209689.881182;-38.13080360867914
1739209689.8811917;-35.57807855764607
1739209689.8812015;-45.120503652039325
1739209689.8812113;-38.13080360867914
1739209689.881221;-45.120503652039325
1739209689.8812308;-35.57807855764607
1739209689.8812406;-45.120503652039325
1739209689.8812504;-38.13080360867914
1739209689.8812602;-45.120503652039325
1739209689.88127;-38.13080360867914
1739209689.8812797;-33.981070128970906
1739209689.8812895;-45.120503652039325
1739209689.8812993;-38.13080360867914
1739209689.881309;-45.120503652039325
1739209689.8813188;-45.120503652039325
1739209689.8813286;-45.120503652039325
1739209689.8813384;-33.981070128970906
1739209689.8813481;-26.991370085610736
1739209689.881358;-38.13080360867914
1739209689.8813677;-45.120503652039325
1739209689.8813775;-35.57807855764607
1739209689.8813872;-32.816014438256545
1739209689.881397;-45.120503652039325
1739209689.8814068;-45.120503652039325
1739209689.8814166;-45.120503652039325
1739209689.8814263;-45.120503652039325
1739209689.881436;-45.120503652039325
1739209689.881446;-45.120503652039325
1739209689.8814557;-38.13080360867914
1739209689.8814654;-38.13080360867914
1739209689.8814752;-45.120503652039325
1739209689.881485;-38.13080360867914
1739209689.8814948;-38.13080360867914
1739209689.8815045;-35.57807855764607
1739209689.8815143;-38.13080360867914
1739209689.881524;-45.120503652039325
1739209689.8815339;-45.120503652039325
1739209689.8815436;-45.120503652039325
1739209689.8815534;-38.13080360867914
1739209689.8815632;-45.120503652039325
1739209689.881573;-38.13080360867914
1739209689.8815827;-28.21854285175415
1739209689.8815925;-45.120503652039325
1739209689.8816023;-45.120503652039325
1739209689.881612;-38.13080360867914
1739209689.8816218;-45.120503652039325
1739209689.8816316;-38.13080360867914
1739209689.8816414;-32.816014438256545
1739209689.8816512;-38.13080360867914
1739209689.881661;-45.120503652039325
1739209689.8816707;-38.13080360867914
1739209689.8816805;-35.57807855764607
1739209689.8816903;-38.13080360867914
1739209689.8817;-35.57807855764607
1739209689.8817098;-38.13080360867914
1739209689.8817196;-32.816014438256545
1739209689.8817294;-38.13080360867914
1739209689.8817391;-45.120503652039325
1739209689.881749;-45.120503652039325
1739209689.8817587;-45.120503652039325
1739209689.8817685;-45.120503652039325
1739209689.881778;-45.120503652039325
1739209689.8817878;-38.13080360867914
1739209689.8817976;-38.13080360867914
1739209689.8818073;-45.120503652039325
1739209689.881817;-32.816014438256545
1739209689.8818269;-45.120503652039325
1739209689.8818367;-45.120503652039325
1739209689.8818464;-38.13080360867914
1739209689.8818562;-35.57807855764607
1739209689.881866;-38.13080360867914
1739209689.8818758;-38.13080360867914
1739209689.8818855;-35.57807855764607
1739209689.8818953;-45.120503652039325
1739209689.881905;-38.13080360867914
1739209689.8819149;-35.57807855764607
1739209689.8819246;-33.981070128970906
1739209689.8819344;-45.120503652039325
1739209689.8819442;-38.13080360867914
1739209689.881954;-35.57807855764607
1739209689.8819637;-38.13080360867914
1739209689.8819735;-38.13080360867914
1739209689.8819833;-38.13080360867914
1739209689.881993;-38.13080360867914
1739209689.8820028;-45.120503652039325
1739209689.8820126;-45.120503652039325
1739209689.8820224;-38.13080360867914
1739209689.8820322;-35.57807855764607
1739209689.882042;-45.120503652039325
1739209689.8820517;-45.120503652039325
1739209689.8820615;-33.981070128970906
1739209689.8820713;-35.57807855764607
1739209689.882081;-38.13080360867914
1739209689.8820908;-35.57807855764607
1739209689.8821006;-38.13080360867914
1739209689.8821104;-38.13080360867914
1739209689.8821201;-45.120503652039325
1739209689.88213;-38.13080360867914
1739209689.8821397;-33.981070128970906
1739209689.8821495;-35.57807855764607
1739209689.8821592;-33.981070128970906
1739209689.882169;-45.120503652039325
1739209689.8821788;-45.120503652039325
1739209689.8821886;-35.57807855764607
1739209689.8821983;-38.13080360867914
1739209689.882208;-38.13080360867914
1739209689.882218;-33.981070128970906
1739209689.8822277;-38.13080360867914
1739209689.8822374;-38.13080360867914
1739209689.8822472;-45.120503652039325
1739209689.882257;-38.13080360867914
1739209689.8822668;-35.57807855764607
1739209689.8822765;-45.120503652039325
1739209689.8822863;-45.120503652039325
1739209689.882296;-45.120503652039325
1739209689.8823059;-38.13080360867914
1739209689.8823156;-45.120503652039325
1739209689.8823254;-45.120503652039325
1739209689.8823352;-33.981070128970906
1739209689.882345;-45.120503652039325
1739209689.8823547;-45.120503652039325
1739209689.8823645;-45.120503652039325
1739209689.8823743;-38.13080360867914
1739209689.882384;-45.120503652039325
1739209689.8823938;-45.120503652039325
