CAN Message; 0x1bb:0000a06631570787
Timestamp;Amplitude
1739209852.7639832;-38.13080360867914
1739209852.7639878;-38.13080360867914
1739209852.7639923;-38.13080360867914
1739209852.7639968;-45.120503652039325
1739209852.7640014;-38.13080360867914
1739209852.764006;-45.120503652039325
1739209852.7640104;-45.120503652039325
1739209852.764015;-45.120503652039325
1739209852.7640195;-38.13080360867914
1739209852.764024;-38.13080360867914
1739209852.7640285;-45.120503652039325
1739209852.764033;-45.120503652039325
1739209852.7640376;-45.120503652039325
1739209852.7640421;-38.13080360867914
1739209852.7640467;-35.57807855764607
1739209852.7640512;-38.13080360867914
1739209852.7640557;-45.120503652039325
1739209852.7640603;-38.13080360867914
1739209852.7640648;-45.120503652039325
1739209852.7640693;-32.816014438256545
1739209852.7640738;-45.120503652039325
1739209852.7640784;-45.120503652039325
1739209852.764083;-45.120503652039325
1739209852.7640874;-38.13080360867914
1739209852.764092;-38.13080360867914
1739209852.7640965;-38.13080360867914
1739209852.764101;-38.13080360867914
1739209852.7641056;-38.13080360867914
1739209852.76411;-38.13080360867914
1739209852.7641146;-38.13080360867914
1739209852.7641191;-35.57807855764607
1739209852.7641237;-38.13080360867914
1739209852.7641282;-45.120503652039325
1739209852.7641327;-45.120503652039325
1739209852.7641373;-38.13080360867914
1739209852.7641418;-26.035653463252796
1739209852.7641463;-35.57807855764607
1739209852.7641509;-45.120503652039325
1739209852.7641554;-38.13080360867914
1739209852.76416;-30.49652367304973
1739209852.7641644;-38.13080360867914
1739209852.764169;-45.120503652039325
1739209852.7641735;-45.120503652039325
1739209852.764178;-45.120503652039325
1739209852.7641826;-38.13080360867914
1739209852.764187;-45.120503652039325
1739209852.7641916;-45.120503652039325
1739209852.7641962;-38.13080360867914
1739209852.7642007;-38.13080360867914
1739209852.7642052;-45.120503652039325
1739209852.7642097;-38.13080360867914
1739209852.7642143;-45.120503652039325
1739209852.7642188;-45.120503652039325
1739209852.7642233;-45.120503652039325
1739209852.7642279;-45.120503652039325
1739209852.7642324;-45.120503652039325
1739209852.764237;-45.120503652039325
1739209852.7642415;-38.13080360867914
1739209852.764246;-38.13080360867914
1739209852.7642505;-26.991370085610736
1739209852.764255;-32.816014438256545
1739209852.7642596;-45.120503652039325
1739209852.764264;-45.120503652039325
1739209852.7642686;-35.57807855764607
1739209852.7642732;-38.13080360867914
1739209852.7642777;-45.120503652039325
1739209852.7642822;-45.120503652039325
1739209852.7642868;-38.13080360867914
1739209852.7642913;-45.120503652039325
1739209852.7642958;-38.13080360867914
1739209852.7643003;-38.13080360867914
1739209852.7643049;-45.120503652039325
1739209852.7643094;-35.57807855764607
1739209852.764314;-35.57807855764607
1739209852.7643185;-35.57807855764607
1739209852.764323;-38.13080360867914
1739209852.7643275;-38.13080360867914
1739209852.764332;-45.120503652039325
1739209852.7643366;-38.13080360867914
1739209852.764341;-38.13080360867914
1739209852.7643456;-45.120503652039325
1739209852.7643502;-45.120503652039325
1739209852.7643547;-38.13080360867914
1739209852.7643592;-33.981070128970906
1739209852.7643638;-35.57807855764607
1739209852.7643683;-45.120503652039325
1739209852.7643728;-45.120503652039325
1739209852.7643774;-35.57807855764607
1739209852.764382;-38.13080360867914
1739209852.7643864;-45.120503652039325
1739209852.764391;-38.13080360867914
1739209852.7643955;-45.120503652039325
1739209852.7644;-45.120503652039325
1739209852.7644045;-45.120503652039325
1739209852.764409;-38.13080360867914
1739209852.7644136;-45.120503652039325
1739209852.7644181;-33.981070128970906
1739209852.7644227;-45.120503652039325
1739209852.7644272;-33.981070128970906
1739209852.7644317;-30.49652367304973
1739209852.7644362;-33.981070128970906
1739209852.7644408;-45.120503652039325
1739209852.7644453;-38.13080360867914
1739209852.7644498;-35.57807855764607
1739209852.7644544;-38.13080360867914
1739209852.764459;-45.120503652039325
1739209852.7644634;-45.120503652039325
1739209852.764468;-45.120503652039325
1739209852.7644725;-38.13080360867914
1739209852.764477;-45.120503652039325
1739209852.7644815;-45.120503652039325
1739209852.764486;-38.13080360867914
1739209852.7644906;-38.13080360867914
1739209852.7644951;-45.120503652039325
