CAN Message; 0x24:0dc2f7c1d35779a7
Timestamp;Amplitude
1739209835.438041;-38.13080360867914
1739209835.4380465;-27.267205301931607
1739209835.4380522;-33.981070128970906
1739209835.4380577;-38.13080360867914
1739209835.4380634;-38.13080360867914
1739209835.438069;-38.13080360867914
1739209835.4380746;-38.13080360867914
1739209835.4380803;-33.981070128970906
1739209835.4380858;-45.120503652039325
1739209835.4380915;-38.13080360867914
1739209835.4380972;-32.816014438256545
1739209835.4381027;-32.816014438256545
1739209835.4381084;-45.120503652039325
1739209835.4381142;-38.13080360867914
1739209835.4381196;-38.13080360867914
1739209835.4381254;-45.120503652039325
1739209835.4381309;-45.120503652039325
1739209835.4381366;-38.13080360867914
1739209835.4381423;-45.120503652039325
1739209835.4381478;-45.120503652039325
1739209835.4381535;-45.120503652039325
1739209835.438159;-45.120503652039325
1739209835.4381647;-38.13080360867914
1739209835.4381704;-38.13080360867914
1739209835.438176;-45.120503652039325
1739209835.4381816;-33.981070128970906
1739209835.4381871;-45.120503652039325
1739209835.4381928;-38.13080360867914
1739209835.4381986;-45.120503652039325
1739209835.438204;-45.120503652039325
1739209835.4382098;-38.13080360867914
1739209835.4382153;-45.120503652039325
1739209835.438221;-38.13080360867914
1739209835.4382267;-38.13080360867914
1739209835.4382322;-38.13080360867914
1739209835.438238;-38.13080360867914
1739209835.4382436;-33.981070128970906
1739209835.438249;-38.13080360867914
1739209835.4382548;-45.120503652039325
1739209835.4382603;-45.120503652039325
1739209835.438266;-45.120503652039325
1739209835.4382718;-45.120503652039325
1739209835.4382772;-45.120503652039325
1739209835.438283;-38.13080360867914
1739209835.4382885;-35.57807855764607
1739209835.4382942;-38.13080360867914
1739209835.4383;-38.13080360867914
1739209835.4383054;-33.981070128970906
1739209835.438311;-45.120503652039325
1739209835.4383166;-45.120503652039325
1739209835.4383223;-33.981070128970906
1739209835.438328;-38.13080360867914
1739209835.4383335;-45.120503652039325
1739209835.4383392;-45.120503652039325
1739209835.4383447;-35.57807855764607
1739209835.4383504;-38.13080360867914
1739209835.4383562;-45.120503652039325
1739209835.4383616;-45.120503652039325
1739209835.4383674;-45.120503652039325
1739209835.438373;-45.120503652039325
1739209835.4383786;-45.120503652039325
1739209835.4383843;-45.120503652039325
1739209835.4383898;-45.120503652039325
1739209835.4383955;-38.13080360867914
1739209835.4384012;-45.120503652039325
1739209835.4384067;-45.120503652039325
1739209835.4384124;-32.816014438256545
1739209835.438418;-33.981070128970906
1739209835.4384236;-45.120503652039325
1739209835.4384294;-38.13080360867914
1739209835.4384348;-30.49652367304973
1739209835.4384406;-38.13080360867914
1739209835.438446;-45.120503652039325
1739209835.4384518;-35.57807855764607
1739209835.4384575;-32.816014438256545
1739209835.438463;-38.13080360867914
1739209835.4384687;-45.120503652039325
1739209835.4384742;-45.120503652039325
1739209835.43848;-45.120503652039325
1739209835.4384856;-45.120503652039325
1739209835.438491;-45.120503652039325
1739209835.4384968;-45.120503652039325
1739209835.4385023;-38.13080360867914
1739209835.438508;-45.120503652039325
1739209835.4385138;-45.120503652039325
1739209835.4385192;-38.13080360867914
1739209835.438525;-38.13080360867914
1739209835.4385307;-38.13080360867914
1739209835.4385362;-38.13080360867914
1739209835.438542;-45.120503652039325
1739209835.4385474;-27.8777449560314
1739209835.438553;-35.57807855764607
1739209835.4385588;-45.120503652039325
1739209835.4385643;-45.120503652039325
1739209835.43857;-38.13080360867914
1739209835.4385755;-38.13080360867914
1739209835.4385812;-45.120503652039325
1739209835.438587;-38.13080360867914
1739209835.4385924;-38.13080360867914
1739209835.4385982;-45.120503652039325
1739209835.4386036;-38.13080360867914
1739209835.4386094;-38.13080360867914
1739209835.438615;-45.120503652039325
1739209835.4386206;-45.120503652039325
1739209835.4386263;-38.13080360867914
1739209835.4386318;-38.13080360867914
1739209835.4386375;-32.816014438256545
