CAN Message; 0x98:0000a06e7ebe017e
Timestamp;Amplitude
1739209698.9874854;-38.13080360867914
1739209698.987489;-38.13080360867914
1739209698.9874928;-45.120503652039325
1739209698.9874964;-45.120503652039325
1739209698.9875002;-38.13080360867914
1739209698.9875038;-38.13080360867914
1739209698.9875076;-38.13080360867914
1739209698.9875112;-45.120503652039325
1739209698.987515;-32.816014438256545
1739209698.9875188;-32.816014438256545
1739209698.9875224;-45.120503652039325
1739209698.9875262;-38.13080360867914
1739209698.9875298;-38.13080360867914
1739209698.9875336;-45.120503652039325
1739209698.9875371;-38.13080360867914
1739209698.987541;-38.13080360867914
1739209698.9875445;-45.120503652039325
1739209698.9875484;-45.120503652039325
1739209698.9875522;-45.120503652039325
1739209698.9875557;-38.13080360867914
1739209698.9875596;-45.120503652039325
1739209698.9875631;-45.120503652039325
1739209698.987567;-38.13080360867914
1739209698.9875705;-35.57807855764607
1739209698.9875743;-38.13080360867914
1739209698.987578;-45.120503652039325
1739209698.9875817;-45.120503652039325
1739209698.9875855;-45.120503652039325
1739209698.9875891;-38.13080360867914
1739209698.987593;-38.13080360867914
1739209698.9875965;-45.120503652039325
1739209698.9876003;-38.13080360867914
1739209698.987604;-33.981070128970906
1739209698.9876077;-38.13080360867914
1739209698.9876113;-38.13080360867914
1739209698.987615;-27.8777449560314
1739209698.987619;-45.120503652039325
1739209698.9876225;-45.120503652039325
1739209698.9876263;-38.13080360867914
1739209698.98763;-33.981070128970906
1739209698.9876337;-45.120503652039325
1739209698.9876373;-45.120503652039325
1739209698.987641;-33.981070128970906
1739209698.9876447;-38.13080360867914
1739209698.9876485;-38.13080360867914
1739209698.9876523;-38.13080360867914
1739209698.9876559;-38.13080360867914
1739209698.9876597;-33.981070128970906
1739209698.9876633;-35.57807855764607
1739209698.987667;-38.13080360867914
1739209698.9876707;-35.57807855764607
1739209698.9876745;-38.13080360867914
1739209698.9876783;-38.13080360867914
1739209698.9876819;-38.13080360867914
1739209698.9876857;-45.120503652039325
1739209698.9876893;-38.13080360867914
1739209698.987693;-45.120503652039325
1739209698.9876966;-45.120503652039325
1739209698.9877005;-32.816014438256545
1739209698.987704;-35.57807855764607
1739209698.9877079;-45.120503652039325
1739209698.9877117;-45.120503652039325
1739209698.9877152;-45.120503652039325
1739209698.987719;-45.120503652039325
1739209698.9877226;-38.13080360867914
1739209698.9877264;-45.120503652039325
1739209698.98773;-38.13080360867914
1739209698.9877338;-45.120503652039325
1739209698.9877374;-29.438486411369333
1739209698.9877412;-25.826314394896354
1739209698.987745;-45.120503652039325
1739209698.9877486;-45.120503652039325
1739209698.9877524;-38.13080360867914
1739209698.987756;-38.13080360867914
1739209698.9877598;-45.120503652039325
