CAN Message; 0x98:000097903c1c4cd4
Timestamp;Amplitude
1739209898.3514497;-38.13080360867914
1739209898.3514547;-45.120503652039325
1739209898.35146;-38.13080360867914
1739209898.3514652;-38.13080360867914
1739209898.3514702;-38.13080360867914
1739209898.3514755;-45.120503652039325
1739209898.3514807;-45.120503652039325
1739209898.3514857;-38.13080360867914
1739209898.351491;-32.816014438256545
1739209898.3514962;-28.21854285175415
1739209898.3515012;-45.120503652039325
1739209898.3515065;-45.120503652039325
1739209898.3515117;-35.57807855764607
1739209898.351517;-35.57807855764607
1739209898.351522;-45.120503652039325
1739209898.3515272;-45.120503652039325
1739209898.3515325;-45.120503652039325
1739209898.3515375;-38.13080360867914
1739209898.3515427;-45.120503652039325
1739209898.351548;-45.120503652039325
1739209898.351553;-45.120503652039325
1739209898.3515582;-38.13080360867914
1739209898.3515635;-38.13080360867914
1739209898.3515685;-45.120503652039325
1739209898.3515737;-35.57807855764607
1739209898.351579;-31.141103565318893
1739209898.351584;-45.120503652039325
1739209898.3515892;-45.120503652039325
1739209898.3515944;-38.13080360867914
1739209898.3515995;-38.13080360867914
1739209898.3516047;-45.120503652039325
1739209898.35161;-45.120503652039325
1739209898.351615;-45.120503652039325
1739209898.3516202;-45.120503652039325
1739209898.3516254;-38.13080360867914
1739209898.3516304;-38.13080360867914
1739209898.3516357;-38.13080360867914
1739209898.351641;-38.13080360867914
1739209898.3516462;-45.120503652039325
1739209898.3516512;-45.120503652039325
1739209898.3516564;-38.13080360867914
1739209898.3516617;-45.120503652039325
1739209898.3516667;-45.120503652039325
1739209898.351672;-45.120503652039325
1739209898.3516772;-38.13080360867914
1739209898.3516822;-45.120503652039325
1739209898.3516874;-32.816014438256545
1739209898.3516927;-38.13080360867914
1739209898.3516977;-38.13080360867914
1739209898.351703;-32.816014438256545
1739209898.3517082;-45.120503652039325
1739209898.3517132;-38.13080360867914
1739209898.3517184;-38.13080360867914
1739209898.3517237;-38.13080360867914
1739209898.3517287;-38.13080360867914
1739209898.351734;-45.120503652039325
1739209898.3517392;-38.13080360867914
1739209898.3517442;-45.120503652039325
1739209898.3517494;-38.13080360867914
1739209898.3517547;-45.120503652039325
1739209898.3517597;-38.13080360867914
1739209898.351765;-38.13080360867914
1739209898.3517702;-38.13080360867914
1739209898.3517752;-45.120503652039325
1739209898.3517804;-38.13080360867914
1739209898.3517857;-38.13080360867914
1739209898.351791;-45.120503652039325
1739209898.351796;-32.816014438256545
1739209898.3518012;-45.120503652039325
1739209898.3518064;-45.120503652039325
1739209898.3518114;-45.120503652039325
1739209898.3518167;-35.57807855764607
1739209898.351822;-38.13080360867914
1739209898.351827;-38.13080360867914
1739209898.3518322;-38.13080360867914
1739209898.3518374;-45.120503652039325
1739209898.3518424;-38.13080360867914
1739209898.3518476;-35.57807855764607
1739209898.351853;-45.120503652039325
1739209898.351858;-38.13080360867914
1739209898.3518631;-38.13080360867914
1739209898.3518684;-38.13080360867914
1739209898.3518734;-33.981070128970906
1739209898.3518786;-35.57807855764607
1739209898.351884;-38.13080360867914
1739209898.351889;-38.13080360867914
1739209898.3518941;-38.13080360867914
1739209898.3518994;-45.120503652039325
1739209898.3519044;-38.13080360867914
1739209898.3519096;-35.57807855764607
1739209898.351915;-45.120503652039325
