CAN Message; 0x1a7:000013da8d7a3030
Timestamp;Amplitude
1739209631.4952407;-45.120503652039325
1739209631.4952483;-38.13080360867914
1739209631.4952562;-38.13080360867914
1739209631.495264;-45.120503652039325
1739209631.4952717;-38.13080360867914
1739209631.4952796;-38.13080360867914
1739209631.4952874;-35.57807855764607
1739209631.495295;-35.57807855764607
1739209631.495303;-33.981070128970906
1739209631.4953108;-33.981070128970906
1739209631.4953184;-38.13080360867914
1739209631.4953263;-38.13080360867914
1739209631.4953341;-32.816014438256545
1739209631.4953418;-32.816014438256545
1739209631.4953496;-45.120503652039325
1739209631.4953575;-33.981070128970906
1739209631.4953651;-45.120503652039325
1739209631.495373;-45.120503652039325
1739209631.4953809;-38.13080360867914
1739209631.4953885;-45.120503652039325
1739209631.4953964;-45.120503652039325
1739209631.4954042;-38.13080360867914
1739209631.4954119;-35.57807855764607
1739209631.4954197;-38.13080360867914
1739209631.4954276;-45.120503652039325
1739209631.4954352;-38.13080360867914
1739209631.495443;-38.13080360867914
1739209631.495451;-45.120503652039325
1739209631.4954586;-45.120503652039325
1739209631.4954665;-28.992665084841942
1739209631.4954743;-38.13080360867914
1739209631.495482;-38.13080360867914
1739209631.4954898;-38.13080360867914
1739209631.4954977;-33.981070128970906
1739209631.4955053;-38.13080360867914
1739209631.4955132;-38.13080360867914
1739209631.495521;-45.120503652039325
1739209631.4955287;-30.49652367304973
1739209631.4955366;-38.13080360867914
1739209631.4955444;-45.120503652039325
1739209631.495552;-35.57807855764607
1739209631.49556;-33.981070128970906
1739209631.4955678;-45.120503652039325
1739209631.4955754;-45.120503652039325
1739209631.4955833;-38.13080360867914
1739209631.4955912;-28.992665084841942
1739209631.4955988;-45.120503652039325
1739209631.4956067;-45.120503652039325
1739209631.4956145;-45.120503652039325
1739209631.4956222;-38.13080360867914
1739209631.49563;-45.120503652039325
1739209631.495638;-38.13080360867914
1739209631.4956455;-38.13080360867914
1739209631.4956534;-45.120503652039325
1739209631.4956613;-33.981070128970906
1739209631.495669;-35.57807855764607
1739209631.4956768;-31.141103565318893
1739209631.4956846;-33.981070128970906
1739209631.4956923;-38.13080360867914
1739209631.4957001;-45.120503652039325
1739209631.495708;-38.13080360867914
1739209631.4957156;-33.981070128970906
1739209631.4957235;-45.120503652039325
1739209631.4957314;-38.13080360867914
1739209631.495739;-35.57807855764607
1739209631.4957469;-38.13080360867914
1739209631.4957547;-45.120503652039325
1739209631.4957623;-45.120503652039325
1739209631.4957702;-33.981070128970906
1739209631.495778;-31.141103565318915
1739209631.4957857;-38.13080360867914
1739209631.4957936;-38.13080360867914
1739209631.4958014;-45.120503652039325
1739209631.495809;-38.13080360867914
1739209631.495817;-38.13080360867914
1739209631.4958248;-38.13080360867914
1739209631.4958324;-45.120503652039325
1739209631.4958403;-28.992665084841942
1739209631.4958482;-33.981070128970906
1739209631.4958558;-45.120503652039325
1739209631.4958637;-35.57807855764607
1739209631.4958715;-38.13080360867914
1739209631.4958792;-45.120503652039325
1739209631.495887;-38.13080360867914
1739209631.495895;-33.981070128970906
1739209631.4959025;-35.57807855764607
1739209631.4959104;-45.120503652039325
1739209631.4959183;-45.120503652039325
1739209631.495926;-45.120503652039325
1739209631.4959338;-45.120503652039325
1739209631.4959416;-38.13080360867914
1739209631.4959493;-38.13080360867914
1739209631.4959571;-45.120503652039325
1739209631.495965;-45.120503652039325
1739209631.4959726;-45.120503652039325
1739209631.4959805;-38.13080360867914
1739209631.4959884;-38.13080360867914
1739209631.495996;-38.13080360867914
1739209631.4960039;-38.13080360867914
1739209631.4960117;-38.13080360867914
1739209631.4960194;-38.13080360867914
1739209631.4960272;-33.981070128970906
1739209631.496035;-45.120503652039325
1739209631.4960427;-45.120503652039325
1739209631.4960506;-45.120503652039325
1739209631.4960585;-38.13080360867914
1739209631.496066;-38.13080360867914
1739209631.496074;-45.120503652039325
1739209631.4960818;-45.120503652039325
1739209631.4960895;-45.120503652039325
1739209631.4960973;-38.13080360867914
1739209631.4961052;-35.57807855764607
1739209631.4961128;-45.120503652039325
1739209631.4961207;-45.120503652039325
1739209631.4961286;-32.816014438256545
1739209631.4961362;-33.981070128970906
1739209631.496144;-45.120503652039325
1739209631.496152;-38.13080360867914
1739209631.4961596;-33.981070128970906
1739209631.4961674;-45.120503652039325
1739209631.4961753;-45.120503652039325
1739209631.496183;-38.13080360867914
1739209631.4961908;-45.120503652039325
1739209631.4961987;-33.981070128970906
1739209631.4962063;-45.120503652039325
1739209631.4962142;-45.120503652039325
1739209631.496222;-38.13080360867914
1739209631.4962296;-38.13080360867914
1739209631.4962375;-45.120503652039325
1739209631.4962454;-45.120503652039325
1739209631.496253;-35.57807855764607
1739209631.496261;-38.13080360867914
1739209631.4962687;-45.120503652039325
1739209631.4962764;-38.13080360867914
1739209631.4962842;-35.57807855764607
1739209631.496292;-35.57807855764607
1739209631.4962997;-38.13080360867914
1739209631.4963076;-45.120503652039325
1739209631.4963155;-45.120503652039325
1739209631.496323;-33.981070128970906
1739209631.496331;-45.120503652039325
1739209631.4963388;-38.13080360867914
1739209631.4963465;-45.120503652039325
1739209631.4963543;-45.120503652039325
1739209631.4963622;-45.120503652039325
1739209631.4963698;-45.120503652039325
1739209631.4963777;-38.13080360867914
1739209631.4963856;-45.120503652039325
1739209631.4963932;-38.13080360867914
1739209631.496401;-45.120503652039325
1739209631.496409;-32.816014438256545
1739209631.4964166;-35.57807855764607
1739209631.4964244;-45.120503652039325
1739209631.4964323;-45.120503652039325
1739209631.49644;-45.120503652039325
1739209631.4964478;-38.13080360867914
1739209631.4964557;-38.13080360867914
1739209631.4964633;-33.981070128970906
1739209631.4964712;-45.120503652039325
