CAN Message; 0x62:0a66506d27a5c3db
Timestamp;Amplitude
1739209684.1168537;-45.120503652039325
1739209684.1168573;-28.992665084841942
1739209684.1168609;-38.13080360867914
1739209684.1168644;-38.13080360867914
1739209684.116868;-45.120503652039325
1739209684.1168716;-38.13080360867914
1739209684.1168752;-45.120503652039325
1739209684.1168787;-45.120503652039325
1739209684.1168823;-45.120503652039325
1739209684.116886;-29.438486411369347
1739209684.1168895;-33.981070128970906
1739209684.116893;-45.120503652039325
1739209684.1168966;-45.120503652039325
1739209684.1169002;-38.13080360867914
1739209684.1169038;-45.120503652039325
1739209684.1169074;-45.120503652039325
1739209684.116911;-35.57807855764607
1739209684.1169145;-33.981070128970906
1739209684.1169183;-33.981070128970906
1739209684.116922;-38.13080360867914
1739209684.1169255;-45.120503652039325
1739209684.116929;-33.981070128970906
1739209684.1169326;-38.13080360867914
1739209684.1169362;-45.120503652039325
1739209684.1169398;-38.13080360867914
1739209684.1169434;-28.992665084841942
1739209684.116947;-33.981070128970906
1739209684.1169505;-45.120503652039325
1739209684.116954;-45.120503652039325
1739209684.1169577;-45.120503652039325
1739209684.1169612;-35.57807855764607
1739209684.1169648;-38.13080360867914
1739209684.1169684;-45.120503652039325
1739209684.116972;-38.13080360867914
1739209684.1169755;-38.13080360867914
1739209684.1169791;-45.120503652039325
1739209684.1169827;-45.120503652039325
1739209684.1169863;-38.13080360867914
1739209684.1169899;-35.57807855764607
1739209684.1169934;-45.120503652039325
1739209684.116997;-45.120503652039325
1739209684.1170006;-33.981070128970906
1739209684.1170042;-38.13080360867914
1739209684.1170077;-38.13080360867914
1739209684.1170113;-38.13080360867914
1739209684.117015;-45.120503652039325
1739209684.1170185;-45.120503652039325
1739209684.117022;-45.120503652039325
1739209684.1170256;-38.13080360867914
1739209684.1170292;-35.57807855764607
1739209684.1170328;-45.120503652039325
1739209684.1170363;-45.120503652039325
1739209684.11704;-35.57807855764607
1739209684.1170435;-38.13080360867914
1739209684.117047;-45.120503652039325
1739209684.1170506;-45.120503652039325
1739209684.1170545;-38.13080360867914
1739209684.117058;-33.981070128970906
1739209684.1170616;-38.13080360867914
1739209684.1170652;-45.120503652039325
1739209684.1170688;-45.120503652039325
1739209684.1170723;-38.13080360867914
1739209684.117076;-38.13080360867914
1739209684.1170795;-38.13080360867914
1739209684.117083;-38.13080360867914
1739209684.1170866;-35.57807855764607
1739209684.1170902;-45.120503652039325
1739209684.1170938;-45.120503652039325
1739209684.1170974;-35.57807855764607
1739209684.117101;-35.57807855764607
1739209684.1171045;-45.120503652039325
1739209684.117108;-45.120503652039325
1739209684.1171117;-31.141103565318893
1739209684.1171153;-35.57807855764607
1739209684.1171188;-45.120503652039325
1739209684.1171224;-38.13080360867914
1739209684.117126;-29.438486411369333
1739209684.1171296;-38.13080360867914
1739209684.1171331;-45.120503652039325
1739209684.1171367;-38.13080360867914
1739209684.1171403;-35.57807855764607
1739209684.1171439;-38.13080360867914
1739209684.1171474;-45.120503652039325
1739209684.117151;-45.120503652039325
1739209684.1171546;-38.13080360867914
1739209684.1171582;-38.13080360867914
1739209684.1171618;-38.13080360867914
1739209684.1171653;-38.13080360867914
1739209684.117169;-38.13080360867914
1739209684.1171725;-38.13080360867914
1739209684.117176;-45.120503652039325
1739209684.1171796;-45.120503652039325
1739209684.1171832;-38.13080360867914
1739209684.1171868;-38.13080360867914
1739209684.1171906;-45.120503652039325
1739209684.1171942;-45.120503652039325
1739209684.1171978;-38.13080360867914
1739209684.1172013;-45.120503652039325
1739209684.117205;-38.13080360867914
1739209684.1172085;-38.13080360867914
1739209684.117212;-38.13080360867914
1739209684.1172156;-45.120503652039325
1739209684.1172192;-45.120503652039325
1739209684.1172228;-38.13080360867914
1739209684.1172264;-38.13080360867914
1739209684.11723;-38.13080360867914
1739209684.1172335;-45.120503652039325
1739209684.117237;-45.120503652039325
1739209684.1172407;-38.13080360867914
1739209684.1172442;-45.120503652039325
1739209684.1172478;-38.13080360867914
1739209684.1172514;-38.13080360867914
1739209684.117255;-35.57807855764607
