CAN Message; 0x150:0000c97507720719
Timestamp;Amplitude
1739209731.7750466;-38.13080360867914
1739209731.7750523;-45.120503652039325
1739209731.775058;-38.13080360867914
1739209731.7750638;-38.13080360867914
1739209731.7750697;-38.13080360867914
1739209731.7750754;-45.120503652039325
1739209731.7750812;-45.120503652039325
1739209731.7750869;-38.13080360867914
1739209731.7750926;-45.120503652039325
1739209731.7750983;-45.120503652039325
1739209731.775104;-38.13080360867914
1739209731.7751098;-38.13080360867914
1739209731.7751157;-38.13080360867914
1739209731.7751215;-45.120503652039325
1739209731.7751272;-38.13080360867914
1739209731.775133;-33.981070128970906
1739209731.7751386;-38.13080360867914
1739209731.7751443;-45.120503652039325
1739209731.77515;-38.13080360867914
1739209731.7751558;-38.13080360867914
1739209731.7751615;-38.13080360867914
1739209731.7751675;-45.120503652039325
1739209731.7751732;-38.13080360867914
1739209731.775179;-38.13080360867914
1739209731.7751846;-45.120503652039325
1739209731.7751904;-45.120503652039325
1739209731.775196;-45.120503652039325
1739209731.7752018;-45.120503652039325
1739209731.7752075;-33.981070128970906
1739209731.7752135;-38.13080360867914
1739209731.7752192;-38.13080360867914
1739209731.775225;-45.120503652039325
1739209731.7752306;-38.13080360867914
1739209731.7752364;-35.57807855764607
1739209731.775242;-45.120503652039325
1739209731.7752478;-45.120503652039325
1739209731.7752535;-45.120503652039325
1739209731.7752593;-38.13080360867914
1739209731.7752652;-38.13080360867914
1739209731.775271;-45.120503652039325
1739209731.7752767;-38.13080360867914
1739209731.7752824;-45.120503652039325
1739209731.775288;-45.120503652039325
1739209731.7752938;-45.120503652039325
1739209731.7752995;-31.141103565318915
1739209731.7753053;-35.57807855764607
1739209731.7753112;-38.13080360867914
1739209731.775317;-45.120503652039325
1739209731.7753227;-33.981070128970906
1739209731.7753284;-32.816014438256545
1739209731.7753341;-38.13080360867914
1739209731.7753398;-38.13080360867914
1739209731.7753456;-45.120503652039325
1739209731.7753513;-38.13080360867914
1739209731.775357;-38.13080360867914
1739209731.775363;-45.120503652039325
1739209731.7753687;-38.13080360867914
1739209731.7753744;-38.13080360867914
1739209731.7753801;-38.13080360867914
1739209731.7753859;-45.120503652039325
1739209731.7753916;-32.816014438256545
1739209731.7753973;-31.141103565318893
1739209731.775403;-38.13080360867914
1739209731.775409;-38.13080360867914
1739209731.7754147;-32.816014438256545
1739209731.7754204;-35.57807855764607
1739209731.7754261;-38.13080360867914
1739209731.7754319;-45.120503652039325
1739209731.7754376;-45.120503652039325
1739209731.7754433;-45.120503652039325
1739209731.775449;-38.13080360867914
1739209731.775455;-45.120503652039325
1739209731.7754607;-45.120503652039325
1739209731.7754664;-45.120503652039325
1739209731.7754722;-38.13080360867914
1739209731.775478;-45.120503652039325
1739209731.7754836;-38.13080360867914
1739209731.7754893;-38.13080360867914
1739209731.775495;-45.120503652039325
1739209731.7755008;-45.120503652039325
1739209731.7755067;-32.816014438256545
1739209731.7755125;-35.57807855764607
1739209731.7755182;-38.13080360867914
1739209731.775524;-38.13080360867914
1739209731.7755296;-45.120503652039325
1739209731.7755353;-45.120503652039325
1739209731.775541;-38.13080360867914
1739209731.7755468;-35.57807855764607
1739209731.7755527;-45.120503652039325
1739209731.7755585;-45.120503652039325
1739209731.7755642;-35.57807855764607
1739209731.77557;-35.57807855764607
1739209731.7755756;-38.13080360867914
1739209731.7755814;-45.120503652039325
1739209731.775587;-38.13080360867914
1739209731.7755928;-45.120503652039325
1739209731.7755985;-33.981070128970906
1739209731.7756045;-38.13080360867914
1739209731.7756102;-45.120503652039325
1739209731.775616;-38.13080360867914
1739209731.7756217;-38.13080360867914
1739209731.7756274;-35.57807855764607
1739209731.775633;-45.120503652039325
1739209731.7756388;-45.120503652039325
1739209731.7756445;-45.120503652039325
1739209731.7756505;-45.120503652039325
1739209731.7756562;-45.120503652039325
1739209731.775662;-35.57807855764607
1739209731.7756677;-45.120503652039325
1739209731.7756734;-45.120503652039325
1739209731.775679;-35.57807855764607
1739209731.7756848;-45.120503652039325
1739209731.7756906;-45.120503652039325
1739209731.7756963;-38.13080360867914
1739209731.7757022;-45.120503652039325
1739209731.775708;-45.120503652039325
1739209731.7757137;-38.13080360867914
1739209731.7757194;-27.8777449560314
1739209731.7757251;-45.120503652039325
1739209731.7757308;-45.120503652039325
1739209731.7757366;-45.120503652039325
1739209731.7757423;-38.13080360867914
1739209731.7757483;-38.13080360867914
1739209731.775754;-45.120503652039325
1739209731.7757597;-45.120503652039325
1739209731.7757654;-45.120503652039325
1739209731.7757711;-38.13080360867914
1739209731.7757769;-45.120503652039325
1739209731.7757826;-38.13080360867914
1739209731.7757883;-35.57807855764607
1739209731.775794;-45.120503652039325
1739209731.7758;-45.120503652039325
1739209731.7758057;-32.816014438256545
1739209731.7758114;-25.826314394896354
1739209731.7758172;-38.13080360867914
1739209731.7758229;-45.120503652039325
1739209731.7758286;-45.120503652039325
