CAN Message; 0x1bb:0000f8090f41031c
Timestamp;Amplitude
1739209741.1798115;-38.13080360867914
1739209741.179813;-38.13080360867914
1739209741.179814;-45.120503652039325
1739209741.1798153;-45.120503652039325
1739209741.1798167;-45.120503652039325
1739209741.179818;-45.120503652039325
1739209741.1798193;-45.120503652039325
1739209741.1798205;-38.13080360867914
1739209741.1798217;-38.13080360867914
1739209741.1798232;-45.120503652039325
1739209741.1798244;-45.120503652039325
1739209741.1798255;-45.120503652039325
1739209741.179827;-45.120503652039325
1739209741.1798282;-32.816014438256545
1739209741.1798294;-35.57807855764607
1739209741.1798308;-45.120503652039325
1739209741.179832;-38.13080360867914
1739209741.1798334;-38.13080360867914
1739209741.1798346;-45.120503652039325
1739209741.1798358;-32.816014438256545
1739209741.1798372;-32.816014438256545
1739209741.1798384;-45.120503652039325
1739209741.1798396;-45.120503652039325
1739209741.179841;-38.13080360867914
1739209741.1798422;-38.13080360867914
1739209741.1798434;-45.120503652039325
1739209741.1798449;-30.49652367304973
1739209741.179846;-45.120503652039325
1739209741.1798472;-38.13080360867914
1739209741.1798487;-38.13080360867914
1739209741.1798499;-38.13080360867914
1739209741.1798513;-38.13080360867914
1739209741.1798525;-38.13080360867914
1739209741.1798537;-45.120503652039325
1739209741.179855;-45.120503652039325
1739209741.1798563;-31.141103565318893
1739209741.1798575;-29.438486411369333
1739209741.179859;-45.120503652039325
1739209741.17986;-45.120503652039325
1739209741.1798613;-33.981070128970906
1739209741.1798627;-38.13080360867914
1739209741.179864;-45.120503652039325
1739209741.1798654;-38.13080360867914
1739209741.1798666;-45.120503652039325
1739209741.1798677;-45.120503652039325
1739209741.1798692;-38.13080360867914
1739209741.1798704;-45.120503652039325
1739209741.1798716;-45.120503652039325
1739209741.179873;-35.57807855764607
1739209741.1798742;-45.120503652039325
1739209741.1798754;-45.120503652039325
1739209741.1798768;-38.13080360867914
1739209741.179878;-38.13080360867914
1739209741.1798794;-38.13080360867914
1739209741.1798806;-45.120503652039325
1739209741.1798818;-45.120503652039325
1739209741.1798832;-38.13080360867914
1739209741.1798844;-38.13080360867914
1739209741.1798856;-45.120503652039325
1739209741.179887;-38.13080360867914
1739209741.1798882;-32.816014438256545
1739209741.1798894;-38.13080360867914
1739209741.1798909;-45.120503652039325
1739209741.179892;-38.13080360867914
1739209741.1798935;-35.57807855764607
1739209741.1798947;-45.120503652039325
1739209741.1798959;-38.13080360867914
1739209741.1798973;-45.120503652039325
1739209741.1798985;-45.120503652039325
