CAN Message; 0x1b8:0300716f44363d9e
Timestamp;Amplitude
1739209686.9485526;-38.13080360867914
1739209686.948556;-45.120503652039325
1739209686.9485595;-38.13080360867914
1739209686.9485629;-38.13080360867914
1739209686.9485664;-45.120503652039325
1739209686.9485698;-38.13080360867914
1739209686.9485734;-32.816014438256545
1739209686.9485767;-33.981070128970906
1739209686.9485803;-45.120503652039325
1739209686.9485836;-38.13080360867914
1739209686.9485872;-33.981070128970906
1739209686.9485905;-33.981070128970906
1739209686.948594;-45.120503652039325
1739209686.9485974;-38.13080360867914
1739209686.948601;-45.120503652039325
1739209686.9486043;-45.120503652039325
1739209686.948608;-45.120503652039325
1739209686.9486113;-38.13080360867914
1739209686.9486148;-45.120503652039325
1739209686.9486182;-38.13080360867914
1739209686.9486217;-45.120503652039325
1739209686.948625;-45.120503652039325
1739209686.9486287;-45.120503652039325
1739209686.948632;-38.13080360867914
1739209686.9486356;-45.120503652039325
1739209686.948639;-38.13080360867914
1739209686.9486425;-35.57807855764607
1739209686.9486458;-38.13080360867914
1739209686.9486494;-45.120503652039325
1739209686.9486527;-45.120503652039325
1739209686.9486563;-32.816014438256545
1739209686.9486597;-32.816014438256545
1739209686.9486632;-45.120503652039325
1739209686.9486666;-38.13080360867914
1739209686.9486701;-35.57807855764607
1739209686.9486735;-45.120503652039325
1739209686.948677;-45.120503652039325
1739209686.9486806;-35.57807855764607
1739209686.948684;-45.120503652039325
1739209686.9486876;-45.120503652039325
1739209686.948691;-45.120503652039325
1739209686.9486945;-45.120503652039325
1739209686.9486978;-45.120503652039325
1739209686.9487014;-38.13080360867914
1739209686.9487047;-38.13080360867914
1739209686.9487083;-38.13080360867914
1739209686.9487116;-28.21854285175415
1739209686.9487152;-33.981070128970906
1739209686.9487185;-45.120503652039325
1739209686.9487221;-38.13080360867914
1739209686.9487255;-32.816014438256545
1739209686.948729;-38.13080360867914
1739209686.9487324;-45.120503652039325
1739209686.948736;-35.57807855764607
1739209686.9487393;-45.120503652039325
1739209686.9487429;-45.120503652039325
1739209686.9487462;-35.57807855764607
1739209686.9487498;-38.13080360867914
1739209686.948753;-38.13080360867914
1739209686.9487567;-38.13080360867914
1739209686.94876;-38.13080360867914
1739209686.9487636;-45.120503652039325
1739209686.948767;-33.981070128970906
1739209686.9487705;-27.267205301931607
1739209686.9487739;-45.120503652039325
1739209686.9487774;-45.120503652039325
1739209686.9487808;-38.13080360867914
1739209686.9487844;-38.13080360867914
1739209686.9487877;-45.120503652039325
1739209686.9487913;-45.120503652039325
1739209686.9487946;-38.13080360867914
1739209686.9487982;-35.57807855764607
1739209686.9488015;-45.120503652039325
1739209686.948805;-45.120503652039325
1739209686.9488087;-33.981070128970906
1739209686.948812;-33.981070128970906
1739209686.9488156;-45.120503652039325
1739209686.948819;-38.13080360867914
1739209686.9488225;-38.13080360867914
1739209686.9488258;-45.120503652039325
1739209686.9488294;-45.120503652039325
1739209686.9488328;-38.13080360867914
1739209686.9488363;-38.13080360867914
1739209686.9488397;-45.120503652039325
1739209686.9488432;-38.13080360867914
1739209686.9488466;-38.13080360867914
1739209686.9488502;-45.120503652039325
1739209686.9488535;-38.13080360867914
1739209686.948857;-45.120503652039325
1739209686.9488604;-38.13080360867914
1739209686.948864;-35.57807855764607
1739209686.9488673;-35.57807855764607
1739209686.948871;-45.120503652039325
1739209686.9488742;-38.13080360867914
1739209686.9488778;-33.981070128970906
1739209686.9488811;-45.120503652039325
1739209686.9488847;-45.120503652039325
1739209686.948888;-38.13080360867914
1739209686.9488916;-38.13080360867914
1739209686.948895;-45.120503652039325
1739209686.9488986;-38.13080360867914
1739209686.948902;-38.13080360867914
1739209686.9489055;-32.816014438256545
1739209686.9489088;-31.141103565318915
1739209686.9489124;-38.13080360867914
1739209686.9489157;-38.13080360867914
1739209686.9489193;-38.13080360867914
1739209686.9489226;-32.816014438256545
1739209686.9489262;-33.981070128970906
