CAN Message; 0x1a7:00001b0c22d0b5b9
Timestamp;Amplitude
1739209781.191987;-45.120503652039325
1739209781.1919935;-45.120503652039325
1739209781.1919997;-33.981070128970906
1739209781.1920059;-45.120503652039325
1739209781.1920123;-45.120503652039325
1739209781.1920185;-35.57807855764607
1739209781.192025;-38.13080360867914
1739209781.1920311;-45.120503652039325
1739209781.1920376;-35.57807855764607
1739209781.1920438;-38.13080360867914
1739209781.19205;-38.13080360867914
1739209781.1920564;-38.13080360867914
1739209781.1920626;-45.120503652039325
1739209781.192069;-45.120503652039325
1739209781.1920753;-38.13080360867914
1739209781.1920815;-38.13080360867914
1739209781.192088;-35.57807855764607
1739209781.192094;-38.13080360867914
1739209781.1921005;-38.13080360867914
1739209781.1921067;-45.120503652039325
1739209781.192113;-45.120503652039325
1739209781.1921194;-45.120503652039325
1739209781.1921256;-35.57807855764607
1739209781.192132;-35.57807855764607
1739209781.1921382;-45.120503652039325
1739209781.1921446;-45.120503652039325
1739209781.1921508;-32.816014438256545
1739209781.192157;-38.13080360867914
1739209781.1921635;-45.120503652039325
1739209781.1921697;-38.13080360867914
1739209781.192176;-38.13080360867914
1739209781.1921823;-38.13080360867914
1739209781.1921885;-38.13080360867914
1739209781.192195;-38.13080360867914
1739209781.1922011;-38.13080360867914
1739209781.1922076;-33.981070128970906
1739209781.1922138;-38.13080360867914
1739209781.1922202;-45.120503652039325
1739209781.1922264;-35.57807855764607
1739209781.1922326;-35.57807855764607
1739209781.192239;-45.120503652039325
1739209781.1922452;-38.13080360867914
1739209781.1922517;-38.13080360867914
1739209781.192258;-38.13080360867914
1739209781.192264;-38.13080360867914
1739209781.1922705;-45.120503652039325
1739209781.1922767;-35.57807855764607
1739209781.1922832;-38.13080360867914
1739209781.1922894;-45.120503652039325
1739209781.1922956;-45.120503652039325
1739209781.192302;-35.57807855764607
1739209781.1923082;-38.13080360867914
1739209781.1923146;-45.120503652039325
1739209781.1923208;-45.120503652039325
1739209781.1923273;-45.120503652039325
1739209781.1923335;-31.141103565318915
1739209781.1923397;-38.13080360867914
1739209781.192346;-38.13080360867914
1739209781.1923523;-38.13080360867914
1739209781.1923587;-33.981070128970906
1739209781.192365;-35.57807855764607
1739209781.1923711;-38.13080360867914
1739209781.1923776;-38.13080360867914
1739209781.1923838;-45.120503652039325
1739209781.1923902;-45.120503652039325
1739209781.1923964;-38.13080360867914
1739209781.1924028;-38.13080360867914
1739209781.192409;-45.120503652039325
