CAN Message; 0x1bb:00005988b0f4f2f1
Timestamp;Amplitude
1739209675.399772;-45.120503652039325
1739209675.399784;-45.120503652039325
1739209675.3997965;-38.13080360867914
1739209675.3998086;-38.13080360867914
1739209675.399821;-45.120503652039325
1739209675.3998334;-45.120503652039325
1739209675.3998456;-38.13080360867914
1739209675.399858;-38.13080360867914
1739209675.3998704;-38.13080360867914
1739209675.3998826;-38.13080360867914
1739209675.399895;-45.120503652039325
1739209675.399907;-45.120503652039325
1739209675.3999195;-45.120503652039325
1739209675.399932;-45.120503652039325
1739209675.399944;-38.13080360867914
1739209675.3999565;-45.120503652039325
1739209675.3999686;-38.13080360867914
1739209675.399981;-45.120503652039325
1739209675.3999934;-45.120503652039325
1739209675.4000056;-45.120503652039325
1739209675.400018;-38.13080360867914
1739209675.4000301;-31.141103565318915
1739209675.4000425;-45.120503652039325
1739209675.400055;-45.120503652039325
1739209675.400067;-35.57807855764607
1739209675.4000795;-35.57807855764607
1739209675.400092;-45.120503652039325
1739209675.400104;-45.120503652039325
1739209675.4001164;-45.120503652039325
1739209675.4001286;-45.120503652039325
1739209675.400141;-45.120503652039325
1739209675.4001534;-38.13080360867914
1739209675.4001656;-38.13080360867914
1739209675.400178;-38.13080360867914
1739209675.40019;-35.57807855764607
1739209675.4002025;-38.13080360867914
1739209675.400215;-38.13080360867914
1739209675.400227;-33.981070128970906
1739209675.4002395;-45.120503652039325
1739209675.4002516;-38.13080360867914
1739209675.400264;-38.13080360867914
1739209675.4002764;-45.120503652039325
1739209675.4002886;-45.120503652039325
1739209675.400301;-45.120503652039325
1739209675.4003134;-38.13080360867914
1739209675.4003255;-45.120503652039325
1739209675.400338;-45.120503652039325
1739209675.40035;-38.13080360867914
1739209675.4003625;-38.13080360867914
1739209675.400375;-38.13080360867914
1739209675.400387;-45.120503652039325
1739209675.4003994;-45.120503652039325
1739209675.4004116;-35.57807855764607
1739209675.400424;-38.13080360867914
1739209675.4004364;-45.120503652039325
1739209675.4004486;-38.13080360867914
1739209675.400461;-35.57807855764607
1739209675.4004734;-38.13080360867914
1739209675.4004855;-45.120503652039325
1739209675.400498;-38.13080360867914
1739209675.40051;-35.57807855764607
1739209675.4005225;-45.120503652039325
1739209675.4005349;-33.981070128970906
1739209675.400547;-38.13080360867914
1739209675.4005594;-38.13080360867914
1739209675.4005716;-38.13080360867914
1739209675.400584;-38.13080360867914
1739209675.4005964;-45.120503652039325
1739209675.4006085;-38.13080360867914
1739209675.400621;-45.120503652039325
1739209675.400633;-45.120503652039325
1739209675.4006455;-38.13080360867914
1739209675.400658;-35.57807855764607
1739209675.40067;-38.13080360867914
1739209675.4006824;-45.120503652039325
1739209675.4006948;-45.120503652039325
1739209675.400707;-38.13080360867914
1739209675.4007194;-33.981070128970906
1739209675.4007316;-38.13080360867914
1739209675.400744;-38.13080360867914
1739209675.4007564;-38.13080360867914
1739209675.4007685;-45.120503652039325
1739209675.400781;-38.13080360867914
1739209675.400793;-45.120503652039325
1739209675.4008055;-35.57807855764607
1739209675.4008179;-38.13080360867914
1739209675.40083;-38.13080360867914
1739209675.4008424;-45.120503652039325
1739209675.4008546;-38.13080360867914
1739209675.400867;-45.120503652039325
1739209675.4008794;-45.120503652039325
1739209675.4008915;-38.13080360867914
1739209675.400904;-38.13080360867914
1739209675.4009163;-38.13080360867914
1739209675.4009285;-33.981070128970906
1739209675.400941;-38.13080360867914
1739209675.400953;-45.120503652039325
1739209675.4009655;-45.120503652039325
1739209675.4009778;-32.816014438256545
1739209675.40099;-38.13080360867914
1739209675.4010024;-35.57807855764607
1739209675.4010146;-33.981070128970906
1739209675.401027;-45.120503652039325
1739209675.4010394;-38.13080360867914
1739209675.4010515;-38.13080360867914
1739209675.401064;-38.13080360867914
1739209675.4010763;-45.120503652039325
1739209675.4010885;-45.120503652039325
1739209675.4011009;-45.120503652039325
1739209675.401113;-45.120503652039325
1739209675.4011254;-33.981070128970906
1739209675.4011378;-38.13080360867914
1739209675.40115;-45.120503652039325
1739209675.4011624;-45.120503652039325
1739209675.4011745;-32.816014438256545
1739209675.401187;-35.57807855764607
1739209675.4011993;-45.120503652039325
1739209675.4012115;-45.120503652039325
1739209675.401224;-38.13080360867914
1739209675.401236;-38.13080360867914
1739209675.4012485;-45.120503652039325
1739209675.4012609;-45.120503652039325
1739209675.401273;-45.120503652039325
1739209675.4012854;-38.13080360867914
1739209675.4012978;-45.120503652039325
1739209675.40131;-38.13080360867914
1739209675.4013224;-45.120503652039325
1739209675.4013345;-45.120503652039325
1739209675.401347;-35.57807855764607
1739209675.4013593;-45.120503652039325
1739209675.4013715;-32.816014438256545
1739209675.4013839;-38.13080360867914
1739209675.401396;-45.120503652039325
1739209675.4014084;-45.120503652039325
1739209675.4014208;-32.816014438256545
1739209675.401433;-35.57807855764607
1739209675.4014454;-45.120503652039325
1739209675.4014575;-45.120503652039325
1739209675.40147;-45.120503652039325
1739209675.4014823;-38.13080360867914
1739209675.4014945;-38.13080360867914
1739209675.401507;-38.13080360867914
1739209675.4015193;-45.120503652039325
1739209675.4015315;-45.120503652039325
1739209675.4015439;-38.13080360867914
1739209675.401556;-38.13080360867914
