CAN Message; 0x1a7:0000f1dfbbfac888
Timestamp;Amplitude
1739209625.9251614;-38.13080360867914
1739209625.9251685;-45.120503652039325
1739209625.9251757;-38.13080360867914
1739209625.9251826;-32.816014438256545
1739209625.9251897;-38.13080360867914
1739209625.925197;-45.120503652039325
1739209625.925204;-33.981070128970906
1739209625.9252112;-33.981070128970906
1739209625.9252183;-45.120503652039325
1739209625.9252253;-45.120503652039325
1739209625.9252324;-33.981070128970906
1739209625.9252396;-30.49652367304973
1739209625.9252467;-38.13080360867914
1739209625.9252539;-38.13080360867914
1739209625.925261;-38.13080360867914
1739209625.925268;-45.120503652039325
1739209625.925275;-38.13080360867914
1739209625.9252822;-45.120503652039325
1739209625.9252894;-38.13080360867914
1739209625.9252965;-45.120503652039325
1739209625.9253037;-38.13080360867914
1739209625.9253106;-38.13080360867914
1739209625.9253178;-38.13080360867914
1739209625.925325;-45.120503652039325
1739209625.925332;-45.120503652039325
1739209625.9253392;-38.13080360867914
1739209625.9253464;-38.13080360867914
1739209625.9253533;-35.57807855764607
1739209625.9253604;-38.13080360867914
1739209625.9253676;-45.120503652039325
1739209625.9253747;-45.120503652039325
1739209625.925382;-35.57807855764607
1739209625.925389;-45.120503652039325
1739209625.925396;-45.120503652039325
1739209625.925403;-45.120503652039325
1739209625.9254103;-45.120503652039325
1739209625.9254174;-33.981070128970906
1739209625.9254246;-45.120503652039325
1739209625.9254317;-33.981070128970906
1739209625.9254386;-38.13080360867914
1739209625.9254458;-38.13080360867914
1739209625.925453;-45.120503652039325
1739209625.92546;-45.120503652039325
1739209625.9254673;-31.141103565318893
1739209625.9254744;-38.13080360867914
1739209625.9254813;-45.120503652039325
1739209625.9254885;-38.13080360867914
1739209625.9254956;-32.816014438256545
1739209625.9255028;-33.981070128970906
1739209625.92551;-45.120503652039325
1739209625.925517;-45.120503652039325
1739209625.9255242;-38.13080360867914
1739209625.9255311;-45.120503652039325
1739209625.9255383;-45.120503652039325
1739209625.9255455;-45.120503652039325
1739209625.9255526;-45.120503652039325
1739209625.9255598;-45.120503652039325
1739209625.925567;-38.13080360867914
1739209625.9255738;-38.13080360867914
1739209625.925581;-45.120503652039325
1739209625.9255881;-45.120503652039325
1739209625.9255953;-35.57807855764607
1739209625.9256024;-45.120503652039325
1739209625.9256096;-38.13080360867914
1739209625.9256165;-38.13080360867914
1739209625.9256237;-32.816014438256545
1739209625.9256308;-38.13080360867914
1739209625.925638;-29.438486411369333
1739209625.925645;-33.981070128970906
1739209625.9256523;-38.13080360867914
1739209625.9256592;-38.13080360867914
1739209625.9256663;-35.57807855764607
1739209625.9256735;-38.13080360867914
1739209625.9256806;-45.120503652039325
1739209625.9256878;-45.120503652039325
1739209625.925695;-45.120503652039325
1739209625.9257019;-45.120503652039325
1739209625.925709;-38.13080360867914
1739209625.9257162;-38.13080360867914
1739209625.9257233;-45.120503652039325
1739209625.9257305;-38.13080360867914
1739209625.9257376;-45.120503652039325
1739209625.9257445;-45.120503652039325
1739209625.9257517;-35.57807855764607
1739209625.9257588;-35.57807855764607
1739209625.925766;-45.120503652039325
1739209625.9257731;-38.13080360867914
1739209625.9257803;-38.13080360867914
1739209625.9257872;-45.120503652039325
1739209625.9257944;-38.13080360867914
1739209625.9258015;-45.120503652039325
1739209625.9258087;-29.438486411369333
1739209625.9258158;-30.49652367304973
1739209625.925823;-45.120503652039325
1739209625.9258301;-45.120503652039325
1739209625.925837;-35.57807855764607
1739209625.9258442;-35.57807855764607
1739209625.9258513;-38.13080360867914
1739209625.9258585;-38.13080360867914
1739209625.9258657;-38.13080360867914
1739209625.9258728;-35.57807855764607
1739209625.9258797;-35.57807855764607
1739209625.9258869;-38.13080360867914
1739209625.925894;-45.120503652039325
1739209625.9259012;-45.120503652039325
1739209625.9259083;-32.816014438256545
1739209625.9259155;-45.120503652039325
1739209625.9259224;-30.49652367304973
1739209625.9259295;-28.58837851428586
1739209625.9259367;-45.120503652039325
1739209625.9259439;-45.120503652039325
1739209625.925951;-38.13080360867914
1739209625.9259582;-35.57807855764607
1739209625.925965;-45.120503652039325
1739209625.9259722;-45.120503652039325
1739209625.9259794;-45.120503652039325
1739209625.9259865;-45.120503652039325
1739209625.9259937;-45.120503652039325
1739209625.9260008;-45.120503652039325
1739209625.9260077;-45.120503652039325
1739209625.926015;-33.981070128970906
1739209625.926022;-45.120503652039325
1739209625.9260292;-45.120503652039325
1739209625.9260364;-38.13080360867914
1739209625.9260435;-45.120503652039325
1739209625.9260504;-45.120503652039325
1739209625.9260576;-38.13080360867914
1739209625.9260647;-38.13080360867914
1739209625.926072;-38.13080360867914
1739209625.926079;-38.13080360867914
1739209625.9260862;-38.13080360867914
1739209625.926093;-32.816014438256545
1739209625.9261003;-32.816014438256545
1739209625.9261074;-38.13080360867914
1739209625.9261146;-45.120503652039325
1739209625.9261217;-33.981070128970906
1739209625.9261289;-35.57807855764607
1739209625.9261358;-38.13080360867914
1739209625.926143;-45.120503652039325
1739209625.92615;-45.120503652039325
1739209625.9261572;-45.120503652039325
1739209625.9261644;-45.120503652039325
1739209625.9261715;-45.120503652039325
1739209625.9261787;-45.120503652039325
1739209625.9261856;-45.120503652039325
1739209625.9261928;-45.120503652039325
1739209625.9262;-38.13080360867914
1739209625.926207;-38.13080360867914
1739209625.9262142;-35.57807855764607
1739209625.9262214;-35.57807855764607
1739209625.9262283;-35.57807855764607
1739209625.9262354;-45.120503652039325
