CAN Message; 0x1d3:0000ddfbdb911519
Timestamp;Amplitude
1739209907.0731454;-45.120503652039325
1739209907.0731483;-45.120503652039325
1739209907.073151;-32.816014438256545
1739209907.073154;-32.816014438256545
1739209907.0731566;-45.120503652039325
1739209907.0731595;-38.13080360867914
1739209907.0731623;-45.120503652039325
1739209907.0731652;-45.120503652039325
1739209907.073168;-38.13080360867914
1739209907.073171;-45.120503652039325
1739209907.0731738;-45.120503652039325
1739209907.0731766;-38.13080360867914
1739209907.0731795;-38.13080360867914
1739209907.073182;-45.120503652039325
1739209907.073185;-30.49652367304973
1739209907.0731878;-32.816014438256545
1739209907.0731907;-45.120503652039325
1739209907.0731936;-38.13080360867914
1739209907.0731964;-33.981070128970906
1739209907.0731993;-32.816014438256545
1739209907.0732021;-45.120503652039325
1739209907.073205;-38.13080360867914
1739209907.0732076;-38.13080360867914
1739209907.0732105;-38.13080360867914
1739209907.0732133;-45.120503652039325
1739209907.0732162;-45.120503652039325
1739209907.073219;-38.13080360867914
1739209907.073222;-38.13080360867914
1739209907.0732248;-45.120503652039325
1739209907.0732276;-45.120503652039325
1739209907.0732305;-45.120503652039325
1739209907.0732331;-45.120503652039325
1739209907.073236;-38.13080360867914
1739209907.0732388;-45.120503652039325
1739209907.0732417;-38.13080360867914
1739209907.0732446;-45.120503652039325
1739209907.0732474;-45.120503652039325
1739209907.0732503;-45.120503652039325
1739209907.0732532;-31.141103565318893
1739209907.073256;-26.991370085610722
1739209907.0732586;-38.13080360867914
1739209907.0732615;-35.57807855764607
1739209907.0732644;-32.816014438256545
1739209907.0732672;-32.816014438256545
1739209907.07327;-45.120503652039325
1739209907.073273;-45.120503652039325
1739209907.0732758;-45.120503652039325
1739209907.0732787;-38.13080360867914
1739209907.0732815;-38.13080360867914
1739209907.0732841;-38.13080360867914
1739209907.073287;-45.120503652039325
1739209907.0732899;-45.120503652039325
1739209907.0732927;-38.13080360867914
1739209907.0732956;-45.120503652039325
1739209907.0732985;-35.57807855764607
1739209907.0733013;-26.991370085610722
1739209907.0733042;-38.13080360867914
1739209907.073307;-38.13080360867914
1739209907.0733097;-32.816014438256545
1739209907.0733125;-31.141103565318893
