CAN Message; 0x62:087a19c518076b1e
Timestamp;Amplitude
1739209760.8648748;-45.120503652039325
1739209760.8648934;-38.13080360867914
1739209760.864912;-35.57807855764607
1739209760.8649304;-38.13080360867914
1739209760.864949;-38.13080360867914
1739209760.8649676;-45.120503652039325
1739209760.8649862;-38.13080360867914
1739209760.8650048;-38.13080360867914
1739209760.8650234;-38.13080360867914
1739209760.8650417;-45.120503652039325
1739209760.8650603;-45.120503652039325
1739209760.865079;-35.57807855764607
1739209760.8650975;-38.13080360867914
1739209760.8651161;-45.120503652039325
1739209760.8651347;-38.13080360867914
1739209760.865153;-38.13080360867914
1739209760.8651717;-33.981070128970906
1739209760.8651903;-45.120503652039325
1739209760.8652089;-45.120503652039325
1739209760.8652275;-38.13080360867914
1739209760.865246;-38.13080360867914
1739209760.8652644;-38.13080360867914
1739209760.865283;-27.267205301931607
1739209760.8653016;-35.57807855764607
1739209760.8653202;-45.120503652039325
1739209760.8653388;-38.13080360867914
1739209760.8653574;-38.13080360867914
1739209760.8653758;-45.120503652039325
1739209760.8653944;-45.120503652039325
1739209760.865413;-45.120503652039325
1739209760.8654315;-32.816014438256545
1739209760.8654501;-33.981070128970906
1739209760.8654687;-38.13080360867914
1739209760.865487;-45.120503652039325
1739209760.8655057;-45.120503652039325
1739209760.8655243;-45.120503652039325
1739209760.865543;-45.120503652039325
1739209760.8655615;-38.13080360867914
1739209760.86558;-38.13080360867914
1739209760.8655984;-38.13080360867914
1739209760.865617;-35.57807855764607
1739209760.8656356;-45.120503652039325
1739209760.8656542;-45.120503652039325
1739209760.8656728;-45.120503652039325
1739209760.8656914;-38.13080360867914
1739209760.8657098;-45.120503652039325
1739209760.8657284;-38.13080360867914
1739209760.865747;-38.13080360867914
1739209760.8657656;-38.13080360867914
1739209760.8657842;-45.120503652039325
1739209760.8658028;-38.13080360867914
1739209760.8658211;-38.13080360867914
1739209760.8658397;-38.13080360867914
1739209760.8658583;-38.13080360867914
1739209760.865877;-38.13080360867914
1739209760.8658955;-45.120503652039325
1739209760.865914;-38.13080360867914
1739209760.8659325;-35.57807855764607
1739209760.865951;-38.13080360867914
1739209760.8659697;-45.120503652039325
1739209760.8659883;-45.120503652039325
1739209760.8660069;-45.120503652039325
1739209760.8660254;-38.13080360867914
1739209760.866044;-38.13080360867914
1739209760.8660624;-45.120503652039325
1739209760.866081;-45.120503652039325
1739209760.8660996;-38.13080360867914
1739209760.8661182;-33.981070128970906
1739209760.8661368;-33.981070128970906
1739209760.8661554;-33.981070128970906
1739209760.8661737;-38.13080360867914
1739209760.8661923;-38.13080360867914
1739209760.866211;-38.13080360867914
1739209760.8662295;-45.120503652039325
1739209760.8662481;-45.120503652039325
1739209760.8662667;-35.57807855764607
1739209760.866285;-38.13080360867914
1739209760.8663037;-45.120503652039325
1739209760.8663223;-38.13080360867914
1739209760.8663409;-45.120503652039325
1739209760.8663595;-38.13080360867914
1739209760.866378;-45.120503652039325
1739209760.8663964;-38.13080360867914
1739209760.866415;-45.120503652039325
1739209760.8664336;-38.13080360867914
1739209760.8664522;-45.120503652039325
1739209760.8664708;-38.13080360867914
1739209760.8664894;-28.58837851428586
1739209760.8665078;-38.13080360867914
1739209760.8665264;-45.120503652039325
1739209760.866545;-45.120503652039325
1739209760.8665636;-35.57807855764607
1739209760.8665822;-38.13080360867914
1739209760.8666008;-45.120503652039325
1739209760.866619;-38.13080360867914
1739209760.8666377;-45.120503652039325
1739209760.8666563;-38.13080360867914
1739209760.866675;-45.120503652039325
1739209760.8666935;-45.120503652039325
1739209760.866712;-45.120503652039325
1739209760.8667305;-38.13080360867914
1739209760.866749;-38.13080360867914
1739209760.8667676;-38.13080360867914
1739209760.8667862;-45.120503652039325
1739209760.8668048;-45.120503652039325
1739209760.8668234;-45.120503652039325
1739209760.8668418;-38.13080360867914
1739209760.8668604;-38.13080360867914
1739209760.866879;-45.120503652039325
1739209760.8668976;-45.120503652039325
1739209760.8669162;-38.13080360867914
1739209760.8669348;-28.58837851428586
1739209760.8669531;-45.120503652039325
1739209760.8669717;-45.120503652039325
1739209760.8669903;-45.120503652039325
1739209760.867009;-45.120503652039325
1739209760.8670275;-45.120503652039325
1739209760.867046;-45.120503652039325
1739209760.8670645;-38.13080360867914
1739209760.867083;-38.13080360867914
1739209760.8671017;-45.120503652039325
1739209760.8671203;-45.120503652039325
1739209760.8671389;-45.120503652039325
1739209760.8671575;-45.120503652039325
1739209760.8671758;-45.120503652039325
1739209760.8671944;-38.13080360867914
1739209760.867213;-45.120503652039325
1739209760.8672316;-31.141103565318893
1739209760.8672502;-38.13080360867914
1739209760.8672688;-45.120503652039325
1739209760.8672874;-38.13080360867914
1739209760.8673058;-35.57807855764607
1739209760.8673244;-45.120503652039325
1739209760.867343;-38.13080360867914
1739209760.8673615;-38.13080360867914
1739209760.8673801;-35.57807855764607
1739209760.8673987;-38.13080360867914
1739209760.867417;-45.120503652039325
1739209760.8674357;-45.120503652039325
1739209760.8674543;-35.57807855764607
1739209760.867473;-35.57807855764607
1739209760.8674915;-45.120503652039325
1739209760.86751;-35.57807855764607
1739209760.8675284;-45.120503652039325
1739209760.867547;-45.120503652039325
