CAN Message; 0x98:0000ab2e9b14057e
Timestamp;Amplitude
1739209914.225073;-35.57807855764607
1739209914.2250752;-45.120503652039325
1739209914.2250772;-45.120503652039325
1739209914.225079;-45.120503652039325
1739209914.2250812;-38.13080360867914
1739209914.225083;-35.57807855764607
1739209914.225085;-38.13080360867914
1739209914.2250872;-38.13080360867914
1739209914.225089;-32.816014438256545
1739209914.2250912;-38.13080360867914
1739209914.2250931;-45.120503652039325
1739209914.225095;-45.120503652039325
1739209914.2250972;-33.981070128970906
1739209914.225099;-45.120503652039325
1739209914.225101;-30.49652367304973
1739209914.2251031;-32.816014438256545
1739209914.225105;-38.13080360867914
1739209914.225107;-45.120503652039325
1739209914.225109;-32.816014438256545
1739209914.225111;-38.13080360867914
1739209914.225113;-38.13080360867914
1739209914.225115;-35.57807855764607
1739209914.225117;-38.13080360867914
1739209914.2251189;-38.13080360867914
1739209914.225121;-35.57807855764607
1739209914.225123;-38.13080360867914
1739209914.225125;-38.13080360867914
1739209914.225127;-45.120503652039325
1739209914.225129;-45.120503652039325
1739209914.225131;-38.13080360867914
1739209914.225133;-45.120503652039325
1739209914.2251348;-45.120503652039325
1739209914.225137;-45.120503652039325
1739209914.225139;-45.120503652039325
1739209914.2251408;-45.120503652039325
1739209914.225143;-45.120503652039325
1739209914.2251449;-38.13080360867914
1739209914.2251468;-45.120503652039325
1739209914.225149;-38.13080360867914
1739209914.2251508;-32.816014438256545
1739209914.2251527;-45.120503652039325
1739209914.2251549;-35.57807855764607
1739209914.2251568;-35.57807855764607
1739209914.225159;-35.57807855764607
1739209914.2251608;-32.816014438256545
1739209914.2251627;-38.13080360867914
1739209914.225165;-45.120503652039325
1739209914.2251668;-38.13080360867914
1739209914.2251687;-38.13080360867914
1739209914.2251709;-45.120503652039325
1739209914.2251728;-45.120503652039325
1739209914.2251747;-45.120503652039325
1739209914.2251768;-38.13080360867914
1739209914.2251787;-45.120503652039325
1739209914.2251806;-38.13080360867914
1739209914.2251828;-38.13080360867914
1739209914.2251847;-45.120503652039325
1739209914.2251868;-45.120503652039325
1739209914.2251887;-45.120503652039325
1739209914.2251906;-38.13080360867914
1739209914.2251928;-45.120503652039325
1739209914.2251947;-38.13080360867914
1739209914.2251966;-45.120503652039325
1739209914.2251987;-45.120503652039325
1739209914.2252007;-45.120503652039325
1739209914.2252026;-45.120503652039325
1739209914.2252047;-38.13080360867914
1739209914.2252066;-35.57807855764607
1739209914.2252085;-38.13080360867914
1739209914.2252107;-45.120503652039325
1739209914.2252126;-45.120503652039325
1739209914.2252145;-38.13080360867914
1739209914.2252166;-38.13080360867914
1739209914.2252185;-45.120503652039325
1739209914.2252207;-45.120503652039325
1739209914.2252226;-45.120503652039325
1739209914.2252245;-38.13080360867914
1739209914.2252266;-38.13080360867914
1739209914.2252285;-45.120503652039325
1739209914.2252305;-33.981070128970906
1739209914.2252326;-33.981070128970906
1739209914.2252345;-38.13080360867914
1739209914.2252364;-45.120503652039325
1739209914.2252386;-33.981070128970906
1739209914.2252405;-30.49652367304973
1739209914.2252424;-38.13080360867914
1739209914.2252445;-45.120503652039325
1739209914.2252464;-38.13080360867914
1739209914.2252483;-45.120503652039325
1739209914.2252505;-38.13080360867914
1739209914.2252524;-45.120503652039325
1739209914.2252545;-45.120503652039325
1739209914.2252564;-38.13080360867914
1739209914.2252584;-38.13080360867914
1739209914.2252605;-35.57807855764607
1739209914.2252624;-38.13080360867914
1739209914.2252643;-38.13080360867914
1739209914.2252665;-38.13080360867914
1739209914.2252684;-45.120503652039325
1739209914.2252703;-45.120503652039325
1739209914.2252724;-38.13080360867914
1739209914.2252743;-38.13080360867914
1739209914.2252762;-45.120503652039325
1739209914.2252784;-28.992665084841942
1739209914.2252803;-32.816014438256545
1739209914.2252822;-38.13080360867914
1739209914.2252843;-45.120503652039325
1739209914.2252862;-33.981070128970906
1739209914.2252884;-33.981070128970906
1739209914.2252903;-33.981070128970906
1739209914.2252922;-45.120503652039325
1739209914.2252944;-45.120503652039325
1739209914.2252963;-38.13080360867914
1739209914.2252982;-38.13080360867914
1739209914.2253003;-35.57807855764607
1739209914.2253022;-38.13080360867914
1739209914.2253041;-45.120503652039325
1739209914.2253063;-38.13080360867914
1739209914.2253082;-45.120503652039325
1739209914.22531;-45.120503652039325
1739209914.2253122;-38.13080360867914
1739209914.2253141;-38.13080360867914
1739209914.225316;-45.120503652039325
1739209914.2253182;-45.120503652039325
1739209914.22532;-38.13080360867914
1739209914.2253222;-38.13080360867914
1739209914.2253242;-45.120503652039325
1739209914.225326;-31.141103565318915
1739209914.2253282;-28.992665084841942
1739209914.22533;-45.120503652039325
1739209914.225332;-45.120503652039325
1739209914.2253342;-35.57807855764607
1739209914.225336;-33.981070128970906
1739209914.225338;-45.120503652039325
1739209914.2253401;-45.120503652039325
1739209914.225342;-45.120503652039325
1739209914.225344;-45.120503652039325
1739209914.225346;-38.13080360867914
1739209914.225348;-45.120503652039325
1739209914.22535;-45.120503652039325
1739209914.225352;-32.816014438256545
1739209914.225354;-38.13080360867914
1739209914.225356;-45.120503652039325
1739209914.225358;-38.13080360867914
1739209914.22536;-32.816014438256545
1739209914.225362;-38.13080360867914
1739209914.225364;-45.120503652039325
1739209914.2253659;-45.120503652039325
1739209914.225368;-45.120503652039325
1739209914.22537;-38.13080360867914
1739209914.2253718;-45.120503652039325
1739209914.225374;-45.120503652039325
1739209914.225376;-31.141103565318893
1739209914.2253778;-33.981070128970906
1739209914.22538;-45.120503652039325
1739209914.2253819;-45.120503652039325
1739209914.225384;-33.981070128970906
1739209914.225386;-45.120503652039325
1739209914.2253878;-45.120503652039325
1739209914.22539;-45.120503652039325
1739209914.2253919;-38.13080360867914
1739209914.2253938;-38.13080360867914
1739209914.225396;-45.120503652039325
1739209914.2253978;-38.13080360867914
1739209914.2253997;-35.57807855764607
1739209914.2254019;-33.981070128970906
1739209914.2254038;-45.120503652039325
1739209914.2254057;-38.13080360867914
1739209914.2254078;-35.57807855764607
1739209914.2254097;-38.13080360867914
1739209914.2254117;-45.120503652039325
1739209914.2254138;-38.13080360867914
1739209914.2254157;-33.981070128970906
1739209914.2254179;-45.120503652039325
1739209914.2254198;-45.120503652039325
1739209914.2254217;-45.120503652039325
1739209914.2254238;-45.120503652039325
1739209914.2254257;-38.13080360867914
1739209914.2254276;-45.120503652039325
1739209914.2254298;-45.120503652039325
1739209914.2254317;-38.13080360867914
1739209914.2254336;-38.13080360867914
1739209914.2254357;-45.120503652039325
1739209914.2254376;-45.120503652039325
1739209914.2254395;-38.13080360867914
1739209914.2254417;-35.57807855764607
1739209914.2254436;-38.13080360867914
1739209914.2254455;-45.120503652039325
1739209914.2254477;-45.120503652039325
1739209914.2254496;-45.120503652039325
1739209914.2254517;-38.13080360867914
1739209914.2254536;-45.120503652039325
1739209914.2254555;-45.120503652039325
1739209914.2254577;-45.120503652039325
1739209914.2254596;-45.120503652039325
1739209914.2254615;-45.120503652039325
1739209914.2254636;-32.816014438256545
1739209914.2254655;-38.13080360867914
1739209914.2254674;-45.120503652039325
1739209914.2254696;-38.13080360867914
1739209914.2254715;-32.816014438256545
1739209914.2254734;-31.141103565318915
1739209914.2254755;-38.13080360867914
1739209914.2254775;-38.13080360867914
1739209914.2254794;-45.120503652039325
1739209914.2254815;-38.13080360867914
1739209914.2254834;-45.120503652039325
1739209914.2254856;-45.120503652039325
1739209914.2254875;-33.981070128970906
1739209914.2254894;-45.120503652039325
1739209914.2254915;-45.120503652039325
1739209914.2254934;-38.13080360867914
1739209914.2254953;-38.13080360867914
1739209914.2254975;-45.120503652039325
1739209914.2254994;-45.120503652039325
1739209914.2255013;-45.120503652039325
1739209914.2255034;-45.120503652039325
1739209914.2255054;-45.120503652039325
1739209914.2255073;-45.120503652039325
1739209914.2255094;-45.120503652039325
1739209914.2255113;-31.141103565318915
1739209914.2255132;-32.816014438256545
1739209914.2255154;-38.13080360867914
1739209914.2255173;-33.981070128970906
1739209914.2255194;-32.816014438256545
1739209914.2255213;-28.992665084841942
1739209914.2255232;-45.120503652039325
1739209914.2255254;-38.13080360867914
1739209914.2255273;-38.13080360867914
1739209914.2255292;-38.13080360867914
1739209914.2255313;-45.120503652039325
1739209914.2255332;-38.13080360867914
1739209914.2255352;-33.981070128970906
1739209914.2255373;-35.57807855764607
1739209914.2255392;-45.120503652039325
1739209914.225541;-45.120503652039325
1739209914.2255433;-38.13080360867914
1739209914.2255452;-45.120503652039325
1739209914.225547;-45.120503652039325
1739209914.2255492;-33.981070128970906
1739209914.2255511;-35.57807855764607
1739209914.2255533;-38.13080360867914
1739209914.2255552;-45.120503652039325
1739209914.225557;-45.120503652039325
1739209914.2255592;-38.13080360867914
1739209914.2255611;-38.13080360867914
1739209914.225563;-45.120503652039325
1739209914.2255652;-33.981070128970906
1739209914.225567;-38.13080360867914
1739209914.225569;-28.58837851428586
1739209914.2255712;-45.120503652039325
1739209914.225573;-38.13080360867914
1739209914.225575;-32.816014438256545
1739209914.225577;-33.981070128970906
1739209914.225579;-45.120503652039325
1739209914.2255812;-38.13080360867914
1739209914.225583;-38.13080360867914
1739209914.225585;-31.141103565318915
1739209914.2255871;-38.13080360867914
1739209914.225589;-38.13080360867914
1739209914.225591;-35.57807855764607
1739209914.225593;-45.120503652039325
1739209914.225595;-45.120503652039325
1739209914.225597;-45.120503652039325
1739209914.225599;-38.13080360867914
1739209914.225601;-33.981070128970906
1739209914.2256029;-38.13080360867914
1739209914.225605;-35.57807855764607
1739209914.225607;-35.57807855764607
1739209914.2256088;-35.57807855764607
1739209914.225611;-38.13080360867914
1739209914.2256129;-45.120503652039325
1739209914.225615;-45.120503652039325
1739209914.225617;-45.120503652039325
