CAN Message; 0x1d3:0000b18ecf8c1f24
Timestamp;Amplitude
1739209687.2403889;-38.13080360867914
1739209687.2403958;-38.13080360867914
1739209687.240403;-38.13080360867914
1739209687.24041;-35.57807855764607
1739209687.240417;-38.13080360867914
1739209687.2404242;-45.120503652039325
1739209687.2404313;-38.13080360867914
1739209687.2404382;-35.57807855764607
1739209687.2404454;-45.120503652039325
1739209687.2404525;-45.120503652039325
1739209687.2404594;-38.13080360867914
1739209687.2404666;-38.13080360867914
1739209687.2404735;-38.13080360867914
1739209687.2404807;-45.120503652039325
1739209687.2404878;-38.13080360867914
1739209687.2404947;-45.120503652039325
1739209687.2405019;-45.120503652039325
1739209687.240509;-45.120503652039325
1739209687.240516;-45.120503652039325
1739209687.240523;-35.57807855764607
1739209687.2405303;-45.120503652039325
1739209687.2405372;-45.120503652039325
1739209687.2405443;-45.120503652039325
1739209687.2405515;-33.981070128970906
1739209687.2405584;-33.981070128970906
1739209687.2405655;-38.13080360867914
1739209687.2405727;-45.120503652039325
1739209687.2405796;-38.13080360867914
1739209687.2405868;-33.981070128970906
1739209687.240594;-38.13080360867914
1739209687.2406008;-38.13080360867914
1739209687.240608;-38.13080360867914
1739209687.240615;-45.120503652039325
1739209687.240622;-45.120503652039325
1739209687.2406292;-38.13080360867914
1739209687.240636;-28.58837851428586
1739209687.2406433;-45.120503652039325
1739209687.2406504;-45.120503652039325
1739209687.2406573;-38.13080360867914
1739209687.2406645;-32.816014438256545
1739209687.2406716;-31.141103565318915
1739209687.2406785;-45.120503652039325
1739209687.2406857;-38.13080360867914
1739209687.2406929;-33.981070128970906
1739209687.2406998;-33.981070128970906
1739209687.240707;-45.120503652039325
1739209687.240714;-38.13080360867914
1739209687.240721;-38.13080360867914
1739209687.2407281;-38.13080360867914
1739209687.2407353;-45.120503652039325
1739209687.2407422;-45.120503652039325
1739209687.2407494;-45.120503652039325
1739209687.2407565;-38.13080360867914
1739209687.2407634;-38.13080360867914
1739209687.2407706;-38.13080360867914
1739209687.2407775;-38.13080360867914
1739209687.2407846;-33.981070128970906
1739209687.2407918;-45.120503652039325
1739209687.2407987;-45.120503652039325
1739209687.2408059;-38.13080360867914
1739209687.240813;-38.13080360867914
1739209687.24082;-45.120503652039325
1739209687.240827;-38.13080360867914
1739209687.2408342;-35.57807855764607
1739209687.2408412;-38.13080360867914
1739209687.2408483;-38.13080360867914
1739209687.2408555;-38.13080360867914
1739209687.2408624;-45.120503652039325
1739209687.2408695;-45.120503652039325
1739209687.2408767;-45.120503652039325
1739209687.2408836;-45.120503652039325
1739209687.2408907;-45.120503652039325
1739209687.240898;-45.120503652039325
1739209687.2409048;-38.13080360867914
1739209687.240912;-38.13080360867914
1739209687.240919;-38.13080360867914
1739209687.240926;-33.981070128970906
1739209687.2409332;-45.120503652039325
1739209687.24094;-38.13080360867914
1739209687.2409472;-33.981070128970906
1739209687.2409544;-32.816014438256545
1739209687.2409613;-45.120503652039325
1739209687.2409685;-45.120503652039325
1739209687.2409756;-45.120503652039325
1739209687.2409825;-45.120503652039325
1739209687.2409897;-45.120503652039325
1739209687.2409968;-45.120503652039325
1739209687.2410038;-38.13080360867914
1739209687.241011;-28.992665084841942
1739209687.241018;-35.57807855764607
1739209687.241025;-45.120503652039325
1739209687.2410321;-45.120503652039325
1739209687.2410393;-38.13080360867914
1739209687.2410462;-45.120503652039325
1739209687.2410533;-38.13080360867914
1739209687.2410605;-38.13080360867914
1739209687.2410674;-31.14110356531892
1739209687.2410746;-45.120503652039325
1739209687.2410815;-33.981070128970906
1739209687.2410886;-38.13080360867914
1739209687.2410958;-33.981070128970906
1739209687.2411027;-45.120503652039325
1739209687.2411098;-38.13080360867914
1739209687.241117;-32.816014438256545
1739209687.241124;-38.13080360867914
1739209687.241131;-45.120503652039325
1739209687.2411382;-35.57807855764607
1739209687.2411451;-35.57807855764607
1739209687.2411523;-38.13080360867914
1739209687.2411594;-38.13080360867914
1739209687.2411664;-38.13080360867914
1739209687.2411735;-38.13080360867914
1739209687.2411807;-45.120503652039325
1739209687.2411876;-45.120503652039325
1739209687.2411947;-45.120503652039325
1739209687.2412019;-45.120503652039325
1739209687.2412088;-38.13080360867914
1739209687.241216;-38.13080360867914
1739209687.241223;-38.13080360867914
1739209687.24123;-35.57807855764607
1739209687.2412372;-32.81601443825658
1739209687.241244;-45.120503652039325
1739209687.2412512;-38.13080360867914
1739209687.2412584;-38.13080360867914
1739209687.2412653;-45.120503652039325
1739209687.2412724;-45.120503652039325
1739209687.2412796;-38.13080360867914
1739209687.2412865;-45.120503652039325
1739209687.2412937;-28.992665084841942
1739209687.2413008;-31.141103565318915
1739209687.2413077;-38.13080360867914
1739209687.241315;-32.816014438256545
1739209687.241322;-38.13080360867914
1739209687.241329;-45.120503652039325
1739209687.241336;-38.13080360867914
1739209687.2413433;-35.57807855764607
1739209687.2413502;-38.13080360867914
1739209687.2413573;-45.120503652039325
1739209687.2413645;-35.57807855764607
1739209687.2413714;-38.13080360867914
1739209687.2413785;-38.13080360867914
1739209687.2413855;-45.120503652039325
1739209687.2413926;-38.13080360867914
1739209687.2413998;-32.816014438256545
1739209687.2414067;-35.57807855764607
1739209687.2414138;-35.57807855764607
1739209687.241421;-38.13080360867914
1739209687.241428;-35.57807855764607
1739209687.241435;-38.13080360867914
1739209687.2414422;-45.120503652039325
1739209687.241449;-38.13080360867914
1739209687.2414563;-35.57807855764607
1739209687.2414634;-38.13080360867914
1739209687.2414703;-38.13080360867914
1739209687.2414775;-38.13080360867914
1739209687.2414846;-38.13080360867914
1739209687.2414916;-38.13080360867914
1739209687.2414987;-45.120503652039325
1739209687.2415059;-38.13080360867914
1739209687.2415128;-35.57807855764607
1739209687.24152;-38.13080360867914
1739209687.241527;-38.13080360867914
1739209687.241534;-32.816014438256545
1739209687.2415411;-35.57807855764607
1739209687.241548;-38.13080360867914
1739209687.2415552;-38.13080360867914
1739209687.2415624;-35.57807855764607
1739209687.2415693;-35.57807855764607
1739209687.2415764;-35.57807855764607
1739209687.2415836;-38.13080360867914
1739209687.2415905;-38.13080360867914
1739209687.2415977;-38.13080360867914
1739209687.2416048;-45.120503652039325
1739209687.2416117;-45.120503652039325
1739209687.2416189;-45.120503652039325
1739209687.241626;-35.57807855764607
1739209687.241633;-38.13080360867914
1739209687.24164;-45.120503652039325
1739209687.2416472;-38.13080360867914
1739209687.2416542;-45.120503652039325
1739209687.2416613;-38.13080360867914
1739209687.2416685;-45.120503652039325
1739209687.2416754;-45.120503652039325
1739209687.2416825;-35.57807855764607
1739209687.2416897;-45.120503652039325
1739209687.2416966;-38.13080360867914
1739209687.2417037;-35.57807855764607
1739209687.2417107;-35.57807855764607
1739209687.2417178;-38.13080360867914
1739209687.241725;-45.120503652039325
1739209687.241732;-38.13080360867914
1739209687.241739;-45.120503652039325
1739209687.2417462;-45.120503652039325
1739209687.241753;-38.13080360867914
1739209687.2417603;-38.13080360867914
1739209687.2417674;-35.57807855764607
1739209687.2417743;-38.13080360867914
1739209687.2417815;-45.120503652039325
1739209687.2417886;-38.13080360867914
1739209687.2417955;-35.57807855764607
1739209687.2418027;-45.120503652039325
1739209687.2418098;-38.13080360867914
1739209687.2418168;-38.13080360867914
1739209687.241824;-35.57807855764607
1739209687.241831;-38.13080360867914
1739209687.241838;-45.120503652039325
1739209687.2418451;-35.57807855764607
1739209687.241852;-35.57807855764607
1739209687.2418592;-33.981070128970906
1739209687.2418664;-45.120503652039325
1739209687.2418733;-38.13080360867914
1739209687.2418804;-35.57807855764607
1739209687.2418876;-35.57807855764607
1739209687.2418945;-38.13080360867914
1739209687.2419016;-38.13080360867914
1739209687.2419088;-35.57807855764607
1739209687.2419157;-38.13080360867914
1739209687.2419229;-45.120503652039325
1739209687.24193;-45.120503652039325
1739209687.241937;-38.13080360867914
