CAN Message; 0x77:ec97d5bbb41a6888
Timestamp;Amplitude
1739209619.87409;-32.816014438256545
1739209619.8740983;-33.981070128970906
1739209619.8741066;-45.120503652039325
1739209619.874115;-45.120503652039325
1739209619.874123;-45.120503652039325
1739209619.8741314;-38.13080360867914
1739209619.8741398;-45.120503652039325
1739209619.8741481;-32.816014438256545
1739209619.8741565;-38.13080360867914
1739209619.8741648;-45.120503652039325
1739209619.8741732;-38.13080360867914
1739209619.8741815;-38.13080360867914
1739209619.8741899;-38.13080360867914
1739209619.8741982;-38.13080360867914
1739209619.8742063;-31.141103565318915
1739209619.8742146;-33.981070128970906
1739209619.874223;-35.57807855764607
1739209619.8742313;-35.57807855764607
1739209619.8742397;-33.981070128970906
1739209619.874248;-35.57807855764607
1739209619.8742564;-38.13080360867914
1739209619.8742647;-38.13080360867914
1739209619.874273;-38.13080360867914
1739209619.8742812;-33.981070128970906
1739209619.8742895;-45.120503652039325
1739209619.8742979;-38.13080360867914
1739209619.8743062;-45.120503652039325
1739209619.8743145;-38.13080360867914
1739209619.874323;-38.13080360867914
1739209619.8743312;-45.120503652039325
1739209619.8743396;-45.120503652039325
1739209619.874348;-45.120503652039325
1739209619.874356;-45.120503652039325
1739209619.8743644;-38.13080360867914
1739209619.8743727;-38.13080360867914
1739209619.874381;-33.981070128970906
1739209619.8743894;-45.120503652039325
1739209619.8743978;-33.981070128970906
1739209619.874406;-38.13080360867914
1739209619.8744144;-30.49652367304973
1739209619.8744228;-38.13080360867914
1739209619.8744311;-38.13080360867914
1739209619.8744392;-38.13080360867914
1739209619.8744476;-33.981070128970906
1739209619.874456;-38.13080360867914
1739209619.8744643;-45.120503652039325
1739209619.8744726;-45.120503652039325
1739209619.874481;-28.992665084841942
1739209619.8744893;-45.120503652039325
1739209619.8744977;-38.13080360867914
1739209619.874506;-35.57807855764607
1739209619.874514;-45.120503652039325
1739209619.8745224;-45.120503652039325
1739209619.8745308;-35.57807855764607
1739209619.8745391;-38.13080360867914
1739209619.8745475;-38.13080360867914
1739209619.8745558;-45.120503652039325
1739209619.8745642;-35.57807855764607
1739209619.8745725;-35.57807855764607
1739209619.8745809;-33.981070128970906
1739209619.8745892;-38.13080360867914
1739209619.8745973;-38.13080360867914
1739209619.8746057;-45.120503652039325
1739209619.874614;-45.120503652039325
1739209619.8746223;-45.120503652039325
1739209619.8746307;-35.57807855764607
1739209619.874639;-35.57807855764607
1739209619.8746474;-38.13080360867914
