CAN Message; 0x1a7:0000780dc5b77212
Timestamp;Amplitude
1739209796.3592548;-38.13080360867914
1739209796.359259;-38.13080360867914
1739209796.359263;-45.120503652039325
1739209796.359267;-30.49652367304976
1739209796.359271;-35.57807855764607
1739209796.359275;-38.13080360867914
1739209796.3592792;-45.120503652039325
1739209796.3592832;-45.120503652039325
1739209796.3592873;-45.120503652039325
1739209796.3592913;-38.13080360867914
1739209796.3592951;-31.141103565318915
1739209796.3592992;-27.267205301931607
1739209796.3593032;-45.120503652039325
1739209796.3593073;-45.120503652039325
1739209796.3593113;-38.13080360867914
1739209796.3593154;-38.13080360867914
1739209796.3593194;-45.120503652039325
1739209796.3593235;-38.13080360867914
1739209796.3593276;-38.13080360867914
1739209796.3593316;-45.120503652039325
1739209796.3593357;-45.120503652039325
1739209796.3593397;-45.120503652039325
1739209796.3593438;-38.13080360867914
1739209796.3593478;-45.120503652039325
1739209796.3593519;-45.120503652039325
1739209796.359356;-45.120503652039325
1739209796.35936;-38.13080360867914
1739209796.359364;-38.13080360867914
1739209796.359368;-38.13080360867914
1739209796.3593721;-38.13080360867914
1739209796.3593762;-45.120503652039325
1739209796.3593802;-38.13080360867914
1739209796.359384;-45.120503652039325
1739209796.359388;-45.120503652039325
1739209796.3593922;-38.13080360867914
1739209796.3593962;-28.992665084841942
1739209796.3594003;-38.13080360867914
1739209796.3594043;-45.120503652039325
1739209796.3594084;-45.120503652039325
1739209796.3594124;-45.120503652039325
1739209796.3594165;-45.120503652039325
1739209796.3594205;-38.13080360867914
1739209796.3594246;-45.120503652039325
1739209796.3594286;-31.14110356531892
1739209796.3594327;-45.120503652039325
1739209796.3594368;-45.120503652039325
1739209796.3594408;-45.120503652039325
1739209796.3594449;-45.120503652039325
1739209796.359449;-35.57807855764607
1739209796.359453;-38.13080360867914
1739209796.359457;-45.120503652039325
1739209796.359461;-38.13080360867914
1739209796.3594651;-45.120503652039325
1739209796.3594692;-38.13080360867914
1739209796.359473;-38.13080360867914
1739209796.359477;-35.57807855764607
1739209796.359481;-38.13080360867914
1739209796.3594851;-45.120503652039325
1739209796.3594892;-45.120503652039325
1739209796.3594933;-38.13080360867914
1739209796.3594973;-32.816014438256545
1739209796.3595014;-38.13080360867914
1739209796.3595054;-45.120503652039325
1739209796.3595095;-45.120503652039325
1739209796.3595135;-35.57807855764607
1739209796.3595176;-35.57807855764607
1739209796.3595216;-45.120503652039325
1739209796.3595257;-33.981070128970906
1739209796.3595297;-45.120503652039325
1739209796.3595338;-38.13080360867914
1739209796.3595378;-45.120503652039325
1739209796.359542;-38.13080360867914
1739209796.359546;-45.120503652039325
1739209796.35955;-45.120503652039325
1739209796.359554;-38.13080360867914
1739209796.359558;-38.13080360867914
1739209796.359562;-45.120503652039325
1739209796.359566;-33.981070128970906
1739209796.35957;-45.120503652039325
1739209796.359574;-38.13080360867914
1739209796.3595781;-32.816014438256545
1739209796.3595822;-45.120503652039325
1739209796.3595862;-45.120503652039325
1739209796.3595903;-33.981070128970906
1739209796.3595943;-45.120503652039325
1739209796.3595984;-45.120503652039325
1739209796.3596025;-35.57807855764607
1739209796.3596065;-35.57807855764607
1739209796.3596106;-45.120503652039325
1739209796.3596146;-45.120503652039325
1739209796.3596187;-45.120503652039325
1739209796.3596227;-33.981070128970906
1739209796.3596268;-38.13080360867914
1739209796.3596308;-38.13080360867914
1739209796.3596349;-38.13080360867914
1739209796.359639;-45.120503652039325
1739209796.359643;-45.120503652039325
1739209796.359647;-45.120503652039325
1739209796.3596509;-45.120503652039325
1739209796.359655;-45.120503652039325
1739209796.359659;-38.13080360867914
1739209796.359663;-38.13080360867914
1739209796.359667;-38.13080360867914
1739209796.359671;-45.120503652039325
1739209796.3596752;-38.13080360867914
1739209796.3596792;-38.13080360867914
1739209796.3596833;-45.120503652039325
1739209796.3596873;-45.120503652039325
1739209796.3596914;-45.120503652039325
1739209796.3596954;-45.120503652039325
1739209796.3596995;-45.120503652039325
1739209796.3597035;-38.13080360867914
1739209796.3597076;-38.13080360867914
1739209796.3597116;-38.13080360867914
1739209796.3597157;-45.120503652039325
1739209796.3597198;-45.120503652039325
1739209796.3597238;-31.141103565318893
1739209796.3597279;-32.816014438256545
1739209796.359732;-45.120503652039325
1739209796.3597357;-45.120503652039325
1739209796.3597398;-38.13080360867914
1739209796.3597438;-35.57807855764607
1739209796.359748;-45.120503652039325
1739209796.359752;-45.120503652039325
1739209796.359756;-45.120503652039325
1739209796.35976;-38.13080360867914
1739209796.359764;-45.120503652039325
1739209796.3597682;-38.13080360867914
1739209796.3597722;-45.120503652039325
1739209796.3597763;-38.13080360867914
1739209796.3597803;-45.120503652039325
1739209796.3597844;-38.13080360867914
1739209796.3597884;-38.13080360867914
1739209796.3597925;-45.120503652039325
