CAN Message; 0x150:0300f34eac54e2d1
Timestamp;Amplitude
1739209658.6324189;-45.120503652039325
1739209658.6324265;-45.120503652039325
1739209658.632434;-32.816014438256545
1739209658.6324413;-35.57807855764607
1739209658.6324487;-38.13080360867914
1739209658.6324563;-45.120503652039325
1739209658.6324637;-38.13080360867914
1739209658.632471;-38.13080360867914
1739209658.6324785;-32.816014438256545
1739209658.632486;-29.438486411369333
1739209658.6324935;-38.13080360867914
1739209658.632501;-35.57807855764607
1739209658.6325085;-35.57807855764607
1739209658.632516;-35.57807855764607
1739209658.6325233;-38.13080360867914
1739209658.6325307;-38.13080360867914
1739209658.6325383;-45.120503652039325
1739209658.6325457;-45.120503652039325
1739209658.632553;-45.120503652039325
1739209658.6325605;-45.120503652039325
1739209658.6325681;-38.13080360867914
1739209658.6325755;-45.120503652039325
1739209658.632583;-38.13080360867914
1739209658.6325905;-45.120503652039325
1739209658.632598;-38.13080360867914
1739209658.6326053;-45.120503652039325
1739209658.6326127;-45.120503652039325
1739209658.6326203;-38.13080360867914
1739209658.6326277;-38.13080360867914
1739209658.632635;-45.120503652039325
1739209658.6326427;-38.13080360867914
1739209658.6326501;-35.57807855764607
1739209658.6326575;-45.120503652039325
1739209658.632665;-38.13080360867914
1739209658.6326725;-33.981070128970906
1739209658.63268;-45.120503652039325
1739209658.6326873;-38.13080360867914
1739209658.6326947;-38.13080360867914
1739209658.6327024;-45.120503652039325
1739209658.6327097;-38.13080360867914
1739209658.6327171;-38.13080360867914
1739209658.6327248;-33.981070128970956
1739209658.6327322;-38.13080360867914
1739209658.6327395;-38.13080360867914
1739209658.632747;-45.120503652039325
1739209658.6327546;-45.120503652039325
1739209658.632762;-45.120503652039325
1739209658.6327693;-38.13080360867914
1739209658.6327767;-38.13080360867914
1739209658.6327844;-26.991370085610722
1739209658.6327918;-32.816014438256545
1739209658.6327991;-45.120503652039325
1739209658.6328068;-38.13080360867914
1739209658.6328142;-38.13080360867914
1739209658.6328216;-33.981070128970906
1739209658.632829;-45.120503652039325
1739209658.6328366;-38.13080360867914
1739209658.632844;-38.13080360867914
1739209658.6328514;-38.13080360867914
1739209658.6328588;-33.981070128970906
1739209658.6328664;-35.57807855764607
1739209658.6328738;-38.13080360867914
1739209658.6328812;-38.13080360867914
1739209658.6328888;-31.141103565318893
1739209658.6328962;-45.120503652039325
1739209658.6329036;-38.13080360867914
1739209658.632911;-38.13080360867914
1739209658.6329186;-35.57807855764607
1739209658.632926;-38.13080360867914
1739209658.6329334;-38.13080360867914
1739209658.6329408;-45.120503652039325
1739209658.6329484;-45.120503652039325
1739209658.6329558;-45.120503652039325
1739209658.6329632;-45.120503652039325
1739209658.6329708;-38.13080360867914
1739209658.6329782;-45.120503652039325
1739209658.6329856;-45.120503652039325
1739209658.632993;-38.13080360867914
1739209658.6330006;-35.57807855764607
1739209658.633008;-45.120503652039325
1739209658.6330154;-38.13080360867914
1739209658.633023;-38.13080360867914
1739209658.6330304;-45.120503652039325
1739209658.6330378;-38.13080360867914
1739209658.6330452;-38.13080360867914
1739209658.6330528;-38.13080360867914
1739209658.6330602;-45.120503652039325
1739209658.6330676;-45.120503652039325
1739209658.633075;-45.120503652039325
1739209658.6330826;-33.981070128970906
1739209658.63309;-38.13080360867914
1739209658.6330974;-45.120503652039325
1739209658.633105;-38.13080360867914
1739209658.6331124;-35.57807855764607
1739209658.6331198;-35.57807855764607
1739209658.6331272;-45.120503652039325
