CAN Message; 0x77:0126ad21b402c78d
Timestamp;Amplitude
1739209865.4610238;-38.13080360867914
1739209865.4610434;-45.120503652039325
1739209865.4610627;-38.13080360867914
1739209865.4610822;-29.438486411369333
1739209865.4611018;-35.57807855764607
1739209865.4611213;-45.120503652039325
1739209865.4611406;-33.981070128970906
1739209865.4611602;-45.120503652039325
1739209865.4611797;-45.120503652039325
1739209865.4611993;-38.13080360867914
1739209865.4612188;-45.120503652039325
1739209865.4612381;-45.120503652039325
1739209865.4612577;-45.120503652039325
1739209865.4612772;-35.57807855764607
1739209865.4612968;-38.13080360867914
1739209865.461316;-35.57807855764607
1739209865.4613357;-38.13080360867914
1739209865.4613552;-38.13080360867914
1739209865.4613748;-33.981070128970906
1739209865.4613943;-45.120503652039325
1739209865.4614136;-45.120503652039325
1739209865.4614332;-45.120503652039325
1739209865.4614527;-38.13080360867914
1739209865.4614723;-45.120503652039325
1739209865.4614918;-45.120503652039325
1739209865.4615111;-45.120503652039325
1739209865.4615307;-45.120503652039325
1739209865.4615502;-38.13080360867914
1739209865.4615698;-38.13080360867914
1739209865.461589;-45.120503652039325
1739209865.4616086;-33.981070128970906
1739209865.4616282;-38.13080360867914
1739209865.4616477;-38.13080360867914
1739209865.4616673;-45.120503652039325
1739209865.4616866;-38.13080360867914
1739209865.4617062;-45.120503652039325
1739209865.4617257;-45.120503652039325
1739209865.4617453;-33.981070128970906
1739209865.4617646;-45.120503652039325
1739209865.4617841;-45.120503652039325
1739209865.4618037;-45.120503652039325
1739209865.4618232;-35.57807855764607
1739209865.4618428;-38.13080360867914
1739209865.461862;-38.13080360867914
1739209865.4618816;-38.13080360867914
1739209865.4619012;-38.13080360867914
1739209865.4619207;-38.13080360867914
1739209865.4619403;-45.120503652039325
1739209865.4619596;-38.13080360867914
1739209865.4619792;-45.120503652039325
1739209865.4619987;-45.120503652039325
1739209865.4620183;-38.13080360867914
1739209865.4620376;-38.13080360867914
1739209865.462057;-38.13080360867914
1739209865.4620767;-38.13080360867914
1739209865.4620962;-38.13080360867914
1739209865.4621158;-33.981070128970906
1739209865.462135;-45.120503652039325
1739209865.4621546;-45.120503652039325
1739209865.4621742;-38.13080360867914
1739209865.4621937;-45.120503652039325
1739209865.462213;-38.13080360867914
1739209865.4622326;-38.13080360867914
1739209865.4622521;-38.13080360867914
1739209865.4622717;-38.13080360867914
1739209865.4622912;-33.981070128970906
1739209865.4623106;-38.13080360867914
1739209865.46233;-45.120503652039325
1739209865.4623497;-38.13080360867914
1739209865.4623692;-38.13080360867914
1739209865.4623885;-38.13080360867914
1739209865.462408;-38.13080360867914
1739209865.4624276;-32.816014438256545
1739209865.4624472;-38.13080360867914
1739209865.4624667;-38.13080360867914
1739209865.462486;-33.981070128970906
1739209865.4625056;-38.13080360867914
1739209865.4625251;-38.13080360867914
1739209865.4625447;-38.13080360867914
1739209865.462564;-38.13080360867914
1739209865.4625835;-38.13080360867914
1739209865.462603;-38.13080360867914
1739209865.4626226;-33.981070128970906
1739209865.4626422;-38.13080360867914
1739209865.4626615;-33.981070128970906
1739209865.462681;-38.13080360867914
1739209865.4627006;-35.57807855764607
1739209865.4627202;-45.120503652039325
1739209865.4627397;-45.120503652039325
1739209865.462759;-38.13080360867914
1739209865.4627786;-38.13080360867914
1739209865.462798;-45.120503652039325
1739209865.4628177;-45.120503652039325
1739209865.462837;-35.57807855764607
1739209865.4628565;-38.13080360867914
1739209865.462876;-38.13080360867914
1739209865.4628956;-38.13080360867914
1739209865.4629152;-38.13080360867914
1739209865.4629345;-45.120503652039325
1739209865.462954;-45.120503652039325
1739209865.4629736;-38.13080360867914
1739209865.4629931;-38.13080360867914
1739209865.4630125;-45.120503652039325
1739209865.463032;-35.57807855764607
1739209865.4630516;-38.13080360867914
1739209865.463071;-45.120503652039325
1739209865.4630907;-38.13080360867914
1739209865.46311;-45.120503652039325
1739209865.4631295;-33.981070128970906
1739209865.463149;-33.981070128970906
1739209865.4631686;-45.120503652039325
1739209865.4631882;-38.13080360867914
1739209865.4632075;-38.13080360867914
1739209865.463227;-38.13080360867914
1739209865.4632466;-33.981070128970906
1739209865.4632661;-45.120503652039325
1739209865.4632854;-38.13080360867914
1739209865.463305;-38.13080360867914
1739209865.4633245;-45.120503652039325
1739209865.463344;-45.120503652039325
1739209865.4633636;-45.120503652039325
1739209865.463383;-45.120503652039325
1739209865.4634025;-45.120503652039325
1739209865.463422;-35.57807855764607
1739209865.4634416;-33.981070128970906
1739209865.463461;-31.141103565318915
1739209865.4634805;-38.13080360867914
1739209865.4635;-38.13080360867914
1739209865.4635196;-45.120503652039325
1739209865.4635391;-45.120503652039325
1739209865.4635584;-45.120503652039325
1739209865.463578;-38.13080360867914
1739209865.4635975;-38.13080360867914
1739209865.463617;-38.13080360867914
1739209865.4636364;-45.120503652039325
1739209865.463656;-45.120503652039325
1739209865.4636755;-45.120503652039325
1739209865.463695;-45.120503652039325
1739209865.4637146;-38.13080360867914
1739209865.463734;-38.13080360867914
1739209865.4637535;-45.120503652039325
1739209865.463773;-30.49652367304973
1739209865.4637926;-33.981070128970906
1739209865.4638119;-45.120503652039325
1739209865.4638314;-38.13080360867914
1739209865.463851;-33.981070128970906
1739209865.4638705;-38.13080360867914
1739209865.46389;-38.13080360867914
1739209865.4639094;-38.13080360867914
1739209865.463929;-35.57807855764607
1739209865.4639485;-38.13080360867914
1739209865.463968;-35.57807855764607
1739209865.4639876;-38.13080360867914
1739209865.464007;-38.13080360867914
1739209865.4640265;-38.13080360867914
1739209865.464046;-38.13080360867914
1739209865.4640656;-45.120503652039325
1739209865.4640849;-38.13080360867914
1739209865.4641044;-33.981070128970906
1739209865.464124;-45.120503652039325
1739209865.4641435;-45.120503652039325
1739209865.464163;-38.13080360867914
1739209865.4641824;-31.141103565318915
1739209865.464202;-38.13080360867914
1739209865.4642215;-38.13080360867914
1739209865.464241;-26.487275050834715
1739209865.4642603;-32.816014438256545
1739209865.46428;-45.120503652039325
1739209865.4642994;-38.13080360867914
1739209865.464319;-45.120503652039325
1739209865.4643385;-45.120503652039325
1739209865.4643579;-38.13080360867914
1739209865.4643774;-45.120503652039325
1739209865.464397;-45.120503652039325
1739209865.4644165;-38.13080360867914
1739209865.464436;-33.981070128970906
1739209865.4644554;-45.120503652039325
1739209865.464475;-38.13080360867914
1739209865.4644945;-38.13080360867914
1739209865.464514;-45.120503652039325
1739209865.4645333;-38.13080360867914
1739209865.4645529;-38.13080360867914
1739209865.4645724;-33.981070128970906
1739209865.464592;-45.120503652039325
1739209865.4646115;-38.13080360867914
1739209865.4646308;-38.13080360867914
1739209865.4646504;-45.120503652039325
1739209865.46467;-38.13080360867914
1739209865.4646895;-45.120503652039325
1739209865.4647088;-32.816014438256545
1739209865.4647284;-30.49652367304973
1739209865.464748;-45.120503652039325
1739209865.4647675;-38.13080360867914
1739209865.464787;-32.816014438256545
1739209865.4648063;-45.120503652039325
1739209865.4648259;-45.120503652039325
1739209865.4648454;-35.57807855764607
1739209865.464865;-45.120503652039325
1739209865.4648843;-45.120503652039325
1739209865.4649038;-45.120503652039325
1739209865.4649234;-35.57807855764607
1739209865.464943;-38.13080360867914
1739209865.4649625;-45.120503652039325
1739209865.4649818;-35.57807855764607
1739209865.4650013;-38.13080360867914
1739209865.465021;-30.49652367304973
1739209865.4650404;-35.57807855764607
1739209865.4650598;-45.120503652039325
1739209865.4650793;-45.120503652039325
1739209865.4650989;-35.57807855764607
1739209865.4651184;-38.13080360867914
1739209865.465138;-45.120503652039325
1739209865.4651573;-38.13080360867914
1739209865.4651768;-45.120503652039325
1739209865.4651964;-45.120503652039325
1739209865.465216;-38.13080360867914
1739209865.4652355;-45.120503652039325
1739209865.4652548;-45.120503652039325
1739209865.4652743;-33.981070128970906
1739209865.465294;-38.13080360867914
1739209865.4653134;-38.13080360867914
1739209865.4653327;-32.816014438256545
1739209865.4653523;-35.57807855764607
1739209865.4653718;-38.13080360867914
1739209865.4653914;-35.57807855764607
1739209865.465411;-45.120503652039325
1739209865.4654303;-38.13080360867914
1739209865.4654498;-45.120503652039325
1739209865.4654694;-45.120503652039325
1739209865.465489;-45.120503652039325
1739209865.4655082;-38.13080360867914
1739209865.4655278;-38.13080360867914
1739209865.4655473;-38.13080360867914
1739209865.4655669;-35.57807855764607
1739209865.4655864;-35.57807855764607
1739209865.4656057;-45.120503652039325
1739209865.4656253;-45.120503652039325
1739209865.4656448;-38.13080360867914
1739209865.4656644;-38.13080360867914
1739209865.465684;-45.120503652039325
1739209865.4657032;-45.120503652039325
1739209865.4657228;-45.120503652039325
1739209865.4657423;-45.120503652039325
1739209865.465762;-35.57807855764607
1739209865.4657812;-38.13080360867914
1739209865.4658008;-45.120503652039325
1739209865.4658203;-38.13080360867914
1739209865.4658399;-33.981070128970906
1739209865.4658594;-38.13080360867914
1739209865.4658787;-38.13080360867914
1739209865.4658983;-35.57807855764607
1739209865.4659178;-45.120503652039325
1739209865.4659374;-33.981070128970906
1739209865.4659567;-38.13080360867914
1739209865.4659762;-38.13080360867914
1739209865.4659958;-38.13080360867914
1739209865.4660153;-38.13080360867914
1739209865.466035;-33.981070128970906
1739209865.4660542;-45.120503652039325
1739209865.4660738;-38.13080360867914
1739209865.4660933;-45.120503652039325
1739209865.4661129;-38.13080360867914
1739209865.4661322;-38.13080360867914
1739209865.4661517;-45.120503652039325
1739209865.4661713;-45.120503652039325
1739209865.4661908;-45.120503652039325
1739209865.4662104;-38.13080360867914
1739209865.4662297;-33.981070128970906
1739209865.4662492;-38.13080360867914
1739209865.4662688;-38.13080360867914
1739209865.4662883;-33.981070128970906
1739209865.4663076;-33.981070128970906
1739209865.4663272;-38.13080360867914
1739209865.4663467;-35.57807855764607
1739209865.4663663;-35.57807855764607
1739209865.4663858;-45.120503652039325
1739209865.4664052;-38.13080360867914
1739209865.4664247;-33.981070128970906
