CAN Message; 0x24:0c7ad285c16eede1
Timestamp;Amplitude
1739209743.1206338;-33.981070128970906
1739209743.120644;-45.120503652039325
1739209743.1206546;-33.981070128970906
1739209743.1206648;-38.13080360867914
1739209743.1206753;-33.981070128970906
1739209743.1206856;-32.816014438256545
1739209743.120696;-33.981070128970906
1739209743.1207063;-33.981070128970906
1739209743.1207168;-38.13080360867914
1739209743.120727;-33.981070128970906
1739209743.1207376;-45.120503652039325
1739209743.120748;-45.120503652039325
1739209743.1207583;-33.981070128970906
1739209743.1207688;-45.120503652039325
1739209743.120779;-45.120503652039325
1739209743.1207895;-45.120503652039325
1739209743.1207998;-35.57807855764607
1739209743.1208103;-38.13080360867914
1739209743.1208205;-32.816014438256545
1739209743.120831;-38.13080360867914
1739209743.1208413;-35.57807855764607
1739209743.1208518;-35.57807855764607
1739209743.1208622;-38.13080360867914
1739209743.1208725;-38.13080360867914
1739209743.120883;-45.120503652039325
1739209743.1208932;-35.57807855764607
1739209743.1209037;-45.120503652039325
1739209743.120914;-45.120503652039325
1739209743.1209245;-45.120503652039325
1739209743.1209347;-38.13080360867914
1739209743.1209452;-45.120503652039325
1739209743.1209555;-38.13080360867914
1739209743.120966;-45.120503652039325
1739209743.1209764;-38.13080360867914
1739209743.1209867;-35.57807855764607
1739209743.1209972;-45.120503652039325
1739209743.1210074;-38.13080360867914
1739209743.121018;-45.120503652039325
1739209743.1210282;-33.981070128970906
1739209743.1210387;-35.57807855764607
1739209743.121049;-45.120503652039325
1739209743.1210594;-45.120503652039325
1739209743.1210697;-32.816014438256545
1739209743.1210802;-32.816014438256545
1739209743.1210907;-45.120503652039325
1739209743.121101;-38.13080360867914
1739209743.1211114;-45.120503652039325
1739209743.1211216;-38.13080360867914
1739209743.1211321;-45.120503652039325
1739209743.1211424;-45.120503652039325
1739209743.1211529;-45.120503652039325
1739209743.1211631;-45.120503652039325
1739209743.1211736;-45.120503652039325
1739209743.1211839;-45.120503652039325
1739209743.1211944;-38.13080360867914
1739209743.1212049;-38.13080360867914
1739209743.121215;-32.816014438256545
1739209743.1212256;-38.13080360867914
1739209743.1212358;-32.816014438256545
1739209743.1212463;-30.49652367304973
1739209743.1212566;-45.120503652039325
1739209743.121267;-38.13080360867914
1739209743.1212773;-38.13080360867914
1739209743.1212878;-38.13080360867914
1739209743.121298;-38.13080360867914
1739209743.1213086;-38.13080360867914
1739209743.121319;-45.120503652039325
1739209743.1213293;-38.13080360867914
1739209743.1213398;-45.120503652039325
1739209743.12135;-38.13080360867914
1739209743.1213605;-45.120503652039325
1739209743.1213708;-45.120503652039325
1739209743.1213813;-38.13080360867914
1739209743.1213915;-38.13080360867914
1739209743.121402;-35.57807855764607
1739209743.1214123;-31.141103565318893
1739209743.1214228;-45.120503652039325
1739209743.1214333;-38.13080360867914
1739209743.1214435;-38.13080360867914
1739209743.121454;-38.13080360867914
1739209743.1214643;-38.13080360867914
1739209743.1214747;-38.13080360867914
1739209743.121485;-45.120503652039325
1739209743.1214955;-35.57807855764607
1739209743.1215057;-38.13080360867914
1739209743.1215162;-38.13080360867914
1739209743.1215265;-38.13080360867914
1739209743.121537;-45.120503652039325
1739209743.1215475;-32.816014438256545
1739209743.1215577;-32.816014438256545
1739209743.1215682;-45.120503652039325
1739209743.1215785;-33.981070128970906
1739209743.121589;-35.57807855764607
1739209743.1215992;-35.57807855764607
1739209743.1216097;-38.13080360867914
1739209743.12162;-38.13080360867914
1739209743.1216304;-38.13080360867914
1739209743.1216407;-38.13080360867914
1739209743.1216512;-45.120503652039325
1739209743.1216617;-38.13080360867914
1739209743.121672;-45.120503652039325
1739209743.1216824;-38.13080360867914
1739209743.1216927;-45.120503652039325
1739209743.1217031;-45.120503652039325
1739209743.1217134;-45.120503652039325
1739209743.121724;-45.120503652039325
1739209743.1217341;-45.120503652039325
1739209743.1217446;-38.13080360867914
1739209743.1217551;-38.13080360867914
