CAN Message; 0x1b8:0300ec7bc23dfa41
Timestamp;Amplitude
1739209839.898894;-38.13080360867914
1739209839.8988962;-45.120503652039325
1739209839.8988981;-33.981070128970906
1739209839.8989003;-38.13080360867914
1739209839.8989024;-38.13080360867914
1739209839.8989046;-38.13080360867914
1739209839.8989067;-38.13080360867914
1739209839.8989089;-35.57807855764607
1739209839.8989108;-35.57807855764607
1739209839.898913;-38.13080360867914
1739209839.898915;-38.13080360867914
1739209839.8989172;-38.13080360867914
1739209839.8989193;-38.13080360867914
1739209839.8989213;-45.120503652039325
1739209839.8989234;-45.120503652039325
1739209839.8989255;-35.57807855764607
1739209839.8989277;-35.57807855764607
1739209839.8989298;-38.13080360867914
1739209839.898932;-45.120503652039325
1739209839.898934;-45.120503652039325
1739209839.898936;-33.981070128970906
1739209839.8989382;-45.120503652039325
1739209839.8989403;-45.120503652039325
1739209839.8989425;-35.57807855764607
1739209839.8989446;-33.981070128970906
1739209839.8989465;-38.13080360867914
1739209839.8989487;-38.13080360867914
1739209839.8989508;-45.120503652039325
1739209839.898953;-38.13080360867914
1739209839.898955;-45.120503652039325
1739209839.898957;-45.120503652039325
1739209839.8989592;-45.120503652039325
1739209839.8989613;-33.981070128970906
1739209839.8989635;-31.141103565318915
1739209839.8989656;-45.120503652039325
1739209839.8989677;-45.120503652039325
1739209839.8989697;-38.13080360867914
1739209839.8989718;-33.981070128970906
1739209839.898974;-45.120503652039325
1739209839.898976;-45.120503652039325
1739209839.8989782;-45.120503652039325
1739209839.8989801;-38.13080360867914
1739209839.8989823;-38.13080360867914
1739209839.8989844;-45.120503652039325
1739209839.8989866;-45.120503652039325
1739209839.8989887;-38.13080360867914
1739209839.8989909;-38.13080360867914
1739209839.8989928;-45.120503652039325
1739209839.898995;-31.141103565318915
1739209839.898997;-30.49652367304973
1739209839.8989992;-38.13080360867914
1739209839.8990014;-45.120503652039325
1739209839.8990035;-45.120503652039325
1739209839.8990054;-38.13080360867914
1739209839.8990076;-33.981070128970906
1739209839.8990097;-45.120503652039325
1739209839.8990119;-35.57807855764607
1739209839.899014;-27.8777449560314
1739209839.899016;-45.120503652039325
1739209839.899018;-45.120503652039325
1739209839.8990202;-38.13080360867914
1739209839.8990223;-33.981070128970906
1739209839.8990245;-45.120503652039325
1739209839.8990266;-45.120503652039325
1739209839.8990285;-45.120503652039325
1739209839.8990307;-33.981070128970956
