CAN Message; 0x24:0c7adcd277579a77
Timestamp;Amplitude
1739209751.4685102;-38.13080360867914
1739209751.4685147;-45.120503652039325
1739209751.4685192;-33.981070128970906
1739209751.4685237;-45.120503652039325
1739209751.4685283;-45.120503652039325
1739209751.4685328;-45.120503652039325
1739209751.4685373;-38.13080360867914
1739209751.4685419;-45.120503652039325
1739209751.4685464;-45.120503652039325
1739209751.4685512;-38.13080360867914
1739209751.4685557;-45.120503652039325
1739209751.4685602;-45.120503652039325
1739209751.4685647;-38.13080360867914
1739209751.4685693;-38.13080360867914
1739209751.4685738;-38.13080360867914
1739209751.4685783;-38.13080360867914
1739209751.4685829;-38.13080360867914
1739209751.4685874;-35.57807855764607
1739209751.468592;-33.981070128970906
1739209751.4685965;-45.120503652039325
1739209751.468601;-38.13080360867914
1739209751.4686055;-33.981070128970906
1739209751.46861;-33.981070128970906
1739209751.4686146;-33.981070128970906
1739209751.468619;-35.57807855764607
1739209751.4686236;-45.120503652039325
1739209751.4686282;-45.120503652039325
1739209751.4686327;-31.141103565318893
1739209751.4686372;-38.13080360867914
1739209751.468642;-45.120503652039325
1739209751.4686465;-31.141103565318915
1739209751.468651;-33.981070128970906
1739209751.4686556;-45.120503652039325
1739209751.46866;-38.13080360867914
1739209751.4686646;-38.13080360867914
1739209751.4686692;-38.13080360867914
1739209751.4686737;-45.120503652039325
1739209751.4686782;-45.120503652039325
1739209751.4686828;-38.13080360867914
1739209751.4686873;-38.13080360867914
1739209751.4686918;-33.981070128970906
1739209751.4686964;-45.120503652039325
1739209751.468701;-38.13080360867914
1739209751.4687054;-38.13080360867914
1739209751.46871;-45.120503652039325
1739209751.4687145;-45.120503652039325
1739209751.468719;-38.13080360867914
1739209751.4687235;-38.13080360867914
1739209751.468728;-38.13080360867914
1739209751.4687328;-45.120503652039325
1739209751.4687374;-45.120503652039325
1739209751.468742;-35.57807855764607
1739209751.4687464;-45.120503652039325
1739209751.468751;-45.120503652039325
1739209751.4687555;-28.992665084841942
1739209751.46876;-33.981070128970906
1739209751.4687645;-45.120503652039325
1739209751.468769;-45.120503652039325
1739209751.4687736;-38.13080360867914
1739209751.4687781;-45.120503652039325
1739209751.4687827;-38.13080360867914
1739209751.4687872;-32.816014438256545
1739209751.4687917;-33.981070128970906
1739209751.4687963;-45.120503652039325
1739209751.4688008;-45.120503652039325
1739209751.4688053;-38.13080360867914
1739209751.4688098;-38.13080360867914
1739209751.4688144;-45.120503652039325
1739209751.4688191;-45.120503652039325
1739209751.4688237;-38.13080360867914
1739209751.4688282;-38.13080360867914
1739209751.4688327;-45.120503652039325
1739209751.4688373;-38.13080360867914
1739209751.4688418;-38.13080360867914
1739209751.4688463;-38.13080360867914
1739209751.4688509;-38.13080360867914
1739209751.4688554;-38.13080360867914
1739209751.46886;-45.120503652039325
1739209751.4688644;-32.816014438256545
1739209751.468869;-38.13080360867914
1739209751.4688735;-45.120503652039325
1739209751.468878;-38.13080360867914
1739209751.4688826;-38.13080360867914
1739209751.468887;-45.120503652039325
1739209751.4688916;-45.120503652039325
1739209751.4688962;-38.13080360867914
1739209751.4689007;-38.13080360867914
1739209751.4689052;-38.13080360867914
1739209751.46891;-38.13080360867914
1739209751.4689145;-38.13080360867914
1739209751.468919;-38.13080360867914
1739209751.4689236;-35.57807855764607
1739209751.468928;-45.120503652039325
1739209751.4689326;-45.120503652039325
1739209751.4689372;-45.120503652039325
1739209751.4689417;-38.13080360867914
1739209751.4689462;-38.13080360867914
1739209751.4689507;-33.981070128970906
1739209751.4689553;-45.120503652039325
1739209751.4689598;-45.120503652039325
1739209751.4689643;-45.120503652039325
1739209751.4689689;-45.120503652039325
1739209751.4689734;-38.13080360867914
1739209751.468978;-45.120503652039325
1739209751.4689825;-45.120503652039325
1739209751.468987;-38.13080360867914
1739209751.4689915;-38.13080360867914
1739209751.468996;-45.120503652039325
1739209751.4690008;-45.120503652039325
1739209751.4690053;-45.120503652039325
1739209751.4690099;-45.120503652039325
1739209751.4690144;-35.57807855764607
1739209751.469019;-35.57807855764607
1739209751.4690235;-45.120503652039325
1739209751.469028;-45.120503652039325
1739209751.4690325;-35.57807855764607
1739209751.469037;-35.57807855764607
1739209751.4690416;-45.120503652039325
1739209751.469046;-38.13080360867914
1739209751.4690506;-38.13080360867914
1739209751.4690552;-38.13080360867914
1739209751.4690597;-45.120503652039325
1739209751.4690642;-45.120503652039325
1739209751.4690688;-45.120503652039325
1739209751.4690733;-45.120503652039325
1739209751.4690778;-38.13080360867914
1739209751.4690824;-45.120503652039325
1739209751.4690871;-45.120503652039325
1739209751.4690917;-33.981070128970906
1739209751.4690962;-38.13080360867914
1739209751.4691007;-45.120503652039325
1739209751.4691052;-31.141103565318893
1739209751.4691098;-31.141103565318915
1739209751.4691143;-45.120503652039325
1739209751.4691188;-45.120503652039325
1739209751.4691234;-28.58837851428586
1739209751.469128;-28.58837851428586
1739209751.4691324;-45.120503652039325
1739209751.469137;-45.120503652039325
1739209751.4691415;-45.120503652039325
1739209751.469146;-45.120503652039325
1739209751.4691505;-45.120503652039325
1739209751.469155;-45.120503652039325
1739209751.4691596;-45.120503652039325
1739209751.4691641;-38.13080360867914
1739209751.4691687;-33.981070128970906
1739209751.4691732;-38.13080360867914
1739209751.469178;-45.120503652039325
1739209751.4691825;-45.120503652039325
1739209751.469187;-38.13080360867914
1739209751.4691916;-45.120503652039325
1739209751.469196;-33.981070128970906
1739209751.4692006;-28.58837851428586
1739209751.4692051;-38.13080360867914
1739209751.4692097;-45.120503652039325
1739209751.4692142;-38.13080360867914
1739209751.4692187;-38.13080360867914
1739209751.4692233;-35.57807855764607
1739209751.4692278;-33.981070128970906
1739209751.4692323;-45.120503652039325
1739209751.4692369;-38.13080360867914
1739209751.4692414;-35.57807855764607
1739209751.469246;-45.120503652039325
1739209751.4692504;-45.120503652039325
1739209751.469255;-45.120503652039325
1739209751.4692595;-45.120503652039325
1739209751.469264;-45.120503652039325
1739209751.4692688;-38.13080360867914
1739209751.4692733;-38.13080360867914
1739209751.4692779;-45.120503652039325
1739209751.4692824;-45.120503652039325
1739209751.469287;-45.120503652039325
1739209751.4692914;-45.120503652039325
1739209751.469296;-32.816014438256545
1739209751.4693005;-45.120503652039325
1739209751.469305;-33.981070128970906
1739209751.4693096;-27.267205301931607
1739209751.469314;-35.57807855764607
1739209751.4693186;-38.13080360867914
1739209751.4693232;-38.13080360867914
1739209751.4693277;-35.57807855764607
1739209751.4693322;-38.13080360867914
1739209751.4693367;-45.120503652039325
1739209751.4693413;-45.120503652039325
1739209751.4693458;-38.13080360867914
1739209751.4693503;-38.13080360867914
1739209751.4693549;-45.120503652039325
