CAN Message; 0x1d3:000071264a77cbce
Timestamp;Amplitude
1739209854.7610705;-45.120503652039325
1739209854.7610738;-33.981070128970906
1739209854.7610772;-38.13080360867914
1739209854.7610805;-35.57807855764607
1739209854.7610836;-38.13080360867914
1739209854.761087;-45.120503652039325
1739209854.7610903;-27.267205301931607
1739209854.7610936;-33.981070128970906
1739209854.761097;-38.13080360867914
1739209854.7611003;-35.57807855764607
1739209854.7611036;-33.981070128970906
1739209854.761107;-38.13080360867914
1739209854.76111;-45.120503652039325
1739209854.7611134;-45.120503652039325
1739209854.7611167;-32.816014438256545
1739209854.76112;-45.120503652039325
1739209854.7611234;-45.120503652039325
1739209854.7611268;-45.120503652039325
1739209854.76113;-38.13080360867914
1739209854.7611334;-45.120503652039325
1739209854.7611365;-38.13080360867914
1739209854.7611399;-38.13080360867914
1739209854.7611432;-38.13080360867914
1739209854.7611465;-38.13080360867914
1739209854.76115;-45.120503652039325
1739209854.7611532;-38.13080360867914
1739209854.7611566;-38.13080360867914
1739209854.76116;-45.120503652039325
1739209854.761163;-45.120503652039325
1739209854.7611663;-45.120503652039325
1739209854.7611697;-38.13080360867914
1739209854.761173;-35.57807855764607
1739209854.7611763;-35.57807855764607
1739209854.7611797;-45.120503652039325
1739209854.761183;-38.13080360867914
1739209854.7611864;-35.57807855764607
1739209854.7611895;-45.120503652039325
1739209854.7611928;-38.13080360867914
1739209854.7611961;-33.981070128970906
1739209854.7611995;-33.981070128970906
1739209854.7612028;-38.13080360867914
1739209854.7612062;-45.120503652039325
1739209854.7612095;-38.13080360867914
1739209854.7612128;-45.120503652039325
1739209854.7612162;-45.120503652039325
1739209854.7612193;-45.120503652039325
1739209854.7612226;-38.13080360867914
1739209854.761226;-38.13080360867914
1739209854.7612293;-45.120503652039325
1739209854.7612326;-35.57807855764607
1739209854.761236;-38.13080360867914
1739209854.7612393;-35.57807855764607
1739209854.7612426;-38.13080360867914
1739209854.7612457;-38.13080360867914
1739209854.761249;-38.13080360867914
1739209854.7612524;-45.120503652039325
1739209854.7612557;-45.120503652039325
1739209854.761259;-35.57807855764607
1739209854.7612624;-35.57807855764607
1739209854.7612658;-45.120503652039325
1739209854.761269;-38.13080360867914
1739209854.7612722;-38.13080360867914
1739209854.7612755;-38.13080360867914
1739209854.7612789;-45.120503652039325
1739209854.7612822;-45.120503652039325
1739209854.7612855;-38.13080360867914
1739209854.761289;-38.13080360867914
1739209854.7612922;-45.120503652039325
1739209854.7612956;-45.120503652039325
1739209854.7612987;-35.57807855764607
1739209854.761302;-33.981070128970906
1739209854.7613053;-35.57807855764607
1739209854.7613087;-38.13080360867914
1739209854.761312;-45.120503652039325
1739209854.7613153;-38.13080360867914
1739209854.7613187;-35.57807855764607
1739209854.761322;-45.120503652039325
1739209854.7613251;-35.57807855764607
1739209854.7613285;-38.13080360867914
1739209854.7613318;-45.120503652039325
1739209854.7613351;-45.120503652039325
1739209854.7613385;-45.120503652039325
1739209854.7613418;-38.13080360867914
1739209854.7613451;-45.120503652039325
1739209854.7613485;-45.120503652039325
1739209854.7613518;-45.120503652039325
1739209854.761355;-45.120503652039325
1739209854.7613583;-32.816014438256545
1739209854.7613616;-35.57807855764607
1739209854.761365;-45.120503652039325
1739209854.7613683;-27.267205301931607
1739209854.7613716;-22.44878636800916
1739209854.761375;-38.13080360867914
1739209854.7613783;-33.981070128970906
1739209854.7613814;-31.141103565318915
1739209854.7613847;-32.816014438256545
1739209854.761388;-33.981070128970906
1739209854.7613914;-38.13080360867914
1739209854.7613947;-38.13080360867914
1739209854.761398;-45.120503652039325
1739209854.7614014;-45.120503652039325
1739209854.7614048;-38.13080360867914
1739209854.7614079;-29.438486411369375
1739209854.7614112;-25.07728991421287
1739209854.7614145;-28.58837851428586
1739209854.7614179;-31.141103565318943
1739209854.7614212;-33.981070128970906
1739209854.7614245;-31.141103565318915
1739209854.7614279;-45.120503652039325
1739209854.7614312;-31.141103565318915
1739209854.7614343;-38.13080360867914
1739209854.7614377;-33.981070128970906
1739209854.761441;-30.49652367304973
1739209854.7614443;-38.13080360867914
1739209854.7614477;-27.267205301931607
1739209854.761451;-25.826314394896364
1739209854.7614543;-27.877744956031414
1739209854.7614577;-28.21854285175415
1739209854.7614608;-29.438486411369333
1739209854.761464;-38.13080360867914
1739209854.7614675;-31.141103565318943
1739209854.7614708;-32.816014438256545
1739209854.7614741;-45.120503652039325
1739209854.7614775;-38.13080360867914
1739209854.7614808;-35.57807855764607
1739209854.7614841;-33.981070128970906
1739209854.7614872;-28.992665084841942
1739209854.7614906;-21.67658091518819
